product_name,product_price,product_url
"PANTENE 潘婷 染燙修護洗髮乳, 700g, 1瓶",$108,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-%E6%9F%93%E7%87%99%E4%BF%AE%E8%AD%B7%E6%B4%97%E9%AB%AE%E4%B9%B3-255110781304836?itemId=255109917294593&vendorItemId=255109913100310&sourceType=search&rank=&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PANTENE 潘婷 染燙修護 潤髮精華素, 700ml, 1瓶",$108,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-%E6%9F%93%E7%87%99%E4%BF%AE%E8%AD%B7-%E6%BD%A4%E9%AB%AE%E7%B2%BE%E8%8F%AF%E7%B4%A0-318211933306886?itemId=318209525760007&vendorItemId=255109913100292&sourceType=search&rank=1&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PANTENE 潘婷 3 MINUTE MIRACLE 燙染護髮精華, 180ml, 2條",$215,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-3-MINUTE-MIRACLE-%E7%87%99%E6%9F%93%E8%AD%B7%E9%AB%AE%E7%B2%BE%E8%8F%AF-157305240780807?itemId=255129445974070&vendorItemId=255128481251346&sourceType=search&rank=2&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PANTENE 潘婷 染燙修護洗髮乳, 700g, 2瓶",$217,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-%E6%9F%93%E7%87%99%E4%BF%AE%E8%AD%B7%E6%B4%97%E9%AB%AE%E4%B9%B3-255110781304836?itemId=255860240515072&vendorItemId=255859368116224&sourceType=search&rank=3&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PANTENE 潘婷 染燙修護 潤髮精華素, 700ml, 2瓶",$217,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-%E6%9F%93%E7%87%99%E4%BF%AE%E8%AD%B7-%E6%BD%A4%E9%AB%AE%E7%B2%BE%E8%8F%AF%E7%B4%A0-318211933306886?itemId=412457805758472&vendorItemId=256215632297984&sourceType=search&rank=4&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"LUDILIYA 綠迪麗雅 染燙鎖色護色洗髮精, 800ml, 1瓶",$277,https://www.tw.coupang.com/products/LUDILIYA-%E7%B6%A0%E8%BF%AA%E9%BA%97%E9%9B%85-%E6%9F%93%E7%87%99%E9%8E%96%E8%89%B2%E8%AD%B7%E8%89%B2%E6%B4%97%E9%AB%AE%E7%B2%BE-150770318000133?itemId=150770699714567&vendorItemId=150771068796930&sourceType=search&rank=5&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"ellips 意立詩 沙龍級角蛋白膠囊護髮油 染燙修護粉玫瑰, 50ml, 1罐",$181,https://www.tw.coupang.com/products/ellips-%E6%84%8F%E7%AB%8B%E8%A9%A9-%E6%B2%99%E9%BE%8D%E7%B4%9A%E8%A7%92%E8%9B%8B%E7%99%BD%E8%86%A0%E5%9B%8A%E8%AD%B7%E9%AB%AE%E6%B2%B9-%E6%9F%93%E7%87%99%E4%BF%AE%E8%AD%B7%E7%B2%89%E7%8E%AB%E7%91%B0-159197199056900?itemId=159197199056901&vendorItemId=159197605888006&sourceType=search&rank=6&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PANTENE 潘婷 3 MINUTE MIRACLE 燙染護髮精華, 180ml, 1條",$107,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-3-MINUTE-MIRACLE-%E7%87%99%E6%9F%93%E8%AD%B7%E9%AB%AE%E7%B2%BE%E8%8F%AF-157305240780807?itemId=157304422875143&vendorItemId=157304838144003&sourceType=search&rank=7&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"染燙護理洗髮精, 1000ml, 1瓶",$339,https://www.tw.coupang.com/products/%E6%9F%93%E7%87%99%E8%AD%B7%E7%90%86%E6%B4%97%E9%AB%AE%E7%B2%BE-21006181687955?itemId=21012141799351&vendorItemId=21079413384998&sourceType=search&rank=8&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"babaria 長效護色+受損重建染髮專用洗髮精 山茶花+百香果, 500ml, 3瓶","$1,917",https://www.tw.coupang.com/products/babaria-%E9%95%B7%E6%95%88%E8%AD%B7%E8%89%B2%2B%E5%8F%97%E6%90%8D%E9%87%8D%E5%BB%BA%E6%9F%93%E9%AB%AE%E5%B0%88%E7%94%A8%E6%B4%97%E9%AB%AE%E7%B2%BE-%E5%B1%B1%E8%8C%B6%E8%8A%B1%2B%E7%99%BE%E9%A6%99%E6%9E%9C-377345504378880?itemId=458122132963331&vendorItemId=458122128752647&sourceType=search&rank=9&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PANTENE 潘婷 染燙修護洗髮乳, 700g, 3瓶",$325,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-%E6%9F%93%E7%87%99%E4%BF%AE%E8%AD%B7%E6%B4%97%E9%AB%AE%E4%B9%B3-255110781304836?itemId=255847301103680&vendorItemId=255847301103644&sourceType=search&rank=10&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"ellips 意立詩 沙龍級角蛋白膠囊護髮油 升級版 染燙修護粉玫瑰 6粒, 6ml, 3組",$96,https://www.tw.coupang.com/products/ellips-%E6%84%8F%E7%AB%8B%E8%A9%A9-%E6%B2%99%E9%BE%8D%E7%B4%9A%E8%A7%92%E8%9B%8B%E7%99%BD%E8%86%A0%E5%9B%8A%E8%AD%B7%E9%AB%AE%E6%B2%B9-%E5%8D%87%E7%B4%9A%E7%89%88-%E6%9F%93%E7%87%99%E4%BF%AE%E8%AD%B7%E7%B2%89%E7%8E%AB%E7%91%B0-6%E7%B2%92-159196771205130?itemId=396910816854017&vendorItemId=396910812692500&sourceType=search&rank=11&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"ellips 意立詩 沙龍級角蛋白膠囊護髮油 染燙修護粉玫瑰, 50ml, 2罐",$362,https://www.tw.coupang.com/products/ellips-%E6%84%8F%E7%AB%8B%E8%A9%A9-%E6%B2%99%E9%BE%8D%E7%B4%9A%E8%A7%92%E8%9B%8B%E7%99%BD%E8%86%A0%E5%9B%8A%E8%AD%B7%E9%AB%AE%E6%B2%B9-%E6%9F%93%E7%87%99%E4%BF%AE%E8%AD%B7%E7%B2%89%E7%8E%AB%E7%91%B0-159197199056900?itemId=382417693016066&vendorItemId=382417692999682&sourceType=search&rank=12&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PANTENE 潘婷 染燙修護 潤髮精華素, 700ml, 3瓶",$325,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-%E6%9F%93%E7%87%99%E4%BF%AE%E8%AD%B7-%E6%BD%A4%E9%AB%AE%E7%B2%BE%E8%8F%AF%E7%B4%A0-318211933306886?itemId=412457801580549&vendorItemId=256216525668352&sourceType=search&rank=13&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"babaria 長效護色+受損重建染髮專用洗髮精 山茶花+百香果, 500ml, 4瓶","$2,656",https://www.tw.coupang.com/products/babaria-%E9%95%B7%E6%95%88%E8%AD%B7%E8%89%B2%2B%E5%8F%97%E6%90%8D%E9%87%8D%E5%BB%BA%E6%9F%93%E9%AB%AE%E5%B0%88%E7%94%A8%E6%B4%97%E9%AB%AE%E7%B2%BE-%E5%B1%B1%E8%8C%B6%E8%8A%B1%2B%E7%99%BE%E9%A6%99%E6%9E%9C-377345504378880?itemId=458122137141262&vendorItemId=458122137108491&sourceType=search&rank=14&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PeRT 飛柔 人參萃取修護 洗髮乳, 750g, 2瓶",$152,https://www.tw.coupang.com/products/PeRT-%E9%A3%9B%E6%9F%94-%E4%BA%BA%E5%8F%83%E8%90%83%E5%8F%96%E4%BF%AE%E8%AD%B7-%E6%B4%97%E9%AB%AE%E4%B9%B3-255109917294597?itemId=255846327992331&vendorItemId=255848169308163&sourceType=search&rank=15&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PANTENE 潘婷 染燙修護洗髮乳, 700g, 4瓶",$434,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-%E6%9F%93%E7%87%99%E4%BF%AE%E8%AD%B7%E6%B4%97%E9%AB%AE%E4%B9%B3-255110781304836?itemId=255848169308170&vendorItemId=255846327992322&sourceType=search&rank=16&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"O'right 歐萊德 紫玫瑰護色洗髮精, 1000ml, 1瓶",$750,https://www.tw.coupang.com/products/O'right-%E6%AD%90%E8%90%8A%E5%BE%B7-%E7%B4%AB%E7%8E%AB%E7%91%B0%E8%AD%B7%E8%89%B2%E6%B4%97%E9%AB%AE%E7%B2%BE-278382063337490?itemId=278383120334850&vendorItemId=278384080814090&sourceType=search&rank=17&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"LUDILIYA 綠迪麗雅 染燙鎖色護色洗髮精, 800ml, 3瓶",$888,https://www.tw.coupang.com/products/LUDILIYA-%E7%B6%A0%E8%BF%AA%E9%BA%97%E9%9B%85-%E6%9F%93%E7%87%99%E9%8E%96%E8%89%B2%E8%AD%B7%E8%89%B2%E6%B4%97%E9%AB%AE%E7%B2%BE-150770318000133?itemId=385681935269917&vendorItemId=385681935286293&sourceType=search&rank=18&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"Farcent 香水 奇蹟護髮素 同名花語, 600ml, 1瓶",$122,https://www.tw.coupang.com/products/Farcent-%E9%A6%99%E6%B0%B4-%E5%A5%87%E8%B9%9F%E8%AD%B7%E9%AB%AE%E7%B4%A0-%E5%90%8C%E5%90%8D%E8%8A%B1%E8%AA%9E-270350889746439?itemId=270349950238728&vendorItemId=270348897435652&sourceType=search&rank=19&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PANTENE 潘婷 染燙修護 潤髮精華素, 700ml, 6瓶",$651,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-%E6%9F%93%E7%87%99%E4%BF%AE%E8%AD%B7-%E6%BD%A4%E9%AB%AE%E7%B2%BE%E8%8F%AF%E7%B4%A0-318211933306886?itemId=412457818341386&vendorItemId=256214659186690&sourceType=search&rank=20&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PANTENE 潘婷 3 MINUTE MIRACLE 燙染護髮精華, 180ml, 3條",$322,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-3-MINUTE-MIRACLE-%E7%87%99%E6%9F%93%E8%AD%B7%E9%AB%AE%E7%B2%BE%E8%8F%AF-157305240780807?itemId=255128573526020&vendorItemId=255130406453250&sourceType=search&rank=21&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"ellips 意立詩 經典膠囊護髮油 粉玫瑰 50顆, 50ml, 1罐",$152,https://www.tw.coupang.com/products/ellips-%E6%84%8F%E7%AB%8B%E8%A9%A9-%E7%B6%93%E5%85%B8%E8%86%A0%E5%9B%8A%E8%AD%B7%E9%AB%AE%E6%B2%B9-%E7%B2%89%E7%8E%AB%E7%91%B0-50%E9%A1%86-159196771205124?itemId=159196771205126&vendorItemId=159196767010817&sourceType=search&rank=22&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"Farcent 香水 奇蹟護髮素 同名花語, 600ml, 2瓶",$245,https://www.tw.coupang.com/products/Farcent-%E9%A6%99%E6%B0%B4-%E5%A5%87%E8%B9%9F%E8%AD%B7%E9%AB%AE%E7%B4%A0-%E5%90%8C%E5%90%8D%E8%8A%B1%E8%AA%9E-270350889746439?itemId=402003633061893&vendorItemId=402003628851210&sourceType=search&rank=23&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"jmella 牡丹花髮質護理精華, 100ml, 1個",$211,https://www.tw.coupang.com/products/jmella-%E7%89%A1%E4%B8%B9%E8%8A%B1%E9%AB%AE%E8%B3%AA%E8%AD%B7%E7%90%86%E7%B2%BE%E8%8F%AF-21006971414891?itemId=21017005105835&vendorItemId=21084180996803&sourceType=search&rank=24&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PANTENE 潘婷 染燙修護洗髮乳, 700g, 6瓶",$651,https://www.tw.coupang.com/products/PANTENE-%E6%BD%98%E5%A9%B7-%E6%9F%93%E7%87%99%E4%BF%AE%E8%AD%B7%E6%B4%97%E9%AB%AE%E4%B9%B3-255110781304836?itemId=255860240515074&vendorItemId=255859368116225&sourceType=search&rank=25&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"Farcent 香水 奇蹟護髮素 同名花語, 600ml, 6瓶",$750,https://www.tw.coupang.com/products/Farcent-%E9%A6%99%E6%B0%B4-%E5%A5%87%E8%B9%9F%E8%AD%B7%E9%AB%AE%E7%B4%A0-%E5%90%8C%E5%90%8D%E8%8A%B1%E8%AA%9E-270350889746439?itemId=402003633078278&vendorItemId=402003633061888&sourceType=search&rank=26&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"ellips 意立詩 經典膠囊護髮油 粉玫瑰 50顆, 50ml, 2罐",$299,https://www.tw.coupang.com/products/ellips-%E6%84%8F%E7%AB%8B%E8%A9%A9-%E7%B6%93%E5%85%B8%E8%86%A0%E5%9B%8A%E8%AD%B7%E9%AB%AE%E6%B2%B9-%E7%B2%89%E7%8E%AB%E7%91%B0-50%E9%A1%86-159196771205124?itemId=214912081035269&vendorItemId=214912076840979&sourceType=search&rank=27&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"O'right 歐萊德 紫玫瑰護色洗髮精, 400ml, 1瓶",$559,https://www.tw.coupang.com/products/O'right-%E6%AD%90%E8%90%8A%E5%BE%B7-%E7%B4%AB%E7%8E%AB%E7%91%B0%E8%AD%B7%E8%89%B2%E6%B4%97%E9%AB%AE%E7%B2%BE-278382063337481?itemId=278383116140557&vendorItemId=278382063337476&sourceType=search&rank=28&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"PeRT 飛柔 人參萃取修護 洗髮乳, 750g, 3瓶",$228,https://www.tw.coupang.com/products/PeRT-%E9%A3%9B%E6%9F%94-%E4%BA%BA%E5%8F%83%E8%90%83%E5%8F%96%E4%BF%AE%E8%AD%B7-%E6%B4%97%E9%AB%AE%E4%B9%B3-255109917294597?itemId=255847301103633&vendorItemId=255846327992324&sourceType=search&rank=29&searchId=b91f70d4d3b94aa1bed2dd476c4fd5fd&q=%E6%9F%93%E7%87%99
"LUDILIYA 綠迪麗雅 染燙 卵蛋白瞬間修護乳 護髮素 免沖洗, 800ml, 2瓶","$1,940",https://www.tw.coupang.com/products/LUDILIYA-%E7%B6%A0%E8%BF%AA%E9%BA%97%E9%9B%85-%E6%9F%93%E7%87%99-%E5%8D%B5%E8%9B%8B%E7%99%BD%E7%9E%AC%E9%96%93%E4%BF%AE%E8%AD%B7%E4%B9%B3-%E8%AD%B7%E9%AB%AE%E7%B4%A0-%E5%85%8D%E6%B2%96%E6%B4%97-150770984894465?itemId=385681939447814&vendorItemId=385681939464192&sourceType=search&rank=&searchId=08979e8c1fa84cfbb52b1a7374b60fcb&q=%E6%9F%93%E7%87%99
