product_name,product_price,product_url
Awesomearound 女款V領柔和感短袖T恤,$224,https://www.tw.coupang.com/products/Awesomearound-%E5%A5%B3%E6%AC%BEV%E9%A0%98%E6%9F%94%E5%92%8C%E6%84%9F%E7%9F%AD%E8%A2%96T%E6%81%A4-21006657023065?itemId=21015270633665&vendorItemId=21082491157057&sourceType=search&rank=&searchId=12a2d1894dbe4346be4d24a9840013d6&q=%E6%9F%94%E5%92%8C%E6%84%9F
"SANA 莎娜 New Born 柔和兩用持色美型液態眉筆 0.6g, 02 自然棕, 1支",$209,https://www.tw.coupang.com/products/SANA-%E8%8E%8E%E5%A8%9C-New-Born-%E6%9F%94%E5%92%8C%E5%85%A9%E7%94%A8%E6%8C%81%E8%89%B2%E7%BE%8E%E5%9E%8B%E6%B6%B2%E6%85%8B%E7%9C%89%E7%AD%86-0.6g-155869350150149?itemId=155870100946953&vendorItemId=155869299818497&sourceType=search&rank=1&searchId=12a2d1894dbe4346be4d24a9840013d6&q=%E6%9F%94%E5%92%8C%E6%84%9F
Simplex 涼爽冰冷感夏季絎縫枕套,$373,https://www.tw.coupang.com/products/Simplex-%E6%B6%BC%E7%88%BD%E5%86%B0%E5%86%B7%E6%84%9F%E5%A4%8F%E5%AD%A3%E7%B5%8E%E7%B8%AB%E6%9E%95%E5%A5%97-21007402776577?itemId=21019164175557&vendorItemId=21086282627112&sourceType=search&rank=2&searchId=12a2d1894dbe4346be4d24a9840013d6&q=%E6%9F%94%E5%92%8C%E6%84%9F
Simplex 涼爽冰涼感夏季絎縫枕套 2 件,$717,https://www.tw.coupang.com/products/Simplex-%E6%B6%BC%E7%88%BD%E5%86%B0%E6%B6%BC%E6%84%9F%E5%A4%8F%E5%AD%A3%E7%B5%8E%E7%B8%AB%E6%9E%95%E5%A5%97-2-%E4%BB%B6-21007402776570?itemId=21019164175525&vendorItemId=21086282627117&sourceType=search&rank=3&searchId=12a2d1894dbe4346be4d24a9840013d6&q=%E6%9F%94%E5%92%8C%E6%84%9F
"SANA 莎娜 New Born 柔和兩用持色美型液態眉筆 0.6g, 01 灰棕, 1支",$188,https://www.tw.coupang.com/products/SANA-%E8%8E%8E%E5%A8%9C-New-Born-%E6%9F%94%E5%92%8C%E5%85%A9%E7%94%A8%E6%8C%81%E8%89%B2%E7%BE%8E%E5%9E%8B%E6%B6%B2%E6%85%8B%E7%9C%89%E7%AD%86-0.6g-155869350150149?itemId=155869761224709&vendorItemId=155870151278593&sourceType=search&rank=4&searchId=12a2d1894dbe4346be4d24a9840013d6&q=%E6%9F%94%E5%92%8C%E6%84%9F
"ROSY ROSA 日本熊野筆眼影刷 S, 1支",$192,https://www.tw.coupang.com/products/ROSY-ROSA-%E6%97%A5%E6%9C%AC%E7%86%8A%E9%87%8E%E7%AD%86%E7%9C%BC%E5%BD%B1%E5%88%B7-S-172244101742601?itemId=172244101742602&vendorItemId=172243602587649&sourceType=search&rank=5&searchId=12a2d1894dbe4346be4d24a9840013d6&q=%E6%9F%94%E5%92%8C%E6%84%9F
"擴香裝飾架 W1, 柔和的四月新鮮, 1個, 105ml",$475,https://www.tw.coupang.com/products/%E6%93%B4%E9%A6%99%E8%A3%9D%E9%A3%BE%E6%9E%B6-W1-21001955753897?itemId=21003323252546&vendorItemId=21071414388394&sourceType=search&rank=6&searchId=12a2d1894dbe4346be4d24a9840013d6&q=%E6%9F%94%E5%92%8C%E6%84%9F
"SANA 莎娜 New Born 柔和兩用持色美型液態眉筆 0.6g, 02 自然棕, 2支",$418,https://www.tw.coupang.com/products/SANA-%E8%8E%8E%E5%A8%9C-New-Born-%E6%9F%94%E5%92%8C%E5%85%A9%E7%94%A8%E6%8C%81%E8%89%B2%E7%BE%8E%E5%9E%8B%E6%B6%B2%E6%85%8B%E7%9C%89%E7%AD%86-0.6g-155869350150149?itemId=390744867029003&vendorItemId=390744867012615&sourceType=search&rank=7&searchId=12a2d1894dbe4346be4d24a9840013d6&q=%E6%9F%94%E5%92%8C%E6%84%9F
"壁掛式擴香組, 柔和的四月新鮮, 200ml, 1瓶","$1,450",https://www.tw.coupang.com/products/%E5%A3%81%E6%8E%9B%E5%BC%8F%E6%93%B4%E9%A6%99%E7%B5%84-21001611480894?itemId=21002751794484&vendorItemId=21070942512946&sourceType=search&rank=8&searchId=12a2d1894dbe4346be4d24a9840013d6&q=%E6%9F%94%E5%92%8C%E6%84%9F
"SANA 莎娜 New Born 柔和兩用持色美型液態眉筆 0.6g, 01 灰棕, 2支",$369,https://www.tw.coupang.com/products/SANA-%E8%8E%8E%E5%A8%9C-New-Born-%E6%9F%94%E5%92%8C%E5%85%A9%E7%94%A8%E6%8C%81%E8%89%B2%E7%BE%8E%E5%9E%8B%E6%B6%B2%E6%85%8B%E7%9C%89%E7%AD%86-0.6g-155869350150149?itemId=390744619581457&vendorItemId=390744619597836&sourceType=search&rank=9&searchId=12a2d1894dbe4346be4d24a9840013d6&q=%E6%9F%94%E5%92%8C%E6%84%9F
