product_name,product_price,product_url
"PHILIPS 飛利浦 LED支架燈 4W BN022 G2 325 x 22 x 34mm, 白光, 1支",$253,https://www.tw.coupang.com/products/PHILIPS-%E9%A3%9B%E5%88%A9%E6%B5%A6-LED%E6%94%AF%E6%9E%B6%E7%87%88-4W-BN022-G2-325-x-22-x-34mm-455170529918978?itemId=455170529886211&vendorItemId=455170529918977&sourceType=search&rank=&searchId=3f75a0bf85644493bbf52ce56447fda1&q=%E6%A2%9D%E7%87%88
"ULLBIT LED模組穩定器一體成型PC罩式線條燈20W, 單色",$250,https://www.tw.coupang.com/products/ULLBIT-LED%E6%A8%A1%E7%B5%84%E7%A9%A9%E5%AE%9A%E5%99%A8%E4%B8%80%E9%AB%94%E6%88%90%E5%9E%8BPC%E7%BD%A9%E5%BC%8F%E7%B7%9A%E6%A2%9D%E7%87%8820W-21007959128626?itemId=21022001839954&vendorItemId=21089049361341&sourceType=search&rank=1&searchId=3f75a0bf85644493bbf52ce56447fda1&q=%E6%A2%9D%E7%87%88
"DAEHAN 模具金屬大夾具, 黃光 自然光 白光",$217,https://www.tw.coupang.com/products/DAEHAN-%E6%A8%A1%E5%85%B7%E9%87%91%E5%B1%AC%E5%A4%A7%E5%A4%BE%E5%85%B7-21005455415956?itemId=21008337007564&vendorItemId=21075624831173&sourceType=search&rank=2&searchId=3f75a0bf85644493bbf52ce56447fda1&q=%E6%A2%9D%E7%87%88
"DAEHAN 3色USB充電式LED燈條 8W 52cm, 自然光+白光+黃光, 1組",$468,https://www.tw.coupang.com/products/DAEHAN-3%E8%89%B2USB%E5%85%85%E9%9B%BB%E5%BC%8FLED%E7%87%88%E6%A2%9D-8W-52cm-21005455416046?itemId=21008337007862&vendorItemId=21075310120663&sourceType=search&rank=3&searchId=3f75a0bf85644493bbf52ce56447fda1&q=%E6%A2%9D%E7%87%88
"VISANG 應急 LED RGB 間接燈串 50cm x 2 + 100cm x 2, 混色, 1組",$485,https://www.tw.coupang.com/products/VISANG-%E6%87%89%E6%80%A5-LED-RGB-%E9%96%93%E6%8E%A5%E7%87%88%E4%B8%B2-50cm-x-2-%2B-100cm-x-2-21005227532010?itemId=21007349697753&vendorItemId=21074640892404&sourceType=search&rank=4&searchId=3f75a0bf85644493bbf52ce56447fda1&q=%E6%A2%9D%E7%87%88
"cityo LED多功能日光燈 50W, 白光",$242,https://www.tw.coupang.com/products/cityo-LED%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%97%A5%E5%85%89%E7%87%88-50W-21001419599352?itemId=21002457398303&vendorItemId=21070450929791&sourceType=search&rank=5&searchId=3f75a0bf85644493bbf52ce56447fda1&q=%E6%A2%9D%E7%87%88
"DAEHAN USBLED燈條 70cm, LED燈條純色70cm",$270,https://www.tw.coupang.com/products/DAEHAN-USBLED%E7%87%88%E6%A2%9D-70cm-21006248750672?itemId=21012654402576&vendorItemId=21079921778731&sourceType=search&rank=6&searchId=3f75a0bf85644493bbf52ce56447fda1&q=%E6%A2%9D%E7%87%88
"VISANG RGB遙控調色LED燈條2m, 混色",$446,https://www.tw.coupang.com/products/VISANG-RGB%E9%81%99%E6%8E%A7%E8%AA%BF%E8%89%B2LED%E7%87%88%E6%A2%9D2m-21007830381284?itemId=21021295144523&vendorItemId=21074972057328&sourceType=search&rank=7&searchId=3f75a0bf85644493bbf52ce56447fda1&q=%E6%A2%9D%E7%87%88
"DAEHAN AUTOMOBILE USB LED燈條3色35cm, 白光/黃光/自然光",$248,https://www.tw.coupang.com/products/DAEHAN-AUTOMOBILE-USB-LED%E7%87%88%E6%A2%9D3%E8%89%B235cm-21005386970390?itemId=21008021411467&vendorItemId=21075624832222&sourceType=search&rank=8&searchId=3f75a0bf85644493bbf52ce56447fda1&q=%E6%A2%9D%E7%87%88
"DAEHAN 可連接 LED 線感應燈間接照明運動檢測鞋盒衣櫃臥室梳妝台遙控器串燈 120 厘米, 單一顏色",$418,https://www.tw.coupang.com/products/DAEHAN-%E5%8F%AF%E9%80%A3%E6%8E%A5-LED-%E7%B7%9A%E6%84%9F%E6%87%89%E7%87%88%E9%96%93%E6%8E%A5%E7%85%A7%E6%98%8E%E9%81%8B%E5%8B%95%E6%AA%A2%E6%B8%AC%E9%9E%8B%E7%9B%92%E8%A1%A3%E6%AB%83%E8%87%A5%E5%AE%A4%E6%A2%B3%E5%A6%9D%E5%8F%B0%E9%81%99%E6%8E%A7%E5%99%A8%E4%B8%B2%E7%87%88-120-%E5%8E%98%E7%B1%B3-21006717991625?itemId=21015617913134&vendorItemId=21082835720022&sourceType=search&rank=9&searchId=3f75a0bf85644493bbf52ce56447fda1&q=%E6%A2%9D%E7%87%88
