product_name,product_price,product_url
"NESTEA 雀巢茶品 檸檬茶, 300ml, 24入",$114,https://www.tw.coupang.com/products/NESTEA-%E9%9B%80%E5%B7%A2%E8%8C%B6%E5%93%81-%E6%AA%B8%E6%AA%AC%E8%8C%B6-268592033546242?itemId=268592033546243&vendorItemId=268592964665348&sourceType=search&rank=&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"御茶園 特上檸檬茶, 300ml, 24入",$132,https://www.tw.coupang.com/products/%E5%BE%A1%E8%8C%B6%E5%9C%92-%E7%89%B9%E4%B8%8A%E6%AA%B8%E6%AA%AC%E8%8C%B6-263088242638851?itemId=263089257693187&vendorItemId=171782275301376&sourceType=search&rank=1&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"泰山 冰鎮檸檬紅茶, 535ml, 24瓶",$279,https://www.tw.coupang.com/products/%E6%B3%B0%E5%B1%B1-%E5%86%B0%E9%8E%AE%E6%AA%B8%E6%AA%AC%E7%B4%85%E8%8C%B6-162467644653569?itemId=162468089282562&vendorItemId=283756732596251&sourceType=search&rank=2&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"Solimon 檸檬汁, 990ml, 1瓶",$143,https://www.tw.coupang.com/products/Solimon-%E6%AA%B8%E6%AA%AC%E6%B1%81-21007473901049?itemId=21001023410316&vendorItemId=21005464495424&sourceType=search&rank=3&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"EUROFOOD 檸檬汁, 500ml, 1瓶",$207,https://www.tw.coupang.com/products/EUROFOOD-%E6%AA%B8%E6%AA%AC%E6%B1%81-21007239236782?itemId=21019859831173&vendorItemId=21003001304648&sourceType=search&rank=4&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"工研 金桔檸檬健康醡, 590ml, 1瓶",$136,https://www.tw.coupang.com/products/%E5%B7%A5%E7%A0%94-%E9%87%91%E6%A1%94%E6%AA%B8%E6%AA%AC%E5%81%A5%E5%BA%B7%E9%86%A1-151838187814919?itemId=151837424435207&vendorItemId=151838187814914&sourceType=search&rank=5&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"檸檬汁, 200ml, 12瓶",$283,https://www.tw.coupang.com/products/%E6%AA%B8%E6%AA%AC%E6%B1%81-21006402379892?itemId=21000376169838&vendorItemId=21003911342774&sourceType=search&rank=6&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"Lazy Lemon Lazy檸檬汁, 200ml, 1瓶",$68,https://www.tw.coupang.com/products/Lazy-Lemon-Lazy%E6%AA%B8%E6%AA%AC%E6%B1%81-21005379164633?itemId=21012409158165&vendorItemId=21003509547794&sourceType=search&rank=7&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"SSY 鮮採製程檸檬片, 150g, 2包",$121,https://www.tw.coupang.com/products/SSY-%E9%AE%AE%E6%8E%A1%E8%A3%BD%E7%A8%8B%E6%AA%B8%E6%AA%AC%E7%89%87-163451141865472?itemId=319698377867269&vendorItemId=319697417388038&sourceType=search&rank=8&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"惠香 蜜檸檬, 60g, 2包",$84,https://www.tw.coupang.com/products/%E6%83%A0%E9%A6%99-%E8%9C%9C%E6%AA%B8%E6%AA%AC-159064470274062?itemId=391817069543430&vendorItemId=391817069527040&sourceType=search&rank=9&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"檸檬汁, 1000ml, 1瓶",$168,https://www.tw.coupang.com/products/%E6%AA%B8%E6%AA%AC%E6%B1%81-21006978929731?itemId=21017041995450&vendorItemId=21084216816976&sourceType=search&rank=10&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"Lemonly 檸檬檸檬汁, 1個, 1000ml",$105,https://www.tw.coupang.com/products/Lemonly-%E6%AA%B8%E6%AA%AC%E6%AA%B8%E6%AA%AC%E6%B1%81-21006988072254?itemId=21017093970861&vendorItemId=21084267835542&sourceType=search&rank=11&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"Nestle 雀巢 藍色檸檬沖泡飲, 13.3g, 40條, 1盒",$176,https://www.tw.coupang.com/products/Nestle-%E9%9B%80%E5%B7%A2-%E8%97%8D%E8%89%B2%E6%AA%B8%E6%AA%AC%E6%B2%96%E6%B3%A1%E9%A3%B2-21000002526729?itemId=21000000340864&vendorItemId=21003000249412&sourceType=search&rank=12&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"Ice TaLK 檸檬水, 230ml, 10個",$193,https://www.tw.coupang.com/products/Ice-TaLK-%E6%AA%B8%E6%AA%AC%E6%B0%B4-21006625037354?itemId=21015078683581&vendorItemId=21082300875381&sourceType=search&rank=13&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"POMONA 檸檬濃縮液, 1.2kg, 1瓶",$285,https://www.tw.coupang.com/products/POMONA-%E6%AA%B8%E6%AA%AC%E6%BF%83%E7%B8%AE%E6%B6%B2-21000014810810?itemId=21000061121105&vendorItemId=21073019233851&sourceType=search&rank=14&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"Juver 茱兒 檸檬水, 200ml, 30瓶",$364,https://www.tw.coupang.com/products/Juver-%E8%8C%B1%E5%85%92-%E6%AA%B8%E6%AA%AC%E6%B0%B4-21007292273051?itemId=21018629900115&vendorItemId=21085765220359&sourceType=search&rank=15&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"LONDON BRIX Seoul Factory檸檬汁, 1.5L, 2瓶","$1,012",https://www.tw.coupang.com/products/LONDON-BRIX-Seoul-Factory%E6%AA%B8%E6%AA%AC%E6%B1%81-21006344789227?itemId=21018741705807&vendorItemId=21085873966285&sourceType=search&rank=16&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"Siracuse 檸檬汁, 200ml, 12瓶",$440,https://www.tw.coupang.com/products/Siracuse-%E6%AA%B8%E6%AA%AC%E6%B1%81-21005919283538?itemId=21000756766121&vendorItemId=21004910793533&sourceType=search&rank=17&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"Sweetcup 檸檬濃縮液, 1.8kg, 1瓶",$539,https://www.tw.coupang.com/products/Sweetcup-%E6%AA%B8%E6%AA%AC%E6%BF%83%E7%B8%AE%E6%B6%B2-21007520715026?itemId=21019724622795&vendorItemId=21070298675926&sourceType=search&rank=18&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"TOSCHI 檸檬糖漿, 1000ml, 1瓶",$344,https://www.tw.coupang.com/products/TOSCHI-%E6%AA%B8%E6%AA%AC%E7%B3%96%E6%BC%BF-21006702238120?itemId=21015528465053&vendorItemId=21070599790687&sourceType=search&rank=19&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"TOMARCHIO 義大利西西里檸檬氣泡飲, 275ml, 4瓶",$224,https://www.tw.coupang.com/products/TOMARCHIO-%E7%BE%A9%E5%A4%A7%E5%88%A9%E8%A5%BF%E8%A5%BF%E9%87%8C%E6%AA%B8%E6%AA%AC%E6%B0%A3%E6%B3%A1%E9%A3%B2-407390776164355?itemId=407390776180739&vendorItemId=453450764615683&sourceType=search&rank=20&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"LONDON BRIX 檸檬濃縮汁, 1.8L, 1瓶",$518,https://www.tw.coupang.com/products/LONDON-BRIX-%E6%AA%B8%E6%AA%AC%E6%BF%83%E7%B8%AE%E6%B1%81-21006565822093?itemId=21014718977068&vendorItemId=21081959672310&sourceType=search&rank=21&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"波莫納冰沙糖漿檸檬, 2kg, 2瓶",$496,https://www.tw.coupang.com/products/%E6%B3%A2%E8%8E%AB%E7%B4%8D%E5%86%B0%E6%B2%99%E7%B3%96%E6%BC%BF%E6%AA%B8%E6%AA%AC-21000002440744?itemId=21003226145999&vendorItemId=21086569133883&sourceType=search&rank=22&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"PURE PLAN 香水檸檬果汁, 2kg, 1盒",$738,https://www.tw.coupang.com/products/PURE-PLAN-%E9%A6%99%E6%B0%B4%E6%AA%B8%E6%AA%AC%E6%9E%9C%E6%B1%81-21006339741930?itemId=21013295155039&vendorItemId=21080552545259&sourceType=search&rank=23&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"微晶粉紅檸檬水粉, 13.7g, 6條, 1盒",$139,https://www.tw.coupang.com/products/%E5%BE%AE%E6%99%B6%E7%B2%89%E7%B4%85%E6%AA%B8%E6%AA%AC%E6%B0%B4%E7%B2%89-21008288677082?itemId=21000790663631&vendorItemId=21005340866895&sourceType=search&rank=24&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"Taylor 精製檸檬濃縮液, 2個, 1.8kg","$1,011",https://www.tw.coupang.com/products/Taylor-%E7%B2%BE%E8%A3%BD%E6%AA%B8%E6%AA%AC%E6%BF%83%E7%B8%AE%E6%B6%B2-21007970429572?itemId=21022011222105&vendorItemId=21089058647150&sourceType=search&rank=25&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"Mr Nature 檸檬風味飲, 500ml, 9個",$932,https://www.tw.coupang.com/products/Mr-Nature-%E6%AA%B8%E6%AA%AC%E9%A2%A8%E5%91%B3%E9%A3%B2-21004353924978?itemId=21005111827818&vendorItemId=21072421353092&sourceType=search&rank=26&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"ALLMAX Cabion 檸檬 青檸, 1個, 725g",$678,https://www.tw.coupang.com/products/ALLMAX-Cabion-%E6%AA%B8%E6%AA%AC-%E9%9D%92%E6%AA%B8-21007991529004?itemId=21022490078984&vendorItemId=21089532287559&sourceType=search&rank=27&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"Dyceum Decopick 星檸檬, 1個, 200入",$400,https://www.tw.coupang.com/products/Dyceum-Decopick-%E6%98%9F%E6%AA%B8%E6%AA%AC-21008135072994?itemId=21023107480610&vendorItemId=21090140758015&sourceType=search&rank=28&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
"Lazy Lemon 萊姆檸檬汁, 1瓶, 1L",$253,https://www.tw.coupang.com/products/Lazy-Lemon-%E8%90%8A%E5%A7%86%E6%AA%B8%E6%AA%AC%E6%B1%81-21000154239736?itemId=21000444737397&vendorItemId=21076860506710&sourceType=search&rank=29&searchId=3156babc595b44148ca0057c23d10c60&q=%E6%AA%B8%E6%AA%AC%E7%B4%94%E9%9C%B2
