product_name,product_price,product_url
"LEELORA 櫻花茶 罐裝, 4g, 1瓶, 1瓶",$322,https://www.tw.coupang.com/products/LEELORA-%E6%AB%BB%E8%8A%B1%E8%8C%B6-%E7%BD%90%E8%A3%9D-21000064356305?itemId=21000218163029&vendorItemId=21003527366368&sourceType=search&rank=&searchId=8b0c7d8f9d41432aa54cb70361e4fabd&q=%E6%AB%BB%E8%8A%B1%E8%8C%B6
"OSULLOC The Secret Tea Story 9款綜合茶包禮盒, 1組",$823,https://www.tw.coupang.com/products/OSULLOC-The-Secret-Tea-Story-9%E6%AC%BE%E7%B6%9C%E5%90%88%E8%8C%B6%E5%8C%85%E7%A6%AE%E7%9B%92-21006354841959?itemId=21020276277375&vendorItemId=21003603536789&sourceType=search&rank=1&searchId=8b0c7d8f9d41432aa54cb70361e4fabd&q=%E6%AB%BB%E8%8A%B1%E8%8C%B6
"Osulloc櫻花香歐來水果茶, 1.8g, 10包, 2盒",$639,https://www.tw.coupang.com/products/Osulloc%E6%AB%BB%E8%8A%B1%E9%A6%99%E6%AD%90%E4%BE%86%E6%B0%B4%E6%9E%9C%E8%8C%B6-21008083776129?itemId=21022802934479&vendorItemId=21085322065535&sourceType=search&rank=2&searchId=8b0c7d8f9d41432aa54cb70361e4fabd&q=%E6%AB%BB%E8%8A%B1%E8%8C%B6
"OSULLOC 袋裝濃郁櫻花香的偶來茶包, 1.8g, 20個, 1袋",$559,https://www.tw.coupang.com/products/OSULLOC-%E8%A2%8B%E8%A3%9D%E6%BF%83%E9%83%81%E6%AB%BB%E8%8A%B1%E9%A6%99%E7%9A%84%E5%81%B6%E4%BE%86%E8%8C%B6%E5%8C%85-21007701875548?itemId=21020623230747&vendorItemId=21070348890097&sourceType=search&rank=3&searchId=8b0c7d8f9d41432aa54cb70361e4fabd&q=%E6%AB%BB%E8%8A%B1%E8%8C%B6
"Kkokdam 迷你櫻花茶, 3g, 1罐, 1罐",$309,https://www.tw.coupang.com/products/Kkokdam-%E8%BF%B7%E4%BD%A0%E6%AB%BB%E8%8A%B1%E8%8C%B6-21007704438120?itemId=21020636335580&vendorItemId=21070565374700&sourceType=search&rank=4&searchId=8b0c7d8f9d41432aa54cb70361e4fabd&q=%E6%AB%BB%E8%8A%B1%E8%8C%B6
"Kkokdam 櫻花花茶 罐裝, 10g, 1罐, 1罐",$432,https://www.tw.coupang.com/products/Kkokdam-%E6%AB%BB%E8%8A%B1%E8%8A%B1%E8%8C%B6-%E7%BD%90%E8%A3%9D-21007867930710?itemId=21021485829082&vendorItemId=21070911886823&sourceType=search&rank=5&searchId=8b0c7d8f9d41432aa54cb70361e4fabd&q=%E6%AB%BB%E8%8A%B1%E8%8C%B6
"SSANGGYE 櫻花茶 夾鏈包裝, 1.2g, 20包, 1袋",$464,https://www.tw.coupang.com/products/SSANGGYE-%E6%AB%BB%E8%8A%B1%E8%8C%B6-%E5%A4%BE%E9%8F%88%E5%8C%85%E8%A3%9D-21007196330754?itemId=21018179911858&vendorItemId=21085328957028&sourceType=search&rank=6&searchId=8b0c7d8f9d41432aa54cb70361e4fabd&q=%E6%AB%BB%E8%8A%B1%E8%8C%B6
"Osulloc Olleh 充滿櫻花香味 3p, 1.8g, 3個, 1盒",$117,https://www.tw.coupang.com/products/Osulloc-Olleh-%E5%85%85%E6%BB%BF%E6%AB%BB%E8%8A%B1%E9%A6%99%E5%91%B3-3p-21008083776129?itemId=21020974789694&vendorItemId=21086146501670&sourceType=search&rank=7&searchId=8b0c7d8f9d41432aa54cb70361e4fabd&q=%E6%AB%BB%E8%8A%B1%E8%8C%B6
"cconlab 櫻花茶三角茶包, 0.5克, 20個, 1罐",$426,https://www.tw.coupang.com/products/cconlab-%E6%AB%BB%E8%8A%B1%E8%8C%B6%E4%B8%89%E8%A7%92%E8%8C%B6%E5%8C%85-21005526033935?itemId=21008657440693&vendorItemId=21075944627646&sourceType=search&rank=8&searchId=8b0c7d8f9d41432aa54cb70361e4fabd&q=%E6%AB%BB%E8%8A%B1%E8%8C%B6
"cconlab 櫻花茶三角茶包, 0.5克, 40個, 1袋",$533,https://www.tw.coupang.com/products/cconlab-%E6%AB%BB%E8%8A%B1%E8%8C%B6%E4%B8%89%E8%A7%92%E8%8C%B6%E5%8C%85-21008184591349?itemId=21018867538440&vendorItemId=21075944627631&sourceType=search&rank=9&searchId=8b0c7d8f9d41432aa54cb70361e4fabd&q=%E6%AB%BB%E8%8A%B1%E8%8C%B6
"Osulloc櫻花香歐來水果茶, 1.8g, 10入, 1盒",$365,https://www.tw.coupang.com/products/Osulloc%E6%AB%BB%E8%8A%B1%E9%A6%99%E6%AD%90%E4%BE%86%E6%B0%B4%E6%9E%9C%E8%8C%B6-21008083776129?itemId=21006745070682&vendorItemId=21070248959844&sourceType=search&rank=10&searchId=8b0c7d8f9d41432aa54cb70361e4fabd&q=%E6%AB%BB%E8%8A%B1%E8%8C%B6
