product_name,product_price,product_url
"聽到你的聲音卡 9 x 11cm, 10個, 隨機發貨",$272,https://www.tw.coupang.com/products/%E8%81%BD%E5%88%B0%E4%BD%A0%E7%9A%84%E8%81%B2%E9%9F%B3%E5%8D%A1-9-x-11cm-21001633591062?itemId=21002786376880&vendorItemId=21070776106616&sourceType=search&rank=&searchId=c230e5d3e7924508bd01c2b9dd4e2bf3&q=%E6%AF%8D%E9%9F%B3%E5%8D%A1
"學習字母卡 50入, 混色",$416,https://www.tw.coupang.com/products/%E5%AD%B8%E7%BF%92%E5%AD%97%E6%AF%8D%E5%8D%A1-50%E5%85%A5-21001981298088?itemId=21003370902041&vendorItemId=21071357616253&sourceType=search&rank=1&searchId=c230e5d3e7924508bd01c2b9dd4e2bf3&q=%E6%AF%8D%E9%9F%B3%E5%8D%A1
"DESIGN AGIT 集點卡 12款 2入, 混色, 1組",$276,https://www.tw.coupang.com/products/DESIGN-AGIT-%E9%9B%86%E9%BB%9E%E5%8D%A1-12%E6%AC%BE-2%E5%85%A5-21001947451575?itemId=21003306730961&vendorItemId=21071293634660&sourceType=search&rank=2&searchId=c230e5d3e7924508bd01c2b9dd4e2bf3&q=%E6%AF%8D%E9%9F%B3%E5%8D%A1
"朋友感謝卡 9 x 11cm, 隨機發貨, 10個",$272,https://www.tw.coupang.com/products/%E6%9C%8B%E5%8F%8B%E6%84%9F%E8%AC%9D%E5%8D%A1-9-x-11cm-21001633591160?itemId=21002786377011&vendorItemId=21070776106811&sourceType=search&rank=3&searchId=c230e5d3e7924508bd01c2b9dd4e2bf3&q=%E6%AF%8D%E9%9F%B3%E5%8D%A1
"金屬卡機器人卡入門版 40p 套組, 混色",$214,https://www.tw.coupang.com/products/%E9%87%91%E5%B1%AC%E5%8D%A1%E6%A9%9F%E5%99%A8%E4%BA%BA%E5%8D%A1%E5%85%A5%E9%96%80%E7%89%88-40p-%E5%A5%97%E7%B5%84-21007327036283?itemId=21018803648631&vendorItemId=21085934369047&sourceType=search&rank=4&searchId=c230e5d3e7924508bd01c2b9dd4e2bf3&q=%E6%AF%8D%E9%9F%B3%E5%8D%A1
"投影設計 X mas 卡 5 種 x 3p, 隨機發貨, 1套",$251,https://www.tw.coupang.com/products/%E6%8A%95%E5%BD%B1%E8%A8%AD%E8%A8%88-X-mas-%E5%8D%A1-5-%E7%A8%AE-x-3p-21002352415753?itemId=21004081029720&vendorItemId=21072065044218&sourceType=search&rank=5&searchId=c230e5d3e7924508bd01c2b9dd4e2bf3&q=%E6%AF%8D%E9%9F%B3%E5%8D%A1
"Dazzle edu 漢堡卡牌記憶遊戲, 混色",$403,https://www.tw.coupang.com/products/Dazzle-edu-%E6%BC%A2%E5%A0%A1%E5%8D%A1%E7%89%8C%E8%A8%98%E6%86%B6%E9%81%8A%E6%88%B2-21007892762362?itemId=21000285808139&vendorItemId=21003701411641&sourceType=search&rank=6&searchId=c230e5d3e7924508bd01c2b9dd4e2bf3&q=%E6%AF%8D%E9%9F%B3%E5%8D%A1
"MBF USB 聲卡, MBF-USB71C",$133,https://www.tw.coupang.com/products/MBF-USB-%E8%81%B2%E5%8D%A1-21005257836363?itemId=21007463064736&vendorItemId=21074753984094&sourceType=search&rank=7&searchId=c230e5d3e7924508bd01c2b9dd4e2bf3&q=%E6%AF%8D%E9%9F%B3%E5%8D%A1
"益智學習卡, 黃色的",$653,https://www.tw.coupang.com/products/%E7%9B%8A%E6%99%BA%E5%AD%B8%E7%BF%92%E5%8D%A1-21006100276446?itemId=21011426814486&vendorItemId=21078699566754&sourceType=search&rank=8&searchId=c230e5d3e7924508bd01c2b9dd4e2bf3&q=%E6%AF%8D%E9%9F%B3%E5%8D%A1
"高音故事卡, 混色, 10個",$346,https://www.tw.coupang.com/products/%E9%AB%98%E9%9F%B3%E6%95%85%E4%BA%8B%E5%8D%A1-21004713100382?itemId=21005948775853&vendorItemId=21073246710602&sourceType=search&rank=9&searchId=c230e5d3e7924508bd01c2b9dd4e2bf3&q=%E6%AF%8D%E9%9F%B3%E5%8D%A1
