product_name,product_price,product_url
"Bio essence 碧歐斯 金萃喚膚潔面霜, 100g, 2條",$128,https://www.tw.coupang.com/products/Bio-essence-%E7%A2%A7%E6%AD%90%E6%96%AF-%E9%87%91%E8%90%83%E5%96%9A%E8%86%9A%E6%BD%94%E9%9D%A2%E9%9C%9C-259109274206214?itemId=260984199397392&vendorItemId=260985201868804&sourceType=search&rank=&searchId=b2d33df16f4541ec841eda7c0b0ee727&q=%E6%AF%9B%E5%AD%94%E8%B6%85%E6%B7%A8%E5%8C%96
"Bio essence 碧歐斯 金萃喚膚潔面霜, 100g, 4條",$243,https://www.tw.coupang.com/products/Bio-essence-%E7%A2%A7%E6%AD%90%E6%96%AF-%E9%87%91%E8%90%83%E5%96%9A%E8%86%9A%E6%BD%94%E9%9D%A2%E9%9C%9C-259109274206214?itemId=260984157454337&vendorItemId=260986049101856&sourceType=search&rank=1&searchId=b2d33df16f4541ec841eda7c0b0ee727&q=%E6%AF%9B%E5%AD%94%E8%B6%85%E6%B7%A8%E5%8C%96
"Bio essence 碧歐斯 金萃喚膚潔面霜, 100g, 6條",$365,https://www.tw.coupang.com/products/Bio-essence-%E7%A2%A7%E6%AD%90%E6%96%AF-%E9%87%91%E8%90%83%E5%96%9A%E8%86%9A%E6%BD%94%E9%9D%A2%E9%9C%9C-259109274206214?itemId=260985197674506&vendorItemId=260984195203075&sourceType=search&rank=2&searchId=b2d33df16f4541ec841eda7c0b0ee727&q=%E6%AF%9B%E5%AD%94%E8%B6%85%E6%B7%A8%E5%8C%96
"Ricocell 超深層積雪草艾草泡沫潔面乳, 120ml, 1個",$142,https://www.tw.coupang.com/products/Ricocell-%E8%B6%85%E6%B7%B1%E5%B1%A4%E7%A9%8D%E9%9B%AA%E8%8D%89%E8%89%BE%E8%8D%89%E6%B3%A1%E6%B2%AB%E6%BD%94%E9%9D%A2%E4%B9%B3-21006945188606?itemId=21019292089454&vendorItemId=21086406815240&sourceType=search&rank=3&searchId=b2d33df16f4541ec841eda7c0b0ee727&q=%E6%AF%9B%E5%AD%94%E8%B6%85%E6%B7%A8%E5%8C%96
"Bio essence 碧歐斯 金萃喚膚潔面霜, 100g, 5條",$304,https://www.tw.coupang.com/products/Bio-essence-%E7%A2%A7%E6%AD%90%E6%96%AF-%E9%87%91%E8%90%83%E5%96%9A%E8%86%9A%E6%BD%94%E9%9D%A2%E9%9C%9C-259109274206214?itemId=260984232951815&vendorItemId=260986124599297&sourceType=search&rank=4&searchId=b2d33df16f4541ec841eda7c0b0ee727&q=%E6%AF%9B%E5%AD%94%E8%B6%85%E6%B7%A8%E5%8C%96
"MISSHA 超水潤玻尿酸洗面乳, 200ml, 3條",$306,https://www.tw.coupang.com/products/MISSHA-%E8%B6%85%E6%B0%B4%E6%BD%A4%E7%8E%BB%E5%B0%BF%E9%85%B8%E6%B4%97%E9%9D%A2%E4%B9%B3-230923068981249?itemId=425167079555080&vendorItemId=425167079538691&sourceType=search&rank=5&searchId=b2d33df16f4541ec841eda7c0b0ee727&q=%E6%AF%9B%E5%AD%94%E8%B6%85%E6%B7%A8%E5%8C%96
"MISSHA 超水潤玻尿酸洗面乳, 200ml, 2條",$204,https://www.tw.coupang.com/products/MISSHA-%E8%B6%85%E6%B0%B4%E6%BD%A4%E7%8E%BB%E5%B0%BF%E9%85%B8%E6%B4%97%E9%9D%A2%E4%B9%B3-230923068981249?itemId=425167079555078&vendorItemId=425167079587842&sourceType=search&rank=6&searchId=b2d33df16f4541ec841eda7c0b0ee727&q=%E6%AF%9B%E5%AD%94%E8%B6%85%E6%B7%A8%E5%8C%96
"MISSHA 超水潤玻尿酸洗面乳, 200ml, 1條",$151,https://www.tw.coupang.com/products/MISSHA-%E8%B6%85%E6%B0%B4%E6%BD%A4%E7%8E%BB%E5%B0%BF%E9%85%B8%E6%B4%97%E9%9D%A2%E4%B9%B3-230923068981249?itemId=230924650250242&vendorItemId=230923903680512&sourceType=search&rank=7&searchId=b2d33df16f4541ec841eda7c0b0ee727&q=%E6%AF%9B%E5%AD%94%E8%B6%85%E6%B7%A8%E5%8C%96
"MISSHA 超水潤玻尿酸洗面乳, 200ml, 4條",$408,https://www.tw.coupang.com/products/MISSHA-%E8%B6%85%E6%B0%B4%E6%BD%A4%E7%8E%BB%E5%B0%BF%E9%85%B8%E6%B4%97%E9%9D%A2%E4%B9%B3-230923068981249?itemId=425167079538697&vendorItemId=425167079538693&sourceType=search&rank=8&searchId=b2d33df16f4541ec841eda7c0b0ee727&q=%E6%AF%9B%E5%AD%94%E8%B6%85%E6%B7%A8%E5%8C%96
"MISSHA 超水潤玻尿酸洗面乳, 200ml, 6條",$613,https://www.tw.coupang.com/products/MISSHA-%E8%B6%85%E6%B0%B4%E6%BD%A4%E7%8E%BB%E5%B0%BF%E9%85%B8%E6%B4%97%E9%9D%A2%E4%B9%B3-230923068981249?itemId=425167083732997&vendorItemId=425167083782147&sourceType=search&rank=9&searchId=b2d33df16f4541ec841eda7c0b0ee727&q=%E6%AF%9B%E5%AD%94%E8%B6%85%E6%B7%A8%E5%8C%96
