product_name,product_price,product_url
"Ocean Society 香檳杯, 190ml, 6個",$277,https://www.tw.coupang.com/products/Ocean-Society-%E9%A6%99%E6%AA%B3%E6%9D%AF-160960446709763?itemId=160960861929482&vendorItemId=160960861929473&sourceType=search&rank=&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"ssueim 豎紋香檳杯, 220毫升, 2個",$370,https://www.tw.coupang.com/products/ssueim-%E8%B1%8E%E7%B4%8B%E9%A6%99%E6%AA%B3%E6%9D%AF-21006565436456?itemId=21014716696330&vendorItemId=21081957413283&sourceType=search&rank=1&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"Life Smile 塑料香檳杯, 150ml, 8入",$172,https://www.tw.coupang.com/products/Life-Smile-%E5%A1%91%E6%96%99%E9%A6%99%E6%AA%B3%E6%9D%AF-21007489864388?itemId=21019583346850&vendorItemId=21073108598283&sourceType=search&rank=2&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"NICOTT 香檳杯, 200毫升, 1個",$140,https://www.tw.coupang.com/products/NICOTT-%E9%A6%99%E6%AA%B3%E6%9D%AF-21001391414249?itemId=21002426773954&vendorItemId=21070420779445&sourceType=search&rank=3&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"CORKCICLE. 酷仕客 三層真空香檳杯 土耳其藍, 200ml, 1個",$345,https://www.tw.coupang.com/products/CORKCICLE.-%E9%85%B7%E4%BB%95%E5%AE%A2-%E4%B8%89%E5%B1%A4%E7%9C%9F%E7%A9%BA%E9%A6%99%E6%AA%B3%E6%9D%AF-%E5%9C%9F%E8%80%B3%E5%85%B6%E8%97%8D-161741644185616?itemId=161742084620304&vendorItemId=161742084620298&sourceType=search&rank=4&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"SCHOTT ZWIESEL 經典香檳杯, 250毫升, 2個",$456,https://www.tw.coupang.com/products/SCHOTT-ZWIESEL-%E7%B6%93%E5%85%B8%E9%A6%99%E6%AA%B3%E6%9D%AF-21006870112445?itemId=21016431940797&vendorItemId=21083622735794&sourceType=search&rank=5&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"Luminarc 香檳杯, 160ml, 2入",$196,https://www.tw.coupang.com/products/Luminarc-%E9%A6%99%E6%AA%B3%E6%9D%AF-21005126029008?itemId=21007011124005&vendorItemId=21003610608833&sourceType=search&rank=6&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"Bormioli ROCCO 香檳杯, 240ml, 4入",$686,https://www.tw.coupang.com/products/Bormioli-ROCCO-%E9%A6%99%E6%AA%B3%E6%9D%AF-21001376389392?itemId=21002409722613&vendorItemId=21070243570311&sourceType=search&rank=7&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"ssueim 豎紋香檳杯, 220毫升, 4個",$668,https://www.tw.coupang.com/products/ssueim-%E8%B1%8E%E7%B4%8B%E9%A6%99%E6%AA%B3%E6%9D%AF-21006565436456?itemId=21014716696334&vendorItemId=21081957413302&sourceType=search&rank=8&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"塑膠玻璃香檳杯, 160ml, 24個",$414,https://www.tw.coupang.com/products/%E5%A1%91%E8%86%A0%E7%8E%BB%E7%92%83%E9%A6%99%E6%AA%B3%E6%9D%AF-21000270762323?itemId=21000850536168&vendorItemId=21005161152651&sourceType=search&rank=9&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"Buy goods PC超高強度塑料香檳杯, 210毫升, 1個",$114,https://www.tw.coupang.com/products/Buy-goods-PC%E8%B6%85%E9%AB%98%E5%BC%B7%E5%BA%A6%E5%A1%91%E6%96%99%E9%A6%99%E6%AA%B3%E6%9D%AF-21005504267469?itemId=21008560151806&vendorItemId=21075847518157&sourceType=search&rank=10&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"RIEDEL O系列香檳杯 414/28, 2個, 264ml","$1,072",https://www.tw.coupang.com/products/RIEDEL-O%E7%B3%BB%E5%88%97%E9%A6%99%E6%AA%B3%E6%9D%AF-414%2F28-21005237524142?itemId=21007390769133&vendorItemId=21003708661504&sourceType=search&rank=11&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"Pasabahce 滴碟型香檳杯 275ml, 6件",$464,https://www.tw.coupang.com/products/Pasabahce-%E6%BB%B4%E7%A2%9F%E5%9E%8B%E9%A6%99%E6%AA%B3%E6%9D%AF-275ml-21000076729795?itemId=21000249027024&vendorItemId=21003607717116&sourceType=search&rank=12&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"Luigi Bormioli 水晶玻璃香檳杯, 210ml, 2個",$612,https://www.tw.coupang.com/products/Luigi-Bormioli-%E6%B0%B4%E6%99%B6%E7%8E%BB%E7%92%83%E9%A6%99%E6%AA%B3%E6%9D%AF-21000239146651?itemId=21000760177756&vendorItemId=21004917806469&sourceType=search&rank=13&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"PARTYSHOW 塑膠派對展示香檳杯, 10入, 150ml",$220,https://www.tw.coupang.com/products/PARTYSHOW-%E5%A1%91%E8%86%A0%E6%B4%BE%E5%B0%8D%E5%B1%95%E7%A4%BA%E9%A6%99%E6%AA%B3%E6%9D%AF-21006630883425?itemId=21015115406224&vendorItemId=21082337200373&sourceType=search&rank=14&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"不銹鋼香檳杯玫瑰金, 2個",$468,https://www.tw.coupang.com/products/%E4%B8%8D%E9%8A%B9%E9%8B%BC%E9%A6%99%E6%AA%B3%E6%9D%AF%E7%8E%AB%E7%91%B0%E9%87%91-21005530091006?itemId=21014222274399&vendorItemId=21087721279079&sourceType=search&rank=15&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"CORKCICLE. 酷仕客 三層真空香檳杯 玫瑰石英粉, 200ml, 1個",$398,https://www.tw.coupang.com/products/CORKCICLE.-%E9%85%B7%E4%BB%95%E5%AE%A2-%E4%B8%89%E5%B1%A4%E7%9C%9F%E7%A9%BA%E9%A6%99%E6%AA%B3%E6%9D%AF-%E7%8E%AB%E7%91%B0%E7%9F%B3%E8%8B%B1%E7%B2%89-161741644185618?itemId=161742508228627&vendorItemId=161741644185614&sourceType=search&rank=16&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"約瑟芬四號香檳杯, 300ml, 1個","$3,107",https://www.tw.coupang.com/products/%E7%B4%84%E7%91%9F%E8%8A%AC%E5%9B%9B%E8%99%9F%E9%A6%99%E6%AA%B3%E6%9D%AF-21007679576300?itemId=21020508421715&vendorItemId=21087586302070&sourceType=search&rank=17&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"Pasabahce 蒙特卡洛香檳杯, 2個, 225毫升",$380,https://www.tw.coupang.com/products/Pasabahce-%E8%92%99%E7%89%B9%E5%8D%A1%E6%B4%9B%E9%A6%99%E6%AA%B3%E6%9D%AF-21005481391621?itemId=21008456973553&vendorItemId=21075744552919&sourceType=search&rank=18&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"SPIEGELAU 香檳杯, 2個","$1,937",https://www.tw.coupang.com/products/SPIEGELAU-%E9%A6%99%E6%AA%B3%E6%9D%AF-21007262300246?itemId=21000000261854&vendorItemId=21087721281990&sourceType=search&rank=19&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"Saenghwaleulgeurida 塑膠香檳杯, 12個, 150毫升",$288,https://www.tw.coupang.com/products/Saenghwaleulgeurida-%E5%A1%91%E8%86%A0%E9%A6%99%E6%AA%B3%E6%9D%AF-21006653923232?itemId=21015255457956&vendorItemId=21082476118405&sourceType=search&rank=20&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"SCHOTT ZWIESEL 香檳杯 120/591, 388毫升, 2個",$512,https://www.tw.coupang.com/products/SCHOTT-ZWIESEL-%E9%A6%99%E6%AA%B3%E6%9D%AF-120%2F591-21004623100633?itemId=21005733086134&vendorItemId=21005270684531&sourceType=search&rank=21&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"OCEAN 香檳酒杯, 210ml, 2個",$319,https://www.tw.coupang.com/products/OCEAN-%E9%A6%99%E6%AA%B3%E9%85%92%E6%9D%AF-21000022735469?itemId=21000088326008&vendorItemId=21003151916000&sourceType=search&rank=22&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"SCHOTT ZWIESEL 口味香檳杯 283ml, 6入","$1,434",https://www.tw.coupang.com/products/SCHOTT-ZWIESEL-%E5%8F%A3%E5%91%B3%E9%A6%99%E6%AA%B3%E6%9D%AF-283ml-21004623100722?itemId=21005733086322&vendorItemId=21003000210687&sourceType=search&rank=23&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
"RIEDEL Performance系列香檳杯, 375毫升, 2個","$2,188",https://www.tw.coupang.com/products/RIEDEL-Performance%E7%B3%BB%E5%88%97%E9%A6%99%E6%AA%B3%E6%9D%AF-21004577433867?itemId=21005603945835&vendorItemId=21072903178844&sourceType=search&rank=24&searchId=0c1f24203cf2490e9fa886774fd24a68&q=%E6%B0%A3%E6%B3%A1%E6%9D%AF
