product_name,product_price,product_url
"SKY 震動潔面儀, SKY-Mi-SC10, 風信子藍",$314,https://www.tw.coupang.com/products/SKY-%E9%9C%87%E5%8B%95%E6%BD%94%E9%9D%A2%E5%84%80-21005541895886?itemId=21008730663953&vendorItemId=21076017676808&sourceType=search&rank=&searchId=d04db9446d53487b925a00baadc2ed81&q=%E6%B4%97%E8%87%89%E6%8C%89%E6%91%A9%E5%99%A8
"oa Pureline 矽膠振動潔面乳, 黑色的, OBU-SK002BK",$963,https://www.tw.coupang.com/products/oa-Pureline-%E7%9F%BD%E8%86%A0%E6%8C%AF%E5%8B%95%E6%BD%94%E9%9D%A2%E4%B9%B3-21002106612139?itemId=21003578635003&vendorItemId=21071289934754&sourceType=search&rank=1&searchId=d04db9446d53487b925a00baadc2ed81&q=%E6%B4%97%E8%87%89%E6%8C%89%E6%91%A9%E5%99%A8
"SKY 震動潔面儀, SKY-Mi-SC10, 櫻花粉",$314,https://www.tw.coupang.com/products/SKY-%E9%9C%87%E5%8B%95%E6%BD%94%E9%9D%A2%E5%84%80-21005541895886?itemId=21008730663943&vendorItemId=21076017676773&sourceType=search&rank=2&searchId=d04db9446d53487b925a00baadc2ed81&q=%E6%B4%97%E8%87%89%E6%8C%89%E6%91%A9%E5%99%A8
"MAXCLINIC 水晶潔面刮痧刷, 米色M35235, 1個",$360,https://www.tw.coupang.com/products/MAXCLINIC-%E6%B0%B4%E6%99%B6%E6%BD%94%E9%9D%A2%E5%88%AE%E7%97%A7%E5%88%B7-21008208685185?itemId=21016431612372&vendorItemId=21089734018592&sourceType=search&rank=3&searchId=d04db9446d53487b925a00baadc2ed81&q=%E6%B4%97%E8%87%89%E6%8C%89%E6%91%A9%E5%99%A8
"VIVIDO 雙頭清潔劑, 淺粉色, BE204",$866,https://www.tw.coupang.com/products/VIVIDO-%E9%9B%99%E9%A0%AD%E6%B8%85%E6%BD%94%E5%8A%91-21000006414113?itemId=21000071512355&vendorItemId=21003115392978&sourceType=search&rank=4&searchId=d04db9446d53487b925a00baadc2ed81&q=%E6%B4%97%E8%87%89%E6%8C%89%E6%91%A9%E5%99%A8
"MAXCLINIC 水晶潔面刮痧刷, 米色M35235, 2個",$720,https://www.tw.coupang.com/products/MAXCLINIC-%E6%B0%B4%E6%99%B6%E6%BD%94%E9%9D%A2%E5%88%AE%E7%97%A7%E5%88%B7-21008208685185?itemId=21022698576870&vendorItemId=21089734229288&sourceType=search&rank=5&searchId=d04db9446d53487b925a00baadc2ed81&q=%E6%B4%97%E8%87%89%E6%8C%89%E6%91%A9%E5%99%A8
"MAXCLINIC 水晶潔面刮痧刷, 米色M35235, 6個","$2,160",https://www.tw.coupang.com/products/MAXCLINIC-%E6%B0%B4%E6%99%B6%E6%BD%94%E9%9D%A2%E5%88%AE%E7%97%A7%E5%88%B7-21008208685185?itemId=21022698576217&vendorItemId=21089734228592&sourceType=search&rank=6&searchId=d04db9446d53487b925a00baadc2ed81&q=%E6%B4%97%E8%87%89%E6%8C%89%E6%91%A9%E5%99%A8
"MAXCLINIC 水晶潔面刮痧刷, 米色M35235, 3個","$1,080",https://www.tw.coupang.com/products/MAXCLINIC-%E6%B0%B4%E6%99%B6%E6%BD%94%E9%9D%A2%E5%88%AE%E7%97%A7%E5%88%B7-21008208685185?itemId=21022698576183&vendorItemId=21089734228554&sourceType=search&rank=7&searchId=d04db9446d53487b925a00baadc2ed81&q=%E6%B4%97%E8%87%89%E6%8C%89%E6%91%A9%E5%99%A8
"MAXCLINIC 水晶潔面刮痧刷, 米色M35235, 4個","$1,440",https://www.tw.coupang.com/products/MAXCLINIC-%E6%B0%B4%E6%99%B6%E6%BD%94%E9%9D%A2%E5%88%AE%E7%97%A7%E5%88%B7-21008208685185?itemId=21022698576171&vendorItemId=21089734228525&sourceType=search&rank=8&searchId=d04db9446d53487b925a00baadc2ed81&q=%E6%B4%97%E8%87%89%E6%8C%89%E6%91%A9%E5%99%A8
"MAXCLINIC 水晶潔面刮痧刷, 米色M35235, 5個","$1,800",https://www.tw.coupang.com/products/MAXCLINIC-%E6%B0%B4%E6%99%B6%E6%BD%94%E9%9D%A2%E5%88%AE%E7%97%A7%E5%88%B7-21008208685185?itemId=21022698576215&vendorItemId=21089734228586&sourceType=search&rank=9&searchId=d04db9446d53487b925a00baadc2ed81&q=%E6%B4%97%E8%87%89%E6%8C%89%E6%91%A9%E5%99%A8
