product_name,product_price,product_url
"ikloo 宜酷屋 台製大容量髒衣收納籃 置物籃 1.62kg, 1個",$249,https://www.tw.coupang.com/products/ikloo-%E5%AE%9C%E9%85%B7%E5%B1%8B-%E5%8F%B0%E8%A3%BD%E5%A4%A7%E5%AE%B9%E9%87%8F%E9%AB%92%E8%A1%A3%E6%94%B6%E7%B4%8D%E7%B1%83-%E7%BD%AE%E7%89%A9%E7%B1%83-1.62kg-171087086190592?itemId=171087086190593&vendorItemId=171086121484296&sourceType=search&rank=&searchId=d5f30096dc694f7b921e3ec0cd3ede7d&q=%E6%B4%97%E8%A1%A3%E7%BD%AE%E7%89%A9%E7%B1%83
"實用多功能質感髒衣籃 二層, 灰色, 1個",$396,https://www.tw.coupang.com/products/%E5%AF%A6%E7%94%A8%E5%A4%9A%E5%8A%9F%E8%83%BD%E8%B3%AA%E6%84%9F%E9%AB%92%E8%A1%A3%E7%B1%83-%E4%BA%8C%E5%B1%A4-153721539379215?itemId=153721925238799&vendorItemId=153721925238787&sourceType=search&rank=1&searchId=d5f30096dc694f7b921e3ec0cd3ede7d&q=%E6%B4%97%E8%A1%A3%E7%BD%AE%E7%89%A9%E7%B1%83
"Olivet 可拆卸洗衣籃牛, 白色, 1個",$642,https://www.tw.coupang.com/products/Olivet-%E5%8F%AF%E6%8B%86%E5%8D%B8%E6%B4%97%E8%A1%A3%E7%B1%83%E7%89%9B-21000113198693?itemId=21014488344603&vendorItemId=21003742010859&sourceType=search&rank=2&searchId=d5f30096dc694f7b921e3ec0cd3ede7d&q=%E6%B4%97%E8%A1%A3%E7%BD%AE%E7%89%A9%E7%B1%83
"Nature Living 竹藤編織置物籃 50L, 單一顏色, 1個",$960,https://www.tw.coupang.com/products/Nature-Living-%E7%AB%B9%E8%97%A4%E7%B7%A8%E7%B9%94%E7%BD%AE%E7%89%A9%E7%B1%83-50L-21006743583098?itemId=21015750357743&vendorItemId=21082964103547&sourceType=search&rank=3&searchId=d5f30096dc694f7b921e3ec0cd3ede7d&q=%E6%B4%97%E8%A1%A3%E7%BD%AE%E7%89%A9%E7%B1%83
"ABM 多功能置物籃 灰色 4入, 4個",$114,https://www.tw.coupang.com/products/ABM-%E5%A4%9A%E5%8A%9F%E8%83%BD%E7%BD%AE%E7%89%A9%E7%B1%83-%E7%81%B0%E8%89%B2-4%E5%85%A5-21000159692194?itemId=21000797172215&vendorItemId=21005024308700&sourceType=search&rank=4&searchId=d5f30096dc694f7b921e3ec0cd3ede7d&q=%E6%B4%97%E8%A1%A3%E7%BD%AE%E7%89%A9%E7%B1%83
"Skater 瀝水收納籃 26 x 18.8 x 15.3cm, Hello Kitty, 1個",$245,https://www.tw.coupang.com/products/Skater-%E7%80%9D%E6%B0%B4%E6%94%B6%E7%B4%8D%E7%B1%83-26-x-18.8-x-15.3cm-455930483277827?itemId=455930483294212&vendorItemId=455930483294209&sourceType=search&rank=5&searchId=d5f30096dc694f7b921e3ec0cd3ede7d&q=%E6%B4%97%E8%A1%A3%E7%BD%AE%E7%89%A9%E7%B1%83
"GOODIE FOODIE 壁掛式摺疊置物籃 S號, 灰色的",$177,https://www.tw.coupang.com/products/GOODIE-FOODIE-%E5%A3%81%E6%8E%9B%E5%BC%8F%E6%91%BA%E7%96%8A%E7%BD%AE%E7%89%A9%E7%B1%83-S%E8%99%9F-21005237370959?itemId=21007902636244&vendorItemId=21075192020963&sourceType=search&rank=6&searchId=d5f30096dc694f7b921e3ec0cd3ede7d&q=%E6%B4%97%E8%A1%A3%E7%BD%AE%E7%89%A9%E7%B1%83
"CS Living Breeze Plus Up 多功能洗衣籃 2 步, 灰色, 1個",$732,https://www.tw.coupang.com/products/CS-Living-Breeze-Plus-Up-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B4%97%E8%A1%A3%E7%B1%83-2-%E6%AD%A5-21000250236676?itemId=21000790665395&vendorItemId=21005006109888&sourceType=search&rank=7&searchId=d5f30096dc694f7b921e3ec0cd3ede7d&q=%E6%B4%97%E8%A1%A3%E7%BD%AE%E7%89%A9%E7%B1%83
"CS Living 3層多功能洗衣籃收納推車, 灰色, 1組","$1,113",https://www.tw.coupang.com/products/CS-Living-3%E5%B1%A4%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B4%97%E8%A1%A3%E7%B1%83%E6%94%B6%E7%B4%8D%E6%8E%A8%E8%BB%8A-21000250236625?itemId=21000790665287&vendorItemId=21005006109699&sourceType=search&rank=8&searchId=d5f30096dc694f7b921e3ec0cd3ede7d&q=%E6%B4%97%E8%A1%A3%E7%BD%AE%E7%89%A9%E7%B1%83
"Skater 塑膠折疊收納置物籃 36.9 x 25 x 15cm, 寶可夢, 1個",$343,https://www.tw.coupang.com/products/Skater-%E5%A1%91%E8%86%A0%E6%8A%98%E7%96%8A%E6%94%B6%E7%B4%8D%E7%BD%AE%E7%89%A9%E7%B1%83-36.9-x-25-x-15cm-455895897030664?itemId=455895897063430&vendorItemId=455895897063426&sourceType=search&rank=9&searchId=d5f30096dc694f7b921e3ec0cd3ede7d&q=%E6%B4%97%E8%A1%A3%E7%BD%AE%E7%89%A9%E7%B1%83
