product_name,product_price,product_url
"Jolly ART314嬰幼兒洗澡椅 0-5歲適用 最大承重20kg, 莫蘭迪灰, 710g, 1個",$577,https://www.tw.coupang.com/products/Jolly-ART314%E5%AC%B0%E5%B9%BC%E5%85%92%E6%B4%97%E6%BE%A1%E6%A4%85-0-5%E6%AD%B2%E9%81%A9%E7%94%A8-%E6%9C%80%E5%A4%A7%E6%89%BF%E9%87%8D20kg-245715292897281?itemId=245716110770176&vendorItemId=245715292897280&sourceType=search&rank=&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"KEYWAY 小當家摺合椅 286*225*205mm, 顏色隨機, 2個",$147,https://www.tw.coupang.com/products/KEYWAY-%E5%B0%8F%E7%95%B6%E5%AE%B6%E6%91%BA%E5%90%88%E6%A4%85-286*225*205mm-279083908825091?itemId=279081891348482&vendorItemId=279081887154187&sourceType=search&rank=1&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"KEYWAY SUV 止滑摺合椅 SF-8222 22.5cm 340*272*229mm, 藍, 1個",$147,https://www.tw.coupang.com/products/KEYWAY-SUV-%E6%AD%A2%E6%BB%91%E6%91%BA%E5%90%88%E6%A4%85-SF-8222-22.5cm-340*272*229mm-155803835138050?itemId=155803835138051&vendorItemId=155803034009601&sourceType=search&rank=2&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"普通老人浴椅, 混色, 1個",$661,https://www.tw.coupang.com/products/%E6%99%AE%E9%80%9A%E8%80%81%E4%BA%BA%E6%B5%B4%E6%A4%85-21004803185200?itemId=21006168537727&vendorItemId=21073464610642&sourceType=search&rank=3&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"KEYWAY 大當家寬型摺合椅 445*310*303mm, 橘色, 1個",$285,https://www.tw.coupang.com/products/KEYWAY-%E5%A4%A7%E7%95%B6%E5%AE%B6%E5%AF%AC%E5%9E%8B%E6%91%BA%E5%90%88%E6%A4%85-445*310*303mm-154762594959363?itemId=154763387699203&vendorItemId=154762997645313&sourceType=search&rank=4&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"THE ZAKKA 多功能止滑浴室椅, 藍色, 1個",$206,https://www.tw.coupang.com/products/THE-ZAKKA-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%AD%A2%E6%BB%91%E6%B5%B4%E5%AE%A4%E6%A4%85-21007340346713?itemId=21018864663904&vendorItemId=21085993563464&sourceType=search&rank=5&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"KEYWAY SUV止滑摺合椅 22.5cm 990g, 綠色, 1個",$210,https://www.tw.coupang.com/products/KEYWAY-SUV%E6%AD%A2%E6%BB%91%E6%91%BA%E5%90%88%E6%A4%85-22.5cm-990g-160989559357449?itemId=160988703703046&vendorItemId=160988703703041&sourceType=search&rank=6&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"malang honey 孩童防滑安全沐浴椅, Almond Milk, 1個",$769,https://www.tw.coupang.com/products/malang-honey-%E5%AD%A9%E7%AB%A5%E9%98%B2%E6%BB%91%E5%AE%89%E5%85%A8%E6%B2%90%E6%B5%B4%E6%A4%85-21006366554872?itemId=21013464805683&vendorItemId=21080719133823&sourceType=search&rank=7&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"Zaka Pastel Cloud 浴椅 FREE, 米色, 1個",$355,https://www.tw.coupang.com/products/Zaka-Pastel-Cloud-%E6%B5%B4%E6%A4%85-FREE-21007322292575?itemId=21018782862849&vendorItemId=21085914202547&sourceType=search&rank=8&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"comet 防滑浴室椅, 白色",$159,https://www.tw.coupang.com/products/comet-%E9%98%B2%E6%BB%91%E6%B5%B4%E5%AE%A4%E6%A4%85-450143924994048?itemId=450143924977664&vendorItemId=450143920783360&sourceType=search&rank=9&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"Hello Living 雙色多功能沐浴板凳 粉紅色, 1個",$183,https://www.tw.coupang.com/products/Hello-Living-%E9%9B%99%E8%89%B2%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B2%90%E6%B5%B4%E6%9D%BF%E5%87%B3-%E7%B2%89%E7%B4%85%E8%89%B2-21001816433711?itemId=21003090031918&vendorItemId=21071077867761&sourceType=search&rank=10&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"Budsia 多功能洗澡椅, 1個, 象牙白",$252,https://www.tw.coupang.com/products/Budsia-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B4%97%E6%BE%A1%E6%A4%85-21006262122926?itemId=21000360898356&vendorItemId=21003878179244&sourceType=search&rank=11&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"Keurebaseu 多功能浴室 沐浴椅 藍色, 1 個",$148,https://www.tw.coupang.com/products/Keurebaseu-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B5%B4%E5%AE%A4-%E6%B2%90%E6%B5%B4%E6%A4%85-%E8%97%8D%E8%89%B2-21000006863570?itemId=21000030356415&vendorItemId=21003045134104&sourceType=search&rank=12&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"防滑浴室椅 灰色, 1個, 藍綠色",$164,https://www.tw.coupang.com/products/%E9%98%B2%E6%BB%91%E6%B5%B4%E5%AE%A4%E6%A4%85-%E7%81%B0%E8%89%B2-21002258587782?itemId=21003867936168&vendorItemId=21074098486047&sourceType=search&rank=13&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"THE ZAKKA 出坂防滑浴室椅米色 灰色, 1組",$590,https://www.tw.coupang.com/products/THE-ZAKKA-%E5%87%BA%E5%9D%82%E9%98%B2%E6%BB%91%E6%B5%B4%E5%AE%A4%E6%A4%85%E7%B1%B3%E8%89%B2-%E7%81%B0%E8%89%B2-21006413078984?itemId=21013762003828&vendorItemId=21081119168289&sourceType=search&rank=14&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"摩納哥橄欖色多功能浴室輔助椅薄荷灰, 1個",$135,https://www.tw.coupang.com/products/%E6%91%A9%E7%B4%8D%E5%93%A5%E6%A9%84%E6%AC%96%E8%89%B2%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B5%B4%E5%AE%A4%E8%BC%94%E5%8A%A9%E6%A4%85%E8%96%84%E8%8D%B7%E7%81%B0-21000054878512?itemId=21000191321217&vendorItemId=21003453465405&sourceType=search&rank=15&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"Marketful Pastel 多功能浴室椅 黃色 小號, 1個",$360,https://www.tw.coupang.com/products/Marketful-Pastel-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B5%B4%E5%AE%A4%E6%A4%85-%E9%BB%83%E8%89%B2-%E5%B0%8F%E8%99%9F-21006095036000?itemId=21011386205587&vendorItemId=21078662304440&sourceType=search&rank=16&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
"Clarera 多功能浴室椅 S, 1個, 灰色",$72,https://www.tw.coupang.com/products/Clarera-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B5%B4%E5%AE%A4%E6%A4%85-S-21008222339252?itemId=21018168049230&vendorItemId=21085317557655&sourceType=search&rank=17&searchId=d01207fe322e4581b01ed43df71aed75&q=%E6%B5%B4%E6%B9%AF%E6%A4%85
