product_name,product_price,product_url
"多孔洞絲圈浴室防滑墊, 灰色, 1個",$116,https://www.tw.coupang.com/products/%E5%A4%9A%E5%AD%94%E6%B4%9E%E7%B5%B2%E5%9C%88%E6%B5%B4%E5%AE%A4%E9%98%B2%E6%BB%91%E5%A2%8A-161677827883009?itemId=161678251491329&vendorItemId=161677387448320&sourceType=search&rank=&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"HANEE 鱷魚造型浴缸防滑墊, 綠色",$86,https://www.tw.coupang.com/products/HANEE-%E9%B1%B7%E9%AD%9A%E9%80%A0%E5%9E%8B%E6%B5%B4%E7%BC%B8%E9%98%B2%E6%BB%91%E5%A2%8A-21000001973388?itemId=21000008816550&vendorItemId=21003016876030&sourceType=search&rank=1&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Rubbermaid Commercial Products 浴室防滑墊 71*41cm, 白色, 1個",$452,https://www.tw.coupang.com/products/Rubbermaid-Commercial-Products-%E6%B5%B4%E5%AE%A4%E9%98%B2%E6%BB%91%E5%A2%8A-71*41cm-21007424898899?itemId=21019270975266&vendorItemId=21003004229195&sourceType=search&rank=2&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Wol Gwang 高級防滑墊 90*200cm, 灰色, 1入","$1,044",https://www.tw.coupang.com/products/Wol-Gwang-%E9%AB%98%E7%B4%9A%E9%98%B2%E6%BB%91%E5%A2%8A-90*200cm-21001609367110?itemId=21002748641089&vendorItemId=21070738610701&sourceType=search&rank=3&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"HANEE 鱷魚造型浴缸防滑墊, 粉色",$86,https://www.tw.coupang.com/products/HANEE-%E9%B1%B7%E9%AD%9A%E9%80%A0%E5%9E%8B%E6%B5%B4%E7%BC%B8%E9%98%B2%E6%BB%91%E5%A2%8A-21000001973388?itemId=21000008816552&vendorItemId=21003016876034&sourceType=search&rank=4&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"TROMSO 珪藻土厚實吸水地墊 60*39*0.9cm, 風尚大理石, 1張",$297,https://www.tw.coupang.com/products/TROMSO-%E7%8F%AA%E8%97%BB%E5%9C%9F%E5%8E%9A%E5%AF%A6%E5%90%B8%E6%B0%B4%E5%9C%B0%E5%A2%8A-60*39*0.9cm-168891334492160?itemId=168889736445953&vendorItemId=168890675986432&sourceType=search&rank=5&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Moonlight Mat 管狀防滑墊, 灰色",$699,https://www.tw.coupang.com/products/Moonlight-Mat-%E7%AE%A1%E7%8B%80%E9%98%B2%E6%BB%91%E5%A2%8A-21000003721932?itemId=21000018344177&vendorItemId=21003026978900&sourceType=search&rank=6&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"浴室防滑墊（中）#7035, 白色的, 1個",$352,https://www.tw.coupang.com/products/%E6%B5%B4%E5%AE%A4%E9%98%B2%E6%BB%91%E5%A2%8A%EF%BC%88%E4%B8%AD%EF%BC%89%237035-21007424898899?itemId=21019270975268&vendorItemId=21003000213119&sourceType=search&rank=7&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"comet 珪藻土吸水橢圓地墊, 米色, 1個",$210,https://www.tw.coupang.com/products/comet-%E7%8F%AA%E8%97%BB%E5%9C%9F%E5%90%B8%E6%B0%B4%E6%A9%A2%E5%9C%93%E5%9C%B0%E5%A2%8A-21006989053316?itemId=21017099465335&vendorItemId=21084273291188&sourceType=search&rank=8&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"comet 防滑吸水墊 浴室浴缸適用, 1個, 透明色",$128,https://www.tw.coupang.com/products/comet-%E9%98%B2%E6%BB%91%E5%90%B8%E6%B0%B4%E5%A2%8A-%E6%B5%B4%E5%AE%A4%E6%B5%B4%E7%BC%B8%E9%81%A9%E7%94%A8-450188388794368?itemId=450188388810752&vendorItemId=450188388827136&sourceType=search&rank=9&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"HANEE 防滑海豚浴室地墊, 天藍色, 1個",$215,https://www.tw.coupang.com/products/HANEE-%E9%98%B2%E6%BB%91%E6%B5%B7%E8%B1%9A%E6%B5%B4%E5%AE%A4%E5%9C%B0%E5%A2%8A-21000001898717?itemId=21000008415465&vendorItemId=21003004962007&sourceType=search&rank=10&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Wol Gwang 管狀防滑墊 60 x 100 厘米, 紫色",$382,https://www.tw.coupang.com/products/Wol-Gwang-%E7%AE%A1%E7%8B%80%E9%98%B2%E6%BB%91%E5%A2%8A-60-x-100-%E5%8E%98%E7%B1%B3-21000003721932?itemId=21000018344148&vendorItemId=21003026978792&sourceType=search&rank=11&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"3M 防滑貼片 6片, 1包, 海洋生物",$171,https://www.tw.coupang.com/products/3M-%E9%98%B2%E6%BB%91%E8%B2%BC%E7%89%87-6%E7%89%87-154467827679243?itemId=154467039133709&vendorItemId=154467827679235&sourceType=search&rank=12&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"SKORA 浴室超強S型防滑貼紙, 透明, 24張",$317,https://www.tw.coupang.com/products/SKORA-%E6%B5%B4%E5%AE%A4%E8%B6%85%E5%BC%B7S%E5%9E%8B%E9%98%B2%E6%BB%91%E8%B2%BC%E7%B4%99-21007547511122?itemId=21019854903491&vendorItemId=21088779033458&sourceType=search&rank=13&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"comet 浴室灰白拼接地墊, 16個, 灰色 + 白色",$219,https://www.tw.coupang.com/products/comet-%E6%B5%B4%E5%AE%A4%E7%81%B0%E7%99%BD%E6%8B%BC%E6%8E%A5%E5%9C%B0%E5%A2%8A-445447457964032?itemId=445447457980416&vendorItemId=445447457947649&sourceType=search&rank=14&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Wol Gwang 管狀防滑墊 60 x 100 厘米, 天藍色",$382,https://www.tw.coupang.com/products/Wol-Gwang-%E7%AE%A1%E7%8B%80%E9%98%B2%E6%BB%91%E5%A2%8A-60-x-100-%E5%8E%98%E7%B1%B3-21000003721932?itemId=21000018344146&vendorItemId=21003026978778&sourceType=search&rank=15&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"3M 防滑貼片, 透明, 1包",$149,https://www.tw.coupang.com/products/3M-%E9%98%B2%E6%BB%91%E8%B2%BC%E7%89%87-158406006521857?itemId=158406409158678&vendorItemId=158406409158675&sourceType=search&rank=16&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"3M 防滑貼片 可愛動物 6片, 款式隨機, 1組",$171,https://www.tw.coupang.com/products/3M-%E9%98%B2%E6%BB%91%E8%B2%BC%E7%89%87-%E5%8F%AF%E6%84%9B%E5%8B%95%E7%89%A9-6%E7%89%87-154467441819659?itemId=154467441819660&vendorItemId=154467827679234&sourceType=search&rank=17&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Motherth's Home 腳踏墊, BEIGE",$239,https://www.tw.coupang.com/products/Motherth's-Home-%E8%85%B3%E8%B8%8F%E5%A2%8A-21001826522566?itemId=21003107660478&vendorItemId=21071095416606&sourceType=search&rank=18&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"comet 浴室拼接塑膠地墊, 16片, 白色",$216,https://www.tw.coupang.com/products/comet-%E6%B5%B4%E5%AE%A4%E6%8B%BC%E6%8E%A5%E5%A1%91%E8%86%A0%E5%9C%B0%E5%A2%8A-449065489743878?itemId=449065489743879&vendorItemId=449065489743877&sourceType=search&rank=19&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"EasyWorm 格子防滑浴墊 70 x 38cm, 灰色, 1個",$213,https://www.tw.coupang.com/products/EasyWorm-%E6%A0%BC%E5%AD%90%E9%98%B2%E6%BB%91%E6%B5%B4%E5%A2%8A-70-x-38cm-21000175569932?itemId=21000502066775&vendorItemId=21004281347079&sourceType=search&rank=20&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Happytool 萬用止滑墊 60*90cm, 單色, 1組",$224,https://www.tw.coupang.com/products/Happytool-%E8%90%AC%E7%94%A8%E6%AD%A2%E6%BB%91%E5%A2%8A-60*90cm-21000006636462?itemId=21000029433200&vendorItemId=21003043731357&sourceType=search&rank=21&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"3M 防滑貼片, 透明, 2包",$299,https://www.tw.coupang.com/products/3M-%E9%98%B2%E6%BB%91%E8%B2%BC%E7%89%87-158406006521857?itemId=270060803309574&vendorItemId=270060803309569&sourceType=search&rank=22&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Tamsaa 自動充氣睡墊 + 打氣筒組, 灰色",$727,https://www.tw.coupang.com/products/Tamsaa-%E8%87%AA%E5%8B%95%E5%85%85%E6%B0%A3%E7%9D%A1%E5%A2%8A-%2B-%E6%89%93%E6%B0%A3%E7%AD%92%E7%B5%84-170016221642753?itemId=170016708214785&vendorItemId=170016221642752&sourceType=search&rank=23&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"comet 浴室拼貼地墊, 16片, 灰色",$216,https://www.tw.coupang.com/products/comet-%E6%B5%B4%E5%AE%A4%E6%8B%BC%E8%B2%BC%E5%9C%B0%E5%A2%8A-450165982855168?itemId=450165982822401&vendorItemId=450165982871552&sourceType=search&rank=24&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Motherth's Home 腳踏墊, GRAY",$239,https://www.tw.coupang.com/products/Motherth's-Home-%E8%85%B3%E8%B8%8F%E5%A2%8A-21001826522566?itemId=21003107660482&vendorItemId=21071095416652&sourceType=search&rank=25&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Tamsaa 自動充氣睡墊+打氣筒組, 灰色, 1組",$644,https://www.tw.coupang.com/products/Tamsaa-%E8%87%AA%E5%8B%95%E5%85%85%E6%B0%A3%E7%9D%A1%E5%A2%8A%2B%E6%89%93%E6%B0%A3%E7%AD%92%E7%B5%84-21005965692133?itemId=21010703863775&vendorItemId=21077984570730&sourceType=search&rank=26&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"comet Home 矽藻土腳踏墊, 1個, 米色橢圓款",$154,https://www.tw.coupang.com/products/comet-Home-%E7%9F%BD%E8%97%BB%E5%9C%9F%E8%85%B3%E8%B8%8F%E5%A2%8A-446137966247937?itemId=446137966231554&vendorItemId=446137966231552&sourceType=search&rank=27&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"natureahn 素色防滑洗澡椅 黑色, 1個",$267,https://www.tw.coupang.com/products/natureahn-%E7%B4%A0%E8%89%B2%E9%98%B2%E6%BB%91%E6%B4%97%E6%BE%A1%E6%A4%85-%E9%BB%91%E8%89%B2-21001786175969?itemId=21003041329389&vendorItemId=21071029386314&sourceType=search&rank=28&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"SHABATH 浴室印花腳踏板, 魚款, 1組",$462,https://www.tw.coupang.com/products/SHABATH-%E6%B5%B4%E5%AE%A4%E5%8D%B0%E8%8A%B1%E8%85%B3%E8%B8%8F%E6%9D%BF-21000002945669?itemId=21000239460091&vendorItemId=21003021092678&sourceType=search&rank=29&searchId=1b94a2fa673240f4bcb8a523f3ecc587&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"comet 靜音緩降馬桶蓋, 白色, 1個",$360,https://www.tw.coupang.com/products/comet-%E9%9D%9C%E9%9F%B3%E7%B7%A9%E9%99%8D%E9%A6%AC%E6%A1%B6%E8%93%8B-21001602749226?itemId=21002737496391&vendorItemId=21070727567225&sourceType=search&rank=&searchId=fc40deeffd12453a8f8b1550ff263f15&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"comet Home 水洗式珪藻土腳踏墊, 1個, 米色",$208,https://www.tw.coupang.com/products/comet-Home-%E6%B0%B4%E6%B4%97%E5%BC%8F%E7%8F%AA%E8%97%BB%E5%9C%9F%E8%85%B3%E8%B8%8F%E5%A2%8A-446169289293827?itemId=446169289261057&vendorItemId=446169289261056&sourceType=search&rank=1&searchId=fc40deeffd12453a8f8b1550ff263f15&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"MONOMENT 木頭凹槽防滑腳踏墊 S號, 單色, 1個",$352,https://www.tw.coupang.com/products/MONOMENT-%E6%9C%A8%E9%A0%AD%E5%87%B9%E6%A7%BD%E9%98%B2%E6%BB%91%E8%85%B3%E8%B8%8F%E5%A2%8A-S%E8%99%9F-21000009508584?itemId=21000130843930&vendorItemId=21003064343830&sourceType=search&rank=2&searchId=fc40deeffd12453a8f8b1550ff263f15&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Moonlight Mat 管狀防滑墊, 粉色",$699,https://www.tw.coupang.com/products/Moonlight-Mat-%E7%AE%A1%E7%8B%80%E9%98%B2%E6%BB%91%E5%A2%8A-21000003721932?itemId=21000018344170&vendorItemId=21003026978879&sourceType=search&rank=3&searchId=fc40deeffd12453a8f8b1550ff263f15&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Happytool 方形防滑墊 30x90cm, 單色, 1 個",$124,https://www.tw.coupang.com/products/Happytool-%E6%96%B9%E5%BD%A2%E9%98%B2%E6%BB%91%E5%A2%8A-30x90cm-21000006636458?itemId=21000029433195&vendorItemId=21003043731266&sourceType=search&rank=4&searchId=fc40deeffd12453a8f8b1550ff263f15&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
"Wol Gwang 優質防滑墊 60*200cm, 深灰色, 1個",$491,https://www.tw.coupang.com/products/Wol-Gwang-%E5%84%AA%E8%B3%AA%E9%98%B2%E6%BB%91%E5%A2%8A-60*200cm-21001609367110?itemId=21002748640080&vendorItemId=21070738610020&sourceType=search&rank=5&searchId=fc40deeffd12453a8f8b1550ff263f15&q=%E6%B7%8B%E6%B5%B4%E5%A2%8A
