product_name,product_price,product_url
"suisai 黑炭泥淨透酵素粉 15入, 6克, 1個",$261,https://www.tw.coupang.com/products/suisai-%E9%BB%91%E7%82%AD%E6%B3%A5%E6%B7%A8%E9%80%8F%E9%85%B5%E7%B4%A0%E7%B2%89-15%E5%85%A5-21005954927285?itemId=21010656549283&vendorItemId=21077937398431&sourceType=search&rank=&searchId=1579c3f581d849af9bedc297e6b8fda2&q=%E6%B7%A8%E9%80%8F%E9%85%B5%E7%B4%A0%E7%B2%89
"Kanebo 佳麗寶 緻潤淨透金黃酵素粉 32顆裝, 1盒, 11.2g",$503,https://www.tw.coupang.com/products/Kanebo-%E4%BD%B3%E9%BA%97%E5%AF%B6-%E7%B7%BB%E6%BD%A4%E6%B7%A8%E9%80%8F%E9%87%91%E9%BB%83%E9%85%B5%E7%B4%A0%E7%B2%89-32%E9%A1%86%E8%A3%9D-21007827907619?itemId=21021716919308&vendorItemId=21088766201460&sourceType=search&rank=1&searchId=1579c3f581d849af9bedc297e6b8fda2&q=%E6%B7%A8%E9%80%8F%E9%85%B5%E7%B4%A0%E7%B2%89
"Kanebo 佳麗寶 緻潤淨透金黃酵素粉 15顆裝, 5.25g, 1盒",$321,https://www.tw.coupang.com/products/Kanebo-%E4%BD%B3%E9%BA%97%E5%AF%B6-%E7%B7%BB%E6%BD%A4%E6%B7%A8%E9%80%8F%E9%87%91%E9%BB%83%E9%85%B5%E7%B4%A0%E7%B2%89-15%E9%A1%86%E8%A3%9D-21007738726471?itemId=21021716919283&vendorItemId=21088766201416&sourceType=search&rank=2&searchId=1579c3f581d849af9bedc297e6b8fda2&q=%E6%B7%A8%E9%80%8F%E9%85%B5%E7%B4%A0%E7%B2%89
"Kanebo 佳麗寶 緻潤淨透金黃酵素粉 32顆裝, 2盒, 11.2g","$1,006",https://www.tw.coupang.com/products/Kanebo-%E4%BD%B3%E9%BA%97%E5%AF%B6-%E7%B7%BB%E6%BD%A4%E6%B7%A8%E9%80%8F%E9%87%91%E9%BB%83%E9%85%B5%E7%B4%A0%E7%B2%89-32%E9%A1%86%E8%A3%9D-21007827907619?itemId=21021717017976&vendorItemId=21088766299158&sourceType=search&rank=3&searchId=1579c3f581d849af9bedc297e6b8fda2&q=%E6%B7%A8%E9%80%8F%E9%85%B5%E7%B4%A0%E7%B2%89
"Cell Fusion C 木瓜淨透潔顏粉, 50g, 1瓶",$244,https://www.tw.coupang.com/products/Cell-Fusion-C-%E6%9C%A8%E7%93%9C%E6%B7%A8%E9%80%8F%E6%BD%94%E9%A1%8F%E7%B2%89-253311508758543?itemId=253312465092627&vendorItemId=253313320714246&sourceType=search&rank=4&searchId=1579c3f581d849af9bedc297e6b8fda2&q=%E6%B7%A8%E9%80%8F%E9%85%B5%E7%B4%A0%E7%B2%89
"Cell Fusion C 秀膚生 木瓜淨透潔顏粉, 50g, 1瓶",$304,https://www.tw.coupang.com/products/Cell-Fusion-C-%E7%A7%80%E8%86%9A%E7%94%9F-%E6%9C%A8%E7%93%9C%E6%B7%A8%E9%80%8F%E6%BD%94%E9%A1%8F%E7%B2%89-21004690605724?itemId=21005895764471&vendorItemId=21004988289789&sourceType=search&rank=5&searchId=1579c3f581d849af9bedc297e6b8fda2&q=%E6%B7%A8%E9%80%8F%E9%85%B5%E7%B4%A0%E7%B2%89
"Kanebo 佳麗寶 緻潤淨透金黃酵素粉 32顆裝, 3盒, 11.2g","$1,510",https://www.tw.coupang.com/products/Kanebo-%E4%BD%B3%E9%BA%97%E5%AF%B6-%E7%B7%BB%E6%BD%A4%E6%B7%A8%E9%80%8F%E9%87%91%E9%BB%83%E9%85%B5%E7%B4%A0%E7%B2%89-32%E9%A1%86%E8%A3%9D-21007827907619?itemId=21021717018085&vendorItemId=21088766299239&sourceType=search&rank=6&searchId=1579c3f581d849af9bedc297e6b8fda2&q=%E6%B7%A8%E9%80%8F%E9%85%B5%E7%B4%A0%E7%B2%89
"Kanebo 佳麗寶 緻潤淨透金黃酵素粉 32顆裝, 4盒, 11.2g","$2,013",https://www.tw.coupang.com/products/Kanebo-%E4%BD%B3%E9%BA%97%E5%AF%B6-%E7%B7%BB%E6%BD%A4%E6%B7%A8%E9%80%8F%E9%87%91%E9%BB%83%E9%85%B5%E7%B4%A0%E7%B2%89-32%E9%A1%86%E8%A3%9D-21007827907619?itemId=21021717018201&vendorItemId=21088766299271&sourceType=search&rank=7&searchId=1579c3f581d849af9bedc297e6b8fda2&q=%E6%B7%A8%E9%80%8F%E9%85%B5%E7%B4%A0%E7%B2%89
"Kanebo 佳麗寶 緻潤淨透金黃酵素粉 15顆裝, 5.25g, 2盒",$644,https://www.tw.coupang.com/products/Kanebo-%E4%BD%B3%E9%BA%97%E5%AF%B6-%E7%B7%BB%E6%BD%A4%E6%B7%A8%E9%80%8F%E9%87%91%E9%BB%83%E9%85%B5%E7%B4%A0%E7%B2%89-15%E9%A1%86%E8%A3%9D-21007738726471?itemId=21021717017736&vendorItemId=21088766299000&sourceType=search&rank=8&searchId=1579c3f581d849af9bedc297e6b8fda2&q=%E6%B7%A8%E9%80%8F%E9%85%B5%E7%B4%A0%E7%B2%89
"Kanebo 佳麗寶 緻潤淨透金黃酵素粉 15顆裝, 5.25g, 3盒",$965,https://www.tw.coupang.com/products/Kanebo-%E4%BD%B3%E9%BA%97%E5%AF%B6-%E7%B7%BB%E6%BD%A4%E6%B7%A8%E9%80%8F%E9%87%91%E9%BB%83%E9%85%B5%E7%B4%A0%E7%B2%89-15%E9%A1%86%E8%A3%9D-21007738726471?itemId=21020814893007&vendorItemId=21088766299054&sourceType=search&rank=9&searchId=1579c3f581d849af9bedc297e6b8fda2&q=%E6%B7%A8%E9%80%8F%E9%85%B5%E7%B4%A0%E7%B2%89
