product_name,product_price,product_url
"comet Home 折疊式多功能臉盆 L, 1個, 米色",$135,https://www.tw.coupang.com/products/comet-Home-%E6%8A%98%E7%96%8A%E5%BC%8F%E5%A4%9A%E5%8A%9F%E8%83%BD%E8%87%89%E7%9B%86-L-445839151415296?itemId=445839151398912&vendorItemId=445839151448064&sourceType=search&rank=&searchId=95f904f47bb6404dac7ea4cce6ea0a44&q=%E6%B7%B1%E8%8F%9C%E7%9B%86
"Kinyo 摺疊盆 LP-1541 大, 粉色, 1個",$170,https://www.tw.coupang.com/products/Kinyo-%E6%91%BA%E7%96%8A%E7%9B%86-LP-1541-%E5%A4%A7-153745518182408?itemId=153745916674056&vendorItemId=153746298339330&sourceType=search&rank=1&searchId=95f904f47bb6404dac7ea4cce6ea0a44&q=%E6%B7%B1%E8%8F%9C%E7%9B%86
"plafarm 長方型花盆15.5*38*13.5cm+盆栽底座35.7*13.7*2cm, 白色, 1組",$214,https://www.tw.coupang.com/products/plafarm-%E9%95%B7%E6%96%B9%E5%9E%8B%E8%8A%B1%E7%9B%8615.5*38*13.5cm%2B%E7%9B%86%E6%A0%BD%E5%BA%95%E5%BA%A735.7*13.7*2cm-259843982049301?itemId=259845865308182&vendorItemId=259843982049291&sourceType=search&rank=2&searchId=95f904f47bb6404dac7ea4cce6ea0a44&q=%E6%B7%B1%E8%8F%9C%E7%9B%86
"Kinyo 摺疊盆三件組, 藍, 1組",$384,https://www.tw.coupang.com/products/Kinyo-%E6%91%BA%E7%96%8A%E7%9B%86%E4%B8%89%E4%BB%B6%E7%B5%84-153745585291268?itemId=153746365448198&vendorItemId=153745983782913&sourceType=search&rank=3&searchId=95f904f47bb6404dac7ea4cce6ea0a44&q=%E6%B7%B1%E8%8F%9C%E7%9B%86
"LocknLock 樂扣樂扣 不鏽鋼三合一調理盆組 薄荷綠, 1組",$399,https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E4%B8%8D%E9%8F%BD%E9%8B%BC%E4%B8%89%E5%90%88%E4%B8%80%E8%AA%BF%E7%90%86%E7%9B%86%E7%B5%84-%E8%96%84%E8%8D%B7%E7%B6%A0-252936990965762?itemId=252937947299840&vendorItemId=252936990965760&sourceType=search&rank=4&searchId=95f904f47bb6404dac7ea4cce6ea0a44&q=%E6%B7%B1%E8%8F%9C%E7%9B%86
"EASY&FREE 豆芽菜育苗盤組, 培養盆*1+蓋子(壓板)*1+瀝水容器*1+收納盒750ml*1+蓋子*1+杯子*1, 1組",$215,https://www.tw.coupang.com/products/EASY%26FREE-%E8%B1%86%E8%8A%BD%E8%8F%9C%E8%82%B2%E8%8B%97%E7%9B%A4%E7%B5%84-21002211343257?itemId=21003764641674&vendorItemId=21071749730159&sourceType=search&rank=5&searchId=95f904f47bb6404dac7ea4cce6ea0a44&q=%E6%B7%B1%E8%8F%9C%E7%9B%86
"comet 多功能折疊水盆 L號, 莫蘭迪藍色, 1個",$188,https://www.tw.coupang.com/products/comet-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%8A%98%E7%96%8A%E6%B0%B4%E7%9B%86-L%E8%99%9F-21006617512821?itemId=21015031592587&vendorItemId=21082254207448&sourceType=search&rank=6&searchId=95f904f47bb6404dac7ea4cce6ea0a44&q=%E6%B7%B1%E8%8F%9C%E7%9B%86
"MONACO OLIVE La Pastel 圓形盆中號 + 大號 2件套, 1套, 白色（中號）、白色（大號）",$280,https://www.tw.coupang.com/products/MONACO-OLIVE-La-Pastel-%E5%9C%93%E5%BD%A2%E7%9B%86%E4%B8%AD%E8%99%9F-%2B-%E5%A4%A7%E8%99%9F-2%E4%BB%B6%E5%A5%97-21006959185795?itemId=21016936069627&vendorItemId=21084113702270&sourceType=search&rank=7&searchId=95f904f47bb6404dac7ea4cce6ea0a44&q=%E6%B7%B1%E8%8F%9C%E7%9B%86
"KITCHEN FLOWER 不鏽鋼洗菜瀝水盆, 銀色, 1個",$385,https://www.tw.coupang.com/products/KITCHEN-FLOWER-%E4%B8%8D%E9%8F%BD%E9%8B%BC%E6%B4%97%E8%8F%9C%E7%80%9D%E6%B0%B4%E7%9B%86-169666592866304?itemId=169665644937217&vendorItemId=169666588672000&sourceType=search&rank=8&searchId=95f904f47bb6404dac7ea4cce6ea0a44&q=%E6%B7%B1%E8%8F%9C%E7%9B%86
"comet 折疊式多功能臉盆 L, 1個, 莫蘭迪藍",$146,https://www.tw.coupang.com/products/comet-%E6%8A%98%E7%96%8A%E5%BC%8F%E5%A4%9A%E5%8A%9F%E8%83%BD%E8%87%89%E7%9B%86-L-445469184475136?itemId=445469184425984&vendorItemId=445469184442368&sourceType=search&rank=9&searchId=95f904f47bb6404dac7ea4cce6ea0a44&q=%E6%B7%B1%E8%8F%9C%E7%9B%86
