product_name,product_price,product_url
"芊柔 清除腸病毒濕紙巾, 80張, 12包",$319,https://www.tw.coupang.com/products/%E8%8A%8A%E6%9F%94-%E6%B8%85%E9%99%A4%E8%85%B8%E7%97%85%E6%AF%92%E6%BF%95%E7%B4%99%E5%B7%BE-215355284733956?itemId=215355284733957&vendorItemId=215355284733952&sourceType=search&rank=&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"立得清 腸病毒 抗病毒濕巾 15*20cm, 10張, 8包",$100,https://www.tw.coupang.com/products/%E7%AB%8B%E5%BE%97%E6%B8%85-%E8%85%B8%E7%97%85%E6%AF%92-%E6%8A%97%E7%97%85%E6%AF%92%E6%BF%95%E5%B7%BE-15*20cm-276568161091594?itemId=310605881753601&vendorItemId=310605881753600&sourceType=search&rank=1&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"立得清 抗病毒濕巾 15*21cm, 50張, 4包",$128,https://www.tw.coupang.com/products/%E7%AB%8B%E5%BE%97%E6%B8%85-%E6%8A%97%E7%97%85%E6%AF%92%E6%BF%95%E5%B7%BE-15*21cm-283838903173128?itemId=283840924844044&vendorItemId=283838903173122&sourceType=search&rank=2&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"Water clean 水清淨 全方位抗菌液, 350ml, 1瓶",$159,https://www.tw.coupang.com/products/Water-clean-%E6%B0%B4%E6%B8%85%E6%B7%A8-%E5%85%A8%E6%96%B9%E4%BD%8D%E6%8A%97%E8%8F%8C%E6%B6%B2-286738853380104?itemId=286739822247944&vendorItemId=286737792188423&sourceType=search&rank=3&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"無塵氏 酒精抗菌擦拭巾, 80張, 2包",$79,https://www.tw.coupang.com/products/%E7%84%A1%E5%A1%B5%E6%B0%8F-%E9%85%92%E7%B2%BE%E6%8A%97%E8%8F%8C%E6%93%A6%E6%8B%AD%E5%B7%BE-156244505477122?itemId=382056508899328&vendorItemId=382056504705025&sourceType=search&rank=4&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"OP 愛岩柿除菌消臭噴霧 抗腸病毒EX, 400ml, 1瓶",$83,https://www.tw.coupang.com/products/OP-%E6%84%9B%E5%B2%A9%E6%9F%BF%E9%99%A4%E8%8F%8C%E6%B6%88%E8%87%AD%E5%99%B4%E9%9C%A7-%E6%8A%97%E8%85%B8%E7%97%85%E6%AF%92EX-261277016358916?itemId=261275116322827&vendorItemId=261275116322818&sourceType=search&rank=5&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"次綠康 59晶 健康除菌清潔液, 4L, 1桶",$385,https://www.tw.coupang.com/products/%E6%AC%A1%E7%B6%A0%E5%BA%B7-59%E6%99%B6-%E5%81%A5%E5%BA%B7%E9%99%A4%E8%8F%8C%E6%B8%85%E6%BD%94%E6%B6%B2-455193451757568?itemId=455193451773955&vendorItemId=455193451773954&sourceType=search&rank=6&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"Vivacelf 除菌靈 咻咻除菌消臭噴劑, 300ml, 1瓶",$331,https://www.tw.coupang.com/products/Vivacelf-%E9%99%A4%E8%8F%8C%E9%9D%88-%E5%92%BB%E5%92%BB%E9%99%A4%E8%8F%8C%E6%B6%88%E8%87%AD%E5%99%B4%E5%8A%91-153733568610307?itemId=153733967101954&vendorItemId=153733568610306&sourceType=search&rank=7&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"KOYO KASEI 銀離子抗菌酒精濕紙巾 補充包, 100張, 1包",$90,https://www.tw.coupang.com/products/KOYO-KASEI-%E9%8A%80%E9%9B%A2%E5%AD%90%E6%8A%97%E8%8F%8C%E9%85%92%E7%B2%BE%E6%BF%95%E7%B4%99%E5%B7%BE-%E8%A3%9C%E5%85%85%E5%8C%85-279083900436489?itemId=161317084168193&vendorItemId=161317084168192&sourceType=search&rank=8&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"CHIC CLUB 條紋共和國 環境滅菌防護液, 100ml, 1瓶",$191,https://www.tw.coupang.com/products/CHIC-CLUB-%E6%A2%9D%E7%B4%8B%E5%85%B1%E5%92%8C%E5%9C%8B-%E7%92%B0%E5%A2%83%E6%BB%85%E8%8F%8C%E9%98%B2%E8%AD%B7%E6%B6%B2-149701928140800?itemId=149702293028864&vendorItemId=150774826893314&sourceType=search&rank=9&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"台灣 DOHO 長效抗菌噴霧, 500ml, 1瓶",$592,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3-DOHO-%E9%95%B7%E6%95%88%E6%8A%97%E8%8F%8C%E5%99%B4%E9%9C%A7-237425968250882?itemId=237424324067331&vendorItemId=237425192321024&sourceType=search&rank=10&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"CHIC CLUB 條紋共和國 環境滅菌防護液, 250ml, 1瓶",$258,https://www.tw.coupang.com/products/CHIC-CLUB-%E6%A2%9D%E7%B4%8B%E5%85%B1%E5%92%8C%E5%9C%8B-%E7%92%B0%E5%A2%83%E6%BB%85%E8%8F%8C%E9%98%B2%E8%AD%B7%E6%B6%B2-150774457810945?itemId=150774826893315&vendorItemId=150774826893313&sourceType=search&rank=11&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"Scart紙消毒消毒紙巾可填充, 10包, 80張",$369,https://www.tw.coupang.com/products/Scart%E7%B4%99%E6%B6%88%E6%AF%92%E6%B6%88%E6%AF%92%E7%B4%99%E5%B7%BE%E5%8F%AF%E5%A1%AB%E5%85%85-21007209572680?itemId=21018241529102&vendorItemId=21085388465329&sourceType=search&rank=12&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"ROAD MONSTER 首先消毒清潔紙巾, 1罐",$261,https://www.tw.coupang.com/products/ROAD-MONSTER-%E9%A6%96%E5%85%88%E6%B6%88%E6%AF%92%E6%B8%85%E6%BD%94%E7%B4%99%E5%B7%BE-21008003025757?itemId=21022295863329&vendorItemId=21089454975166&sourceType=search&rank=13&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"Pervado Chick Baby Kids 消毒劑 消毒劑, 500ml, 4瓶",$916,https://www.tw.coupang.com/products/Pervado-Chick-Baby-Kids-%E6%B6%88%E6%AF%92%E5%8A%91-%E6%B6%88%E6%AF%92%E5%8A%91-21007465814461?itemId=21019470138301&vendorItemId=21070281338973&sourceType=search&rank=14&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"糧食發酵消毒劑, 1個, 4L",$745,https://www.tw.coupang.com/products/%E7%B3%A7%E9%A3%9F%E7%99%BC%E9%85%B5%E6%B6%88%E6%AF%92%E5%8A%91-21007781115976?itemId=21022125728448&vendorItemId=21089172568009&sourceType=search&rank=15&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"EQMEDIC 無聲有線鼠標消毒-M1, 白色的, 消毒-M1",$159,https://www.tw.coupang.com/products/EQMEDIC-%E7%84%A1%E8%81%B2%E6%9C%89%E7%B7%9A%E9%BC%A0%E6%A8%99%E6%B6%88%E6%AF%92-M1-21006196887591?itemId=21012270448878&vendorItemId=21079540888324&sourceType=search&rank=16&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"antitox 清潔消毒劑噴霧補充裝, 400ml, 1個",$387,https://www.tw.coupang.com/products/antitox-%E6%B8%85%E6%BD%94%E6%B6%88%E6%AF%92%E5%8A%91%E5%99%B4%E9%9C%A7%E8%A3%9C%E5%85%85%E8%A3%9D-21006051123771?itemId=21011091118883&vendorItemId=21078370511437&sourceType=search&rank=17&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"HK Mart 食品消毒劑二氧化氯原液, 1L, 1個",$352,https://www.tw.coupang.com/products/HK-Mart-%E9%A3%9F%E5%93%81%E6%B6%88%E6%AF%92%E5%8A%91%E4%BA%8C%E6%B0%A7%E5%8C%96%E6%B0%AF%E5%8E%9F%E6%B6%B2-21004879901743?itemId=21006352575346&vendorItemId=21073647868839&sourceType=search&rank=18&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
"EQMEDIC 無聲有線鼠標消毒-M3, 白色的, 消毒-M3",$269,https://www.tw.coupang.com/products/EQMEDIC-%E7%84%A1%E8%81%B2%E6%9C%89%E7%B7%9A%E9%BC%A0%E6%A8%99%E6%B6%88%E6%AF%92-M3-21006196887565?itemId=21012270448688&vendorItemId=21079540888214&sourceType=search&rank=19&searchId=5cfdaf90152645e2abb8db1d99865513&q=%E6%B8%85%E9%99%A4%E8%85%B8%20%E7%97%85%20%E6%AF%92
