product_name,product_price,product_url
"Glasslock 可微波泡麵碗 1L, 透明, 2個",$392,https://www.tw.coupang.com/products/Glasslock-%E5%8F%AF%E5%BE%AE%E6%B3%A2%E6%B3%A1%E9%BA%B5%E7%A2%97-1L-258379716984839?itemId=258378832003084&vendorItemId=258377846308868&sourceType=search&rank=&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"雙耳琺瑯造型隔熱泡麵碗 850ml, 顏色隨機, 2個",$105,https://www.tw.coupang.com/products/%E9%9B%99%E8%80%B3%E7%90%BA%E7%91%AF%E9%80%A0%E5%9E%8B%E9%9A%94%E7%86%B1%E6%B3%A1%E9%BA%B5%E7%A2%97-850ml-167174966558727?itemId=349399003643910&vendorItemId=349399003660289&sourceType=search&rank=1&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"Smart 微波爐用蒸碗 大款 2600ml, 灰色, 1個",$172,https://www.tw.coupang.com/products/Smart-%E5%BE%AE%E6%B3%A2%E7%88%90%E7%94%A8%E8%92%B8%E7%A2%97-%E5%A4%A7%E6%AC%BE-2600ml-265344702709767?itemId=265342760730632&vendorItemId=265342760730629&sourceType=search&rank=2&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"iwaki 玻璃調理碗 1.5L, 1個",$382,https://www.tw.coupang.com/products/iwaki-%E7%8E%BB%E7%92%83%E8%AA%BF%E7%90%86%E7%A2%97-1.5L-163547749269519?itemId=163547296251918&vendorItemId=163548181266437&sourceType=search&rank=3&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"不銹鋼過濾攪拌碗組, 1組, 篩子+攪拌碗",$324,https://www.tw.coupang.com/products/%E4%B8%8D%E9%8A%B9%E9%8B%BC%E9%81%8E%E6%BF%BE%E6%94%AA%E6%8B%8C%E7%A2%97%E7%B5%84-21008150683468?itemId=21023194428289&vendorItemId=21090227068444&sourceType=search&rank=4&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"STA AMi 多用途沙拉碗組, 攪拌碗+濾水碗+大碗, 1組",$260,https://www.tw.coupang.com/products/STA-AMi-%E5%A4%9A%E7%94%A8%E9%80%94%E6%B2%99%E6%8B%89%E7%A2%97%E7%B5%84-21000315698390?itemId=21001003709455&vendorItemId=21005433096186&sourceType=search&rank=5&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"cookever 攪拌碗+過篩網 21cm, 1組",$568,https://www.tw.coupang.com/products/cookever-%E6%94%AA%E6%8B%8C%E7%A2%97%2B%E9%81%8E%E7%AF%A9%E7%B6%B2-21cm-21000005182006?itemId=21000023481357&vendorItemId=21003034401525&sourceType=search&rank=6&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"Winprice 瀝水雙色碗 O型+U型組, 薄荷",$380,https://www.tw.coupang.com/products/Winprice-%E7%80%9D%E6%B0%B4%E9%9B%99%E8%89%B2%E7%A2%97-O%E5%9E%8B%2BU%E5%9E%8B%E7%B5%84-21005510053119?itemId=21008585891311&vendorItemId=21075873191354&sourceType=search&rank=7&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"盤形碗M, 單色, 1個",$319,https://www.tw.coupang.com/products/%E7%9B%A4%E5%BD%A2%E7%A2%97M-21004588975655?itemId=21005638325551&vendorItemId=21072937359782&sourceType=search&rank=8&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"Artistina 拋光碗 凹柄湯碗 2357, 混合顏色, 1個",$523,https://www.tw.coupang.com/products/Artistina-%E6%8B%8B%E5%85%89%E7%A2%97-%E5%87%B9%E6%9F%84%E6%B9%AF%E7%A2%97-2357-21007204224997?itemId=21018216452795&vendorItemId=21085364308474&sourceType=search&rank=9&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"Glasslock 耐熱強化玻璃調理碗 2入組, 調理碗2L+4L",$808,https://www.tw.coupang.com/products/Glasslock-%E8%80%90%E7%86%B1%E5%BC%B7%E5%8C%96%E7%8E%BB%E7%92%83%E8%AA%BF%E7%90%86%E7%A2%97-2%E5%85%A5%E7%B5%84-21007172339832?itemId=21018072669659&vendorItemId=21085225902018&sourceType=search&rank=10&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"SIMAX 耐熱玻璃沙拉碗3入組186, 單色, 1組",$552,https://www.tw.coupang.com/products/SIMAX-%E8%80%90%E7%86%B1%E7%8E%BB%E7%92%83%E6%B2%99%E6%8B%89%E7%A2%973%E5%85%A5%E7%B5%84186-21001637927959?itemId=21002793344928&vendorItemId=21070783042840&sourceType=search&rank=11&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"Glasslock 耐熱強化玻璃調理碗 2入組, 主鍋 1L + 2L",$488,https://www.tw.coupang.com/products/Glasslock-%E8%80%90%E7%86%B1%E5%BC%B7%E5%8C%96%E7%8E%BB%E7%92%83%E8%AA%BF%E7%90%86%E7%A2%97-2%E5%85%A5%E7%B5%84-21007172339834?itemId=21018072669676&vendorItemId=21085225902023&sourceType=search&rank=12&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"ZICCO 多功能方形碗, 混色, 1個",$810,https://www.tw.coupang.com/products/ZICCO-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%96%B9%E5%BD%A2%E7%A2%97-21004564345817?itemId=21005565206854&vendorItemId=21072864577038&sourceType=search&rank=13&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"OBOOJA 沙拉碗 No.1, 單色, 1個",$883,https://www.tw.coupang.com/products/OBOOJA-%E6%B2%99%E6%8B%89%E7%A2%97-No.1-21001676623317?itemId=21002856420104&vendorItemId=21070845722537&sourceType=search&rank=14&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"廚房油磨砂不銹鋼餐具3件套, 單色, 雙氣+雙碗+雙面膜",$286,https://www.tw.coupang.com/products/%E5%BB%9A%E6%88%BF%E6%B2%B9%E7%A3%A8%E7%A0%82%E4%B8%8D%E9%8A%B9%E9%8B%BC%E9%A4%90%E5%85%B73%E4%BB%B6%E5%A5%97-21001730237067?itemId=21002945110068&vendorItemId=21070933689054&sourceType=search&rank=15&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"VISVIVA 微波爐可加熱碗組 S號+M號, 灰色的, 1套",$252,https://www.tw.coupang.com/products/VISVIVA-%E5%BE%AE%E6%B3%A2%E7%88%90%E5%8F%AF%E5%8A%A0%E7%86%B1%E7%A2%97%E7%B5%84-S%E8%99%9F%2BM%E8%99%9F-21001606920669?itemId=21002744529259&vendorItemId=21070734523704&sourceType=search&rank=16&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"HARIO 耐熱玻璃碗 4件組 KB-2518, 單色, 1套",$876,https://www.tw.coupang.com/products/HARIO-%E8%80%90%E7%86%B1%E7%8E%BB%E7%92%83%E7%A2%97-4%E4%BB%B6%E7%B5%84-KB-2518-21004971944774?itemId=21006602788580&vendorItemId=21073896852668&sourceType=search&rank=17&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"陶瓷碗, 黑油, 1個",$469,https://www.tw.coupang.com/products/%E9%99%B6%E7%93%B7%E7%A2%97-21000115078798?itemId=21000344980116&vendorItemId=21003843562726&sourceType=search&rank=18&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"SIMAX 耐熱鋼化玻璃沙拉攪拌碗 3入, 單色",$378,https://www.tw.coupang.com/products/SIMAX-%E8%80%90%E7%86%B1%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E6%B2%99%E6%8B%89%E6%94%AA%E6%8B%8C%E7%A2%97-3%E5%85%A5-21004941132893?itemId=21006510014428&vendorItemId=21073804189586&sourceType=search&rank=19&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"PORTmeIRION 波特玫琳恩 Garden 疊碗碗 14cm 6 件套, 混合顏色, 1套","$2,147",https://www.tw.coupang.com/products/PORTmeIRION-%E6%B3%A2%E7%89%B9%E7%8E%AB%E7%90%B3%E6%81%A9-Garden-%E7%96%8A%E7%A2%97%E7%A2%97-14cm-6-%E4%BB%B6%E5%A5%97-21006787748232?itemId=21016059630109&vendorItemId=21083262951841&sourceType=search&rank=20&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"ERATO 義大利麵深碗 30cm, 單一顏色, 1個",$572,https://www.tw.coupang.com/products/ERATO-%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%E6%B7%B1%E7%A2%97-30cm-21000052265437?itemId=21000184657210&vendorItemId=21003439448135&sourceType=search&rank=21&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"Artistina 拋光碗凹柄湯碗 2610, 混合顏色, 1個",$523,https://www.tw.coupang.com/products/Artistina-%E6%8B%8B%E5%85%89%E7%A2%97%E5%87%B9%E6%9F%84%E6%B9%AF%E7%A2%97-2610-21007204224979?itemId=21018216452752&vendorItemId=21085364308425&sourceType=search&rank=22&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"BIA Cordon Bleu 碗 1.9L, 1個, 白色",$565,https://www.tw.coupang.com/products/BIA-Cordon-Bleu-%E7%A2%97-1.9L-21000154317062?itemId=21000444943282&vendorItemId=21004102133188&sourceType=search&rank=23&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"設計 Dosi B 湯碗 Sanbaekto, 黑油, 1個",$745,https://www.tw.coupang.com/products/%E8%A8%AD%E8%A8%88-Dosi-B-%E6%B9%AF%E7%A2%97-Sanbaekto-21000112564918?itemId=21000338594443&vendorItemId=21003831314493&sourceType=search&rank=24&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"BIA Cordon Bleu Chevron 深碗碗 17.8cm, 1個, 綠",$391,https://www.tw.coupang.com/products/BIA-Cordon-Bleu-Chevron-%E6%B7%B1%E7%A2%97%E7%A2%97-17.8cm-21000154317088?itemId=21000444943354&vendorItemId=21004102133287&sourceType=search&rank=25&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"Artistina 拋光碗圓盤 2610, 混合顏色",$687,https://www.tw.coupang.com/products/Artistina-%E6%8B%8B%E5%85%89%E7%A2%97%E5%9C%93%E7%9B%A4-2610-21007201508812?itemId=21018204450251&vendorItemId=21085352799611&sourceType=search&rank=26&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"SSGP 極光空氣碗 10.5 cm, 1個, 白色",$192,https://www.tw.coupang.com/products/SSGP-%E6%A5%B5%E5%85%89%E7%A9%BA%E6%B0%A3%E7%A2%97-10.5-cm-21007851239425?itemId=21021400824759&vendorItemId=21088457451099&sourceType=search&rank=27&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"韓國碗沙拉碗套組黑油 2p + Hopi 2p, 混色, 1套","$4,624",https://www.tw.coupang.com/products/%E9%9F%93%E5%9C%8B%E7%A2%97%E6%B2%99%E6%8B%89%E7%A2%97%E5%A5%97%E7%B5%84%E9%BB%91%E6%B2%B9-2p-%2B-Hopi-2p-21000141079673?itemId=21000410841507&vendorItemId=21004007528998&sourceType=search&rank=28&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
"BONA 褶邊碗 湯碗 13cm 173/D17, 混色, 1個","$1,076",https://www.tw.coupang.com/products/BONA-%E8%A4%B6%E9%82%8A%E7%A2%97-%E6%B9%AF%E7%A2%97-13cm-173%2FD17-21000030840794?itemId=21000116755629&vendorItemId=21003235161180&sourceType=search&rank=29&searchId=a562dfdfa8564250bc5f0a40b896f94a&q=%E6%BF%BE%E6%B2%B9%E7%A2%97
