product_name,product_price,product_url
"Good Life 室內篝火燭台, 混色",$181,https://www.tw.coupang.com/products/Good-Life-%E5%AE%A4%E5%85%A7%E7%AF%9D%E7%81%AB%E7%87%AD%E5%8F%B0-21002140319405?itemId=21003634908891&vendorItemId=21071620459910&sourceType=search&rank=&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"Ecom 燭台, 白色的",$181,https://www.tw.coupang.com/products/Ecom-%E7%87%AD%E5%8F%B0-21005585943664?itemId=21008942512798&vendorItemId=21076229065592&sourceType=search&rank=1&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"Merrigild 燭台燭台三角形金屬中號, 黑色",$297,https://www.tw.coupang.com/products/Merrigild-%E7%87%AD%E5%8F%B0%E7%87%AD%E5%8F%B0%E4%B8%89%E8%A7%92%E5%BD%A2%E9%87%91%E5%B1%AC%E4%B8%AD%E8%99%9F-21007164836199?itemId=21018038396268&vendorItemId=21085192769255&sourceType=search&rank=2&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"蠟燭小圓燭台鐵製蠟燭台杯, 阿拉伯",$145,https://www.tw.coupang.com/products/%E8%A0%9F%E7%87%AD%E5%B0%8F%E5%9C%93%E7%87%AD%E5%8F%B0%E9%90%B5%E8%A3%BD%E8%A0%9F%E7%87%AD%E5%8F%B0%E6%9D%AF-21006918761328?itemId=21016700381544&vendorItemId=21083882935106&sourceType=search&rank=3&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"燭台燭台 C 與樹枝和鳥, 金子",$499,https://www.tw.coupang.com/products/%E7%87%AD%E5%8F%B0%E7%87%AD%E5%8F%B0-C-%E8%88%87%E6%A8%B9%E6%9E%9D%E5%92%8C%E9%B3%A5-21005760932074?itemId=21009756267188&vendorItemId=21077039981840&sourceType=search&rank=4&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"大杯蠟燭燭台燭台, 黑色的",$172,https://www.tw.coupang.com/products/%E5%A4%A7%E6%9D%AF%E8%A0%9F%E7%87%AD%E7%87%AD%E5%8F%B0%E7%87%AD%E5%8F%B0-21006884539373?itemId=21016509010344&vendorItemId=21083696389105&sourceType=search&rank=5&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"Bella 燭台 L, 黑色的",$637,https://www.tw.coupang.com/products/Bella-%E7%87%AD%E5%8F%B0-L-21005788201243?itemId=21009885488910&vendorItemId=21077168925375&sourceType=search&rank=6&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"Peonyst Stunned Skull 燭台燭台, 黑色",$522,https://www.tw.coupang.com/products/Peonyst-Stunned-Skull-%E7%87%AD%E5%8F%B0%E7%87%AD%E5%8F%B0-21007070600111?itemId=21017556864789&vendorItemId=21084723676856&sourceType=search&rank=7&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"Rasmus 陶瓷燭台 實心燭台, 小木屋",$387,https://www.tw.coupang.com/products/Rasmus-%E9%99%B6%E7%93%B7%E7%87%AD%E5%8F%B0-%E5%AF%A6%E5%BF%83%E7%87%AD%E5%8F%B0-21007177840380?itemId=21018097388634&vendorItemId=21085249734424&sourceType=search&rank=8&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"Bella 燭台 S, 黑色的",$510,https://www.tw.coupang.com/products/Bella-%E7%87%AD%E5%8F%B0-S-21005788201270?itemId=21009885489043&vendorItemId=21077168925631&sourceType=search&rank=9&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"Marygild 木製燭台 11 厘米, 白色",$496,https://www.tw.coupang.com/products/Marygild-%E6%9C%A8%E8%A3%BD%E7%87%AD%E5%8F%B0-11-%E5%8E%98%E7%B1%B3-21007158806461?itemId=21018012348018&vendorItemId=21085167871282&sourceType=search&rank=10&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"Merrigild 燭台蠟燭三角形金屬底座大號, 黑色",$284,https://www.tw.coupang.com/products/Merrigild-%E7%87%AD%E5%8F%B0%E8%A0%9F%E7%87%AD%E4%B8%89%E8%A7%92%E5%BD%A2%E9%87%91%E5%B1%AC%E5%BA%95%E5%BA%A7%E5%A4%A7%E8%99%9F-21007153849488?itemId=21017990872981&vendorItemId=21085147442455&sourceType=search&rank=11&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"出坂鐵南瓜台燭台, 象牙",$220,https://www.tw.coupang.com/products/%E5%87%BA%E5%9D%82%E9%90%B5%E5%8D%97%E7%93%9C%E5%8F%B0%E7%87%AD%E5%8F%B0-21000002137433?itemId=21000009693222&vendorItemId=21003014076702&sourceType=search&rank=12&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"young market 台灣阿里山火車木製手工音樂盒, 倫敦大本鐘",$629,https://www.tw.coupang.com/products/young-market-%E5%8F%B0%E7%81%A3%E9%98%BF%E9%87%8C%E5%B1%B1%E7%81%AB%E8%BB%8A%E6%9C%A8%E8%A3%BD%E6%89%8B%E5%B7%A5%E9%9F%B3%E6%A8%82%E7%9B%92-21000065635674?itemId=21000221443882&vendorItemId=21003756363262&sourceType=search&rank=13&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"牡丹骷髏蠟燭燭台, 白色",$501,https://www.tw.coupang.com/products/%E7%89%A1%E4%B8%B9%E9%AA%B7%E9%AB%8F%E8%A0%9F%E7%87%AD%E7%87%AD%E5%8F%B0-21007070556076?itemId=21017556687059&vendorItemId=21084723501270&sourceType=search&rank=14&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"燭台 CJ-ST6 L號, 單色",$545,https://www.tw.coupang.com/products/%E7%87%AD%E5%8F%B0-CJ-ST6-L%E8%99%9F-21005979390992?itemId=21010762067359&vendorItemId=21078042574634&sourceType=search&rank=15&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"燭台球燭台, 紅葉",$375,https://www.tw.coupang.com/products/%E7%87%AD%E5%8F%B0%E7%90%83%E7%87%AD%E5%8F%B0-21005435233658?itemId=21008248817523&vendorItemId=21075536806019&sourceType=search&rank=16&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"Riehel 火車燭台 L, 米色","$2,380",https://www.tw.coupang.com/products/Riehel-%E7%81%AB%E8%BB%8A%E7%87%AD%E5%8F%B0-L-21006536816056?itemId=21014538930115&vendorItemId=21081781374178&sourceType=search&rank=17&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
"Rasmus 歐式燭台金屬燭台, 葉子",$371,https://www.tw.coupang.com/products/Rasmus-%E6%AD%90%E5%BC%8F%E7%87%AD%E5%8F%B0%E9%87%91%E5%B1%AC%E7%87%AD%E5%8F%B0-21007122487885?itemId=21017837037543&vendorItemId=21085000704442&sourceType=search&rank=18&searchId=1ab1c3a0a75840fca9394119af889a05&q=%E7%81%AB%E5%B1%B1%E7%87%AD%E5%8F%B0
