product_name,product_price,product_url
"thinkTANK 創意坦克 相機電池&記憶卡收納包 CF/SD+ 電池 TT971, 選擇該產品",$210,https://www.tw.coupang.com/products/thinkTANK-%E5%89%B5%E6%84%8F%E5%9D%A6%E5%85%8B-%E7%9B%B8%E6%A9%9F%E9%9B%BB%E6%B1%A0%26%E8%A8%98%E6%86%B6%E5%8D%A1%E6%94%B6%E7%B4%8D%E5%8C%85-CF%2FSD%2B-%E9%9B%BB%E6%B1%A0-TT971-21000027604066?itemId=21000106557304&vendorItemId=21004573771878&sourceType=search&rank=&searchId=cf87dd7bf424429bb207070c7d229a0d&q=%E7%84%A1%E8%A8%98%E6%86%B6%E5%8D%A1
"thinkTANK 創意坦克 相機記憶卡收納包 TT217, 單品",$651,https://www.tw.coupang.com/products/thinkTANK-%E5%89%B5%E6%84%8F%E5%9D%A6%E5%85%8B-%E7%9B%B8%E6%A9%9F%E8%A8%98%E6%86%B6%E5%8D%A1%E6%94%B6%E7%B4%8D%E5%8C%85-TT217-21000204371858?itemId=21000460733380&vendorItemId=21004573771899&sourceType=search&rank=1&searchId=cf87dd7bf424429bb207070c7d229a0d&q=%E7%84%A1%E8%A8%98%E6%86%B6%E5%8D%A1
"thinkTANK 創意坦克 相機記憶卡收納包 TT233, 單品",$651,https://www.tw.coupang.com/products/thinkTANK-%E5%89%B5%E6%84%8F%E5%9D%A6%E5%85%8B-%E7%9B%B8%E6%A9%9F%E8%A8%98%E6%86%B6%E5%8D%A1%E6%94%B6%E7%B4%8D%E5%8C%85-TT233-21000160481386?itemId=21000460727823&vendorItemId=21004573771768&sourceType=search&rank=2&searchId=cf87dd7bf424429bb207070c7d229a0d&q=%E7%84%A1%E8%A8%98%E6%86%B6%E5%8D%A1
"thinkTANK 創意坦克 相機記憶卡收納包 TT232, 單品",$651,https://www.tw.coupang.com/products/thinkTANK-%E5%89%B5%E6%84%8F%E5%9D%A6%E5%85%8B-%E7%9B%B8%E6%A9%9F%E8%A8%98%E6%86%B6%E5%8D%A1%E6%94%B6%E7%B4%8D%E5%8C%85-TT232-21000160481399?itemId=21000460727883&vendorItemId=21004573771706&sourceType=search&rank=3&searchId=cf87dd7bf424429bb207070c7d229a0d&q=%E7%84%A1%E8%A8%98%E6%86%B6%E5%8D%A1
"SanDisk 晟碟 Extreme Pro記憶卡 SDSDXXY, 512GB","$3,201",https://www.tw.coupang.com/products/SanDisk-%E6%99%9F%E7%A2%9F-Extreme-Pro%E8%A8%98%E6%86%B6%E5%8D%A1-SDSDXXY-21001336162429?itemId=21002362007792&vendorItemId=21070358351275&sourceType=search&rank=4&searchId=cf87dd7bf424429bb207070c7d229a0d&q=%E7%84%A1%E8%A8%98%E6%86%B6%E5%8D%A1
"SanDisk 晟碟 Extreme Pro記憶卡 SDSDXXY, 1TB","$5,677",https://www.tw.coupang.com/products/SanDisk-%E6%99%9F%E7%A2%9F-Extreme-Pro%E8%A8%98%E6%86%B6%E5%8D%A1-SDSDXXY-21001336164419?itemId=21002362009831&vendorItemId=21070358353115&sourceType=search&rank=5&searchId=cf87dd7bf424429bb207070c7d229a0d&q=%E7%84%A1%E8%A8%98%E6%86%B6%E5%8D%A1
"thinkTANK 創意坦克 相機記憶卡收納包 TT219, 單品",$513,https://www.tw.coupang.com/products/thinkTANK-%E5%89%B5%E6%84%8F%E5%9D%A6%E5%85%8B-%E7%9B%B8%E6%A9%9F%E8%A8%98%E6%86%B6%E5%8D%A1%E6%94%B6%E7%B4%8D%E5%8C%85-TT219-21000160481595?itemId=21000460729100&vendorItemId=21004573771783&sourceType=search&rank=6&searchId=cf87dd7bf424429bb207070c7d229a0d&q=%E7%84%A1%E8%A8%98%E6%86%B6%E5%8D%A1
"Anyport 2合1金屬機身千兆LAN卡組合 + CAT.6 LAN電纜灰色2m套組, AP-UC31GLAN（網卡）",$364,https://www.tw.coupang.com/products/Anyport-2%E5%90%881%E9%87%91%E5%B1%AC%E6%A9%9F%E8%BA%AB%E5%8D%83%E5%85%86LAN%E5%8D%A1%E7%B5%84%E5%90%88-%2B-CAT.6-LAN%E9%9B%BB%E7%BA%9C%E7%81%B0%E8%89%B22m%E5%A5%97%E7%B5%84-21006758600998?itemId=21015832179639&vendorItemId=21083043809815&sourceType=search&rank=7&searchId=cf87dd7bf424429bb207070c7d229a0d&q=%E7%84%A1%E8%A8%98%E6%86%B6%E5%8D%A1
"thinkTANK 創意坦克 相機記憶卡收納包 TT209, 混色",$392,https://www.tw.coupang.com/products/thinkTANK-%E5%89%B5%E6%84%8F%E5%9D%A6%E5%85%8B-%E7%9B%B8%E6%A9%9F%E8%A8%98%E6%86%B6%E5%8D%A1%E6%94%B6%E7%B4%8D%E5%8C%85-TT209-21000204371858?itemId=21000600867119&vendorItemId=21004573772153&sourceType=search&rank=8&searchId=cf87dd7bf424429bb207070c7d229a0d&q=%E7%84%A1%E8%A8%98%E6%86%B6%E5%8D%A1
"Anyport 2 合 1 金屬機身千兆網卡組合 + CAT.6 網線灰色 1 米套組, AP-UC31GLAN（網卡）",$366,https://www.tw.coupang.com/products/Anyport-2-%E5%90%88-1-%E9%87%91%E5%B1%AC%E6%A9%9F%E8%BA%AB%E5%8D%83%E5%85%86%E7%B6%B2%E5%8D%A1%E7%B5%84%E5%90%88-%2B-CAT.6-%E7%B6%B2%E7%B7%9A%E7%81%B0%E8%89%B2-1-%E7%B1%B3%E5%A5%97%E7%B5%84-21006758601190?itemId=21015832180454&vendorItemId=21083043810615&sourceType=search&rank=9&searchId=cf87dd7bf424429bb207070c7d229a0d&q=%E7%84%A1%E8%A8%98%E6%86%B6%E5%8D%A1
