product_name,product_price,product_url
"Skater 銀離子小牛奶杯, 角落生物, 1個",$115,https://www.tw.coupang.com/products/Skater-%E9%8A%80%E9%9B%A2%E5%AD%90%E5%B0%8F%E7%89%9B%E5%A5%B6%E6%9D%AF-238556693905423?itemId=238556693905425&vendorItemId=242537868525571&sourceType=search&rank=&searchId=7a95c48463844b98a6486b57f47e938a&q=%E7%89%9B%E5%A5%B6%E6%9D%AF
"Skater 銀離子牛奶杯, 巧虎, 1個",$94,https://www.tw.coupang.com/products/Skater-%E9%8A%80%E9%9B%A2%E5%AD%90%E7%89%9B%E5%A5%B6%E6%9D%AF-238557478223896?itemId=238555817263129&vendorItemId=238556693905422&sourceType=search&rank=1&searchId=7a95c48463844b98a6486b57f47e938a&q=%E7%89%9B%E5%A5%B6%E6%9D%AF
"PiYOPiYO 黃色小鴨 牛奶杯 微波爐專用餐具, 2個",$116,https://www.tw.coupang.com/products/PiYOPiYO-%E9%BB%83%E8%89%B2%E5%B0%8F%E9%B4%A8-%E7%89%9B%E5%A5%B6%E6%9D%AF-%E5%BE%AE%E6%B3%A2%E7%88%90%E5%B0%88%E7%94%A8%E9%A4%90%E5%85%B7-212737632223244?itemId=291073242906632&vendorItemId=291074304098306&sourceType=search&rank=2&searchId=7a95c48463844b98a6486b57f47e938a&q=%E7%89%9B%E5%A5%B6%E6%9D%AF
"Skater 銀離子牛奶杯, 巧虎, 2個",$189,https://www.tw.coupang.com/products/Skater-%E9%8A%80%E9%9B%A2%E5%AD%90%E7%89%9B%E5%A5%B6%E6%9D%AF-238557478223896?itemId=338881446641675&vendorItemId=338881446608897&sourceType=search&rank=3&searchId=7a95c48463844b98a6486b57f47e938a&q=%E7%89%9B%E5%A5%B6%E6%9D%AF
"iwooa 把手耐熱玻璃杯 500ml, 單一顏色, 3個",$302,https://www.tw.coupang.com/products/iwooa-%E6%8A%8A%E6%89%8B%E8%80%90%E7%86%B1%E7%8E%BB%E7%92%83%E6%9D%AF-500ml-21006731514085?itemId=21015686450141&vendorItemId=21082901412217&sourceType=search&rank=4&searchId=7a95c48463844b98a6486b57f47e938a&q=%E7%89%9B%E5%A5%B6%E6%9D%AF
"首爾牛奶復古琺瑯野營杯 350ml, 超級牛仔, 1個",$588,https://www.tw.coupang.com/products/%E9%A6%96%E7%88%BE%E7%89%9B%E5%A5%B6%E5%BE%A9%E5%8F%A4%E7%90%BA%E7%91%AF%E9%87%8E%E7%87%9F%E6%9D%AF-350ml-21005171840374?itemId=21007137005099&vendorItemId=21074428759881&sourceType=search&rank=5&searchId=7a95c48463844b98a6486b57f47e938a&q=%E7%89%9B%E5%A5%B6%E6%9D%AF
"iwooa 耐熱玻璃杯 280ml, 4個",$212,https://www.tw.coupang.com/products/iwooa-%E8%80%90%E7%86%B1%E7%8E%BB%E7%92%83%E6%9D%AF-280ml-21006765802491?itemId=21015870195330&vendorItemId=21083079532203&sourceType=search&rank=6&searchId=7a95c48463844b98a6486b57f47e938a&q=%E7%89%9B%E5%A5%B6%E6%9D%AF
"iwooa 耐熱直條紋玻璃杯 300ml, 單色, 4個",$364,https://www.tw.coupang.com/products/iwooa-%E8%80%90%E7%86%B1%E7%9B%B4%E6%A2%9D%E7%B4%8B%E7%8E%BB%E7%92%83%E6%9D%AF-300ml-21006810242298?itemId=21016107823156&vendorItemId=21083304949461&sourceType=search&rank=7&searchId=7a95c48463844b98a6486b57f47e938a&q=%E7%89%9B%E5%A5%B6%E6%9D%AF
"Seoul Milk 首爾牛奶 復古風文字馬克杯, 混合顏色, 1個",$244,https://www.tw.coupang.com/products/Seoul-Milk-%E9%A6%96%E7%88%BE%E7%89%9B%E5%A5%B6-%E5%BE%A9%E5%8F%A4%E9%A2%A8%E6%96%87%E5%AD%97%E9%A6%AC%E5%85%8B%E6%9D%AF-265286066323464?itemId=265287093960714&vendorItemId=265287093960707&sourceType=search&rank=8&searchId=7a95c48463844b98a6486b57f47e938a&q=%E7%89%9B%E5%A5%B6%E6%9D%AF
"MAKA 耐熱牛奶壺小 40ml, 單色, 1個",$72,https://www.tw.coupang.com/products/MAKA-%E8%80%90%E7%86%B1%E7%89%9B%E5%A5%B6%E5%A3%BA%E5%B0%8F-40ml-21005387994639?itemId=21008025286936&vendorItemId=21075313967631&sourceType=search&rank=9&searchId=7a95c48463844b98a6486b57f47e938a&q=%E7%89%9B%E5%A5%B6%E6%9D%AF
