product_name,product_price,product_url
"乖乖 玉米脆果 彎的脆果 草莓煉乳, 40g, 3包",$42,https://www.tw.coupang.com/products/%E4%B9%96%E4%B9%96-%E7%8E%89%E7%B1%B3%E8%84%86%E6%9E%9C-%E5%BD%8E%E7%9A%84%E8%84%86%E6%9E%9C-%E8%8D%89%E8%8E%93%E7%85%89%E4%B9%B3-181550876426247?itemId=382056425046018&vendorItemId=382056425046016&sourceType=search&rank=&searchId=cc8eaee510414a27b2bad7048a25f8bf&q=%E7%8E%89%E7%B1%B3%E5%B8%83%E4%B8%81%E9%85%A5
"寶寶食堂 玉米仙貝, 19g, 2包",$138,https://www.tw.coupang.com/products/%E5%AF%B6%E5%AF%B6%E9%A3%9F%E5%A0%82-%E7%8E%89%E7%B1%B3%E4%BB%99%E8%B2%9D-199302303399947?itemId=396910854602761&vendorItemId=396910854635521&sourceType=search&rank=1&searchId=cc8eaee510414a27b2bad7048a25f8bf&q=%E7%8E%89%E7%B1%B3%E5%B8%83%E4%B8%81%E9%85%A5
"孔雀 捲心餅 雞蛋布丁, 63g, 3包",$50,https://www.tw.coupang.com/products/%E5%AD%94%E9%9B%80-%E6%8D%B2%E5%BF%83%E9%A4%85-%E9%9B%9E%E8%9B%8B%E5%B8%83%E4%B8%81-283369816424452?itemId=319282206441489&vendorItemId=319282206441483&sourceType=search&rank=2&searchId=cc8eaee510414a27b2bad7048a25f8bf&q=%E7%8E%89%E7%B1%B3%E5%B8%83%E4%B8%81%E9%85%A5
"乖乖 玉米脆果煉乳, 40g, 3包",$46,https://www.tw.coupang.com/products/%E4%B9%96%E4%B9%96-%E7%8E%89%E7%B1%B3%E8%84%86%E6%9E%9C%E7%85%89%E4%B9%B3-280918795206661?itemId=383161271795725&vendorItemId=383161271795719&sourceType=search&rank=3&searchId=cc8eaee510414a27b2bad7048a25f8bf&q=%E7%8E%89%E7%B1%B3%E5%B8%83%E4%B8%81%E9%85%A5
"雪之戀 濃湯玉米棒, 84g, 3袋",$98,https://www.tw.coupang.com/products/%E9%9B%AA%E4%B9%8B%E6%88%80-%E6%BF%83%E6%B9%AF%E7%8E%89%E7%B1%B3%E6%A3%92-277599536250880?itemId=184539108327428&vendorItemId=184538533675018&sourceType=search&rank=4&searchId=cc8eaee510414a27b2bad7048a25f8bf&q=%E7%8E%89%E7%B1%B3%E5%B8%83%E4%B8%81%E9%85%A5
"Chiao-E 巧益 玉米濃湯捲, 200g, 2包",$112,https://www.tw.coupang.com/products/Chiao-E-%E5%B7%A7%E7%9B%8A-%E7%8E%89%E7%B1%B3%E6%BF%83%E6%B9%AF%E6%8D%B2-454150655557635?itemId=461380285038593&vendorItemId=461380285054976&sourceType=search&rank=5&searchId=cc8eaee510414a27b2bad7048a25f8bf&q=%E7%8E%89%E7%B1%B3%E5%B8%83%E4%B8%81%E9%85%A5
"乖乖 玉米脆條, 牛奶糖, 40g, 3包",$46,https://www.tw.coupang.com/products/%E4%B9%96%E4%B9%96-%E7%8E%89%E7%B1%B3%E8%84%86%E6%A2%9D-270029140492288?itemId=400172278317061&vendorItemId=400172278317058&sourceType=search&rank=6&searchId=cc8eaee510414a27b2bad7048a25f8bf&q=%E7%8E%89%E7%B1%B3%E5%B8%83%E4%B8%81%E9%85%A5
"FUJIYA 不二家 麵包超人牛乳餅 9個月以上 2包, 84g, 2盒",$130,https://www.tw.coupang.com/products/FUJIYA-%E4%B8%8D%E4%BA%8C%E5%AE%B6-%E9%BA%B5%E5%8C%85%E8%B6%85%E4%BA%BA%E7%89%9B%E4%B9%B3%E9%A4%85-9%E5%80%8B%E6%9C%88%E4%BB%A5%E4%B8%8A-2%E5%8C%85-247201032798221?itemId=386772672430093&vendorItemId=386772672430089&sourceType=search&rank=7&searchId=cc8eaee510414a27b2bad7048a25f8bf&q=%E7%8E%89%E7%B1%B3%E5%B8%83%E4%B8%81%E9%85%A5
"MAEDA 大阪前田製菓 乳球 小粒燒菓子, 蛋酥, 100g, 2包",$134,https://www.tw.coupang.com/products/MAEDA-%E5%A4%A7%E9%98%AA%E5%89%8D%E7%94%B0%E8%A3%BD%E8%8F%93-%E4%B9%B3%E7%90%83-%E5%B0%8F%E7%B2%92%E7%87%92%E8%8F%93%E5%AD%90-163460855873537?itemId=358977154023425&vendorItemId=358977154039808&sourceType=search&rank=8&searchId=cc8eaee510414a27b2bad7048a25f8bf&q=%E7%8E%89%E7%B1%B3%E5%B8%83%E4%B8%81%E9%85%A5
"master mi 米大師 小星泡芙4連包 6個月以上, 草莓+蘋果, 32g, 2組",$78,https://www.tw.coupang.com/products/master-mi-%E7%B1%B3%E5%A4%A7%E5%B8%AB-%E5%B0%8F%E6%98%9F%E6%B3%A1%E8%8A%994%E9%80%A3%E5%8C%85-6%E5%80%8B%E6%9C%88%E4%BB%A5%E4%B8%8A-277696357564421?itemId=383151893331972&vendorItemId=383151893364739&sourceType=search&rank=9&searchId=cc8eaee510414a27b2bad7048a25f8bf&q=%E7%8E%89%E7%B1%B3%E5%B8%83%E4%B8%81%E9%85%A5
