product_name,product_price,product_url
"Goodiff 整潔合身中長款無袖無袖夏季連衣裙, Clova White",$417,https://www.tw.coupang.com/products/Goodiff-%E6%95%B4%E6%BD%94%E5%90%88%E8%BA%AB%E4%B8%AD%E9%95%B7%E6%AC%BE%E7%84%A1%E8%A2%96%E7%84%A1%E8%A2%96%E5%A4%8F%E5%AD%A3%E9%80%A3%E8%A1%A3%E8%A3%99-21007298241637?itemId=21018669254525&vendorItemId=21085803647644&sourceType=search&rank=&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"Elso 緊身胸衣短連體衣, 黑色",$237,https://www.tw.coupang.com/products/Elso-%E7%B7%8A%E8%BA%AB%E8%83%B8%E8%A1%A3%E7%9F%AD%E9%80%A3%E9%AB%94%E8%A1%A3-21007159295863?itemId=21018014340744&vendorItemId=21085169785486&sourceType=search&rank=1&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"Peonist 露肩修身連體衣, 黑色",$332,https://www.tw.coupang.com/products/Peonist-%E9%9C%B2%E8%82%A9%E4%BF%AE%E8%BA%AB%E9%80%A3%E9%AB%94%E8%A1%A3-21007102239585?itemId=21017731431347&vendorItemId=21084896162847&sourceType=search&rank=2&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"PEONIST 背部蝴蝶結泡泡袖迷你連身裙, 天空",$314,https://www.tw.coupang.com/products/PEONIST-%E8%83%8C%E9%83%A8%E8%9D%B4%E8%9D%B6%E7%B5%90%E6%B3%A1%E6%B3%A1%E8%A2%96%E8%BF%B7%E4%BD%A0%E9%80%A3%E8%BA%AB%E8%A3%99-21007977455878?itemId=21022121923833&vendorItemId=21089168802144&sourceType=search&rank=3&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"女款無袖連身裙打版圖紙 P500, 混色, 1個",$188,https://www.tw.coupang.com/products/%E5%A5%B3%E6%AC%BE%E7%84%A1%E8%A2%96%E9%80%A3%E8%BA%AB%E8%A3%99%E6%89%93%E7%89%88%E5%9C%96%E7%B4%99-P500-21000072263532?itemId=21000240927125&vendorItemId=21003593453412&sourceType=search&rank=4&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"海洋茶基本素色迷你無袖連體衣 Cpops8473k2c, 黑色",$540,https://www.tw.coupang.com/products/%E6%B5%B7%E6%B4%8B%E8%8C%B6%E5%9F%BA%E6%9C%AC%E7%B4%A0%E8%89%B2%E8%BF%B7%E4%BD%A0%E7%84%A1%E8%A2%96%E9%80%A3%E9%AB%94%E8%A1%A3-Cpops8473k2c-21007143417149?itemId=21017943517534&vendorItemId=21085101376032&sourceType=search&rank=5&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"女款無袖洋裝打版紙 P136, 混色, 1個",$149,https://www.tw.coupang.com/products/%E5%A5%B3%E6%AC%BE%E7%84%A1%E8%A2%96%E6%B4%8B%E8%A3%9D%E6%89%93%E7%89%88%E7%B4%99-P136-21000072263464?itemId=21000240926990&vendorItemId=21003593453331&sourceType=search&rank=6&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"LUNAGIRL 印花寬肩無袖收腰連衣裙, Flower",$844,https://www.tw.coupang.com/products/LUNAGIRL-%E5%8D%B0%E8%8A%B1%E5%AF%AC%E8%82%A9%E7%84%A1%E8%A2%96%E6%94%B6%E8%85%B0%E9%80%A3%E8%A1%A3%E8%A3%99-21005492257127?itemId=21008507037718&vendorItemId=21075794524415&sourceType=search&rank=7&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"修身無袖連身裙, 卡其色",$240,https://www.tw.coupang.com/products/%E4%BF%AE%E8%BA%AB%E7%84%A1%E8%A2%96%E9%80%A3%E8%BA%AB%E8%A3%99-21005318895532?itemId=21007730973777&vendorItemId=21075021150155&sourceType=search&rank=8&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"長款沙灘襯墊無袖莫代爾連衣裙, 灰色",$432,https://www.tw.coupang.com/products/%E9%95%B7%E6%AC%BE%E6%B2%99%E7%81%98%E8%A5%AF%E5%A2%8A%E7%84%A1%E8%A2%96%E8%8E%AB%E4%BB%A3%E7%88%BE%E9%80%A3%E8%A1%A3%E8%A3%99-21006585893993?itemId=21014840190148&vendorItemId=21082079461296&sourceType=search&rank=9&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"THE SIRUP 寬鬆吊帶長連衣裙 2入, 黑色+灰色",$532,https://www.tw.coupang.com/products/THE-SIRUP-%E5%AF%AC%E9%AC%86%E5%90%8A%E5%B8%B6%E9%95%B7%E9%80%A3%E8%A1%A3%E8%A3%99-2%E5%85%A5-21001679790673?itemId=21002885652767&vendorItemId=21070874733385&sourceType=search&rank=10&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"BNX 打孔連衣裙, 四象牙",$750,https://www.tw.coupang.com/products/BNX-%E6%89%93%E5%AD%94%E9%80%A3%E8%A1%A3%E8%A3%99-21006550895978?itemId=21014623549836&vendorItemId=21081865183108&sourceType=search&rank=11&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"亞麻透視繫帶背心分層洋裝 TSP920, Ivory",$477,https://www.tw.coupang.com/products/%E4%BA%9E%E9%BA%BB%E9%80%8F%E8%A6%96%E7%B9%AB%E5%B8%B6%E8%83%8C%E5%BF%83%E5%88%86%E5%B1%A4%E6%B4%8B%E8%A3%9D-TSP920-21008169708747?itemId=21023328843736&vendorItemId=21090360547049&sourceType=search&rank=12&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"There she is 主打褶邊長款連衣裙, 黑色",$703,https://www.tw.coupang.com/products/There-she-is-%E4%B8%BB%E6%89%93%E8%A4%B6%E9%82%8A%E9%95%B7%E6%AC%BE%E9%80%A3%E8%A1%A3%E8%A3%99-21006271680467?itemId=21012829086509&vendorItemId=21085917827959&sourceType=search&rank=13&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
TEETAK 皺褶迷你裙吊帶洋裝,$237,https://www.tw.coupang.com/products/TEETAK-%E7%9A%BA%E8%A4%B6%E8%BF%B7%E4%BD%A0%E8%A3%99%E5%90%8A%E5%B8%B6%E6%B4%8B%E8%A3%9D-21001569528774?itemId=21002683849089&vendorItemId=21070674351868&sourceType=search&rank=14&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"ENVYLOOK 度假風背心連身裙, 象牙白",$632,https://www.tw.coupang.com/products/ENVYLOOK-%E5%BA%A6%E5%81%87%E9%A2%A8%E8%83%8C%E5%BF%83%E9%80%A3%E8%BA%AB%E8%A3%99-21007401179656?itemId=21019156784404&vendorItemId=21086275575367&sourceType=search&rank=15&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"Hiarden 背心吊帶迷你洋裝 AI1180, 白色",$729,https://www.tw.coupang.com/products/Hiarden-%E8%83%8C%E5%BF%83%E5%90%8A%E5%B8%B6%E8%BF%B7%E4%BD%A0%E6%B4%8B%E8%A3%9D-AI1180-21008066081612?itemId=21022684575151&vendorItemId=21090087962439&sourceType=search&rank=16&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"Vivemo 單邊細肩帶連衣裙, 象牙白","$1,364",https://www.tw.coupang.com/products/Vivemo-%E5%96%AE%E9%82%8A%E7%B4%B0%E8%82%A9%E5%B8%B6%E9%80%A3%E8%A1%A3%E8%A3%99-21006431769114?itemId=21013883652379&vendorItemId=21081133421597&sourceType=search&rank=17&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"百褶背帶長洋裝 TSP230, 黑色",$664,https://www.tw.coupang.com/products/%E7%99%BE%E8%A4%B6%E8%83%8C%E5%B8%B6%E9%95%B7%E6%B4%8B%E8%A3%9D-TSP230-21007972306451?itemId=21022071026000&vendorItemId=21089118114130&sourceType=search&rank=18&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"Loves Narina 吊帶無袖超長長一件, 粉色",$859,https://www.tw.coupang.com/products/Loves-Narina-%E5%90%8A%E5%B8%B6%E7%84%A1%E8%A2%96%E8%B6%85%E9%95%B7%E9%95%B7%E4%B8%80%E4%BB%B6-21008059267291?itemId=21022633791290&vendorItemId=21089675076674&sourceType=search&rank=19&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"PAPERMENTS 無袖吊帶扣環高腰長洋裝 22187, Ivory",$963,https://www.tw.coupang.com/products/PAPERMENTS-%E7%84%A1%E8%A2%96%E5%90%8A%E5%B8%B6%E6%89%A3%E7%92%B0%E9%AB%98%E8%85%B0%E9%95%B7%E6%B4%8B%E8%A3%9D-22187-21007991176947?itemId=21022212747445&vendorItemId=21089258769209&sourceType=search&rank=20&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"女款無袖洋裝打版紙 P154, 混色, 1個",$208,https://www.tw.coupang.com/products/%E5%A5%B3%E6%AC%BE%E7%84%A1%E8%A2%96%E6%B4%8B%E8%A3%9D%E6%89%93%E7%89%88%E7%B4%99-P154-21000072263477?itemId=21000240927010&vendorItemId=21003593453336&sourceType=search&rank=21&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"打褶裙襬連身裙, 米色","$1,306",https://www.tw.coupang.com/products/%E6%89%93%E8%A4%B6%E8%A3%99%E8%A5%AC%E9%80%A3%E8%BA%AB%E8%A3%99-21006346146098?itemId=21013335159281&vendorItemId=21080934321467&sourceType=search&rank=22&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"JUCY JUDY J無袖兩用洋裝JYOP329A, 黑色","$2,208",https://www.tw.coupang.com/products/JUCY-JUDY-J%E7%84%A1%E8%A2%96%E5%85%A9%E7%94%A8%E6%B4%8B%E8%A3%9DJYOP329A-21008088273008?itemId=21022832903563&vendorItemId=21089868213608&sourceType=search&rank=23&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
"Market A 可愛緞帶無袖迷你洋裝 A24SS3A0009, 乳白色",$388,https://www.tw.coupang.com/products/Market-A-%E5%8F%AF%E6%84%9B%E7%B7%9E%E5%B8%B6%E7%84%A1%E8%A2%96%E8%BF%B7%E4%BD%A0%E6%B4%8B%E8%A3%9D-A24SS3A0009-21007967339788?itemId=21022051725355&vendorItemId=21089098997059&sourceType=search&rank=24&searchId=9894335e69214629a8a02add48105b31&q=%E8%83%8C%E6%B4%8B
