product_name,product_price,product_url
"Living Soop 角度可調式舒壓腳踏板, 淺灰色",$343,https://www.tw.coupang.com/products/Living-Soop-%E8%A7%92%E5%BA%A6%E5%8F%AF%E8%AA%BF%E5%BC%8F%E8%88%92%E5%A3%93%E8%85%B3%E8%B8%8F%E6%9D%BF-259852265816069?itemId=259852270010368&vendorItemId=259852265816064&sourceType=search&rank=&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"Living Soop 角度可調式舒壓腳踏板, Clay Gray, 1個",$435,https://www.tw.coupang.com/products/Living-Soop-%E8%A7%92%E5%BA%A6%E5%8F%AF%E8%AA%BF%E5%BC%8F%E8%88%92%E5%A3%93%E8%85%B3%E8%B8%8F%E6%9D%BF-21005227999402?itemId=21007351348730&vendorItemId=21074642538668&sourceType=search&rank=1&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"Relax Me Slim 平視腳踏板 綠色, 1個, 1件",$76,https://www.tw.coupang.com/products/Relax-Me-Slim-%E5%B9%B3%E8%A6%96%E8%85%B3%E8%B8%8F%E6%9D%BF-%E7%B6%A0%E8%89%B2-21007078058020?itemId=21017599078895&vendorItemId=21084765399011&sourceType=search&rank=2&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"100SU 日本柳杉腳踏板, 混色, 1個",$190,https://www.tw.coupang.com/products/100SU-%E6%97%A5%E6%9C%AC%E6%9F%B3%E6%9D%89%E8%85%B3%E8%B8%8F%E6%9D%BF-21004777034816?itemId=21006104257378&vendorItemId=21073400618189&sourceType=search&rank=3&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"地板修補貼, ADM15",$72,https://www.tw.coupang.com/products/%E5%9C%B0%E6%9D%BF%E4%BF%AE%E8%A3%9C%E8%B2%BC-21007622944876?itemId=21020214579148&vendorItemId=21087304449386&sourceType=search&rank=4&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"ADDLIFE 地板修補貼, ADM07",$72,https://www.tw.coupang.com/products/ADDLIFE-%E5%9C%B0%E6%9D%BF%E4%BF%AE%E8%A3%9C%E8%B2%BC-21006513713401?itemId=21020214588900&vendorItemId=21087304458707&sourceType=search&rank=5&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"ETUDIER 腳踏板, 1個, 透明黑色",$247,https://www.tw.coupang.com/products/ETUDIER-%E8%85%B3%E8%B8%8F%E6%9D%BF-21008176538597?itemId=21023366478614&vendorItemId=21090396791857&sourceType=search&rank=6&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"3M 防滑貼片 6片, 植物, 1包",$167,https://www.tw.coupang.com/products/3M-%E9%98%B2%E6%BB%91%E8%B2%BC%E7%89%87-6%E7%89%87-276487445905409?itemId=276485436817409&vendorItemId=276487445905408&sourceType=search&rank=7&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"Arico 超簡易預製腳踏板, 綠色",$212,https://www.tw.coupang.com/products/Arico-%E8%B6%85%E7%B0%A1%E6%98%93%E9%A0%90%E8%A3%BD%E8%85%B3%E8%B8%8F%E6%9D%BF-21007158974088?itemId=21018013045385&vendorItemId=21085168542254&sourceType=search&rank=8&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"多功能白板貼, 光滑白色",$233,https://www.tw.coupang.com/products/%E5%A4%9A%E5%8A%9F%E8%83%BD%E7%99%BD%E6%9D%BF%E8%B2%BC-21007276519602?itemId=21018569058348&vendorItemId=21071456060578&sourceType=search&rank=9&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"DEKOREA 木紋地板貼紙(可重複使用), 1816 韓屋風紋路",$997,https://www.tw.coupang.com/products/DEKOREA-%E6%9C%A8%E7%B4%8B%E5%9C%B0%E6%9D%BF%E8%B2%BC%E7%B4%99(%E5%8F%AF%E9%87%8D%E8%A4%87%E4%BD%BF%E7%94%A8)-21006626485462?itemId=21015088089876&vendorItemId=21082310217856&sourceType=search&rank=10&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"BESPO核心強化防滑平衡板, 黑色",$314,https://www.tw.coupang.com/products/BESPO%E6%A0%B8%E5%BF%83%E5%BC%B7%E5%8C%96%E9%98%B2%E6%BB%91%E5%B9%B3%E8%A1%A1%E6%9D%BF-21007809947085?itemId=21021180851459&vendorItemId=21088242268423&sourceType=search&rank=11&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"ROSEROSA 霧面大理石樣式地板貼, 灰白色SM4705-1",$332,https://www.tw.coupang.com/products/ROSEROSA-%E9%9C%A7%E9%9D%A2%E5%A4%A7%E7%90%86%E7%9F%B3%E6%A8%A3%E5%BC%8F%E5%9C%B0%E6%9D%BF%E8%B2%BC-21000021220617?itemId=21000082881535&vendorItemId=21003141282004&sourceType=search&rank=12&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"地板貼, 白色的",$190,https://www.tw.coupang.com/products/%E5%9C%B0%E6%9D%BF%E8%B2%BC-21000162153760?itemId=21000465811747&vendorItemId=21071875974077&sourceType=search&rank=13&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"木紋地板貼紙 HBS-701, 楓葉樹色",$736,https://www.tw.coupang.com/products/%E6%9C%A8%E7%B4%8B%E5%9C%B0%E6%9D%BF%E8%B2%BC%E7%B4%99-HBS-701-21000151289966?itemId=21000436670204&vendorItemId=21004079437521&sourceType=search&rank=14&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"NAEMARU 易安裝仿木紋質感地貼SF-024, 亮色線板人字紋",$496,https://www.tw.coupang.com/products/NAEMARU-%E6%98%93%E5%AE%89%E8%A3%9D%E4%BB%BF%E6%9C%A8%E7%B4%8B%E8%B3%AA%E6%84%9F%E5%9C%B0%E8%B2%BCSF-024-21007679658153?itemId=21000708738713&vendorItemId=21004801796015&sourceType=search&rank=15&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"AL 發紋 Carcom 腳踏板黑色底座類型銀色科納, 1個",$944,https://www.tw.coupang.com/products/AL-%E7%99%BC%E7%B4%8B-Carcom-%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%BB%91%E8%89%B2%E5%BA%95%E5%BA%A7%E9%A1%9E%E5%9E%8B%E9%8A%80%E8%89%B2%E7%A7%91%E7%B4%8D-21000111509998?itemId=21000335809639&vendorItemId=21003823941136&sourceType=search&rank=16&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"FUNNYWALL 板磚 B型, 白色, 5入",$956,https://www.tw.coupang.com/products/FUNNYWALL-%E6%9D%BF%E7%A3%9A-B%E5%9E%8B-21000034390735?itemId=21000128354269&vendorItemId=21003265837126&sourceType=search&rank=17&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
"簡約時尚風地板貼 PRSF-005, 柚木",$708,https://www.tw.coupang.com/products/%E7%B0%A1%E7%B4%84%E6%99%82%E5%B0%9A%E9%A2%A8%E5%9C%B0%E6%9D%BF%E8%B2%BC-PRSF-005-21001978208015?itemId=21003364963214&vendorItemId=21071351689952&sourceType=search&rank=18&searchId=a33025d2ac864ebc8fab4779b335943b&q=%E8%85%B3%E8%B8%8F%E6%9D%BF%E9%A3%BE%E8%B2%BC
