product_name,product_price,product_url
"含迷你手套燙衣板 15*25*3.5cm, 星星, 1組",$102,https://www.tw.coupang.com/products/%E5%90%AB%E8%BF%B7%E4%BD%A0%E6%89%8B%E5%A5%97%E7%87%99%E8%A1%A3%E6%9D%BF-15*25*3.5cm-21005848033154?itemId=21010168877239&vendorItemId=21077451488433&sourceType=search&rank=&searchId=639e9b92387c43b58a39df4eb59abea5&q=%E8%93%84%E7%86%B1%E8%A1%A3
"AIMEDIA 艾美迪雅 空調室外機隔熱板 黏貼型 300g 2入, 1包",$174,https://www.tw.coupang.com/products/AIMEDIA-%E8%89%BE%E7%BE%8E%E8%BF%AA%E9%9B%85-%E7%A9%BA%E8%AA%BF%E5%AE%A4%E5%A4%96%E6%A9%9F%E9%9A%94%E7%86%B1%E6%9D%BF-%E9%BB%8F%E8%B2%BC%E5%9E%8B-300g-2%E5%85%A5-159148339593220?itemId=159147932762116&vendorItemId=159148339593217&sourceType=search&rank=1&searchId=639e9b92387c43b58a39df4eb59abea5&q=%E8%93%84%E7%86%B1%E8%A1%A3
"透明熱縮片, 50入, A4",$657,https://www.tw.coupang.com/products/%E9%80%8F%E6%98%8E%E7%86%B1%E7%B8%AE%E7%89%87-21006204021738?itemId=21012327627656&vendorItemId=21079597646053&sourceType=search&rank=2&searchId=639e9b92387c43b58a39df4eb59abea5&q=%E8%93%84%E7%86%B1%E8%A1%A3
"VISVIVA 方形隔熱墊 灰色, 暖灰色, 2件",$156,https://www.tw.coupang.com/products/VISVIVA-%E6%96%B9%E5%BD%A2%E9%9A%94%E7%86%B1%E5%A2%8A-%E7%81%B0%E8%89%B2-21000092035858?itemId=21000286077551&vendorItemId=21003701951940&sourceType=search&rank=3&searchId=639e9b92387c43b58a39df4eb59abea5&q=%E8%93%84%E7%86%B1%E8%A1%A3
"透明熱縮片, 50入, 半透明",$665,https://www.tw.coupang.com/products/%E9%80%8F%E6%98%8E%E7%86%B1%E7%B8%AE%E7%89%87-21006040594487?itemId=21011042114842&vendorItemId=21079597645923&sourceType=search&rank=4&searchId=639e9b92387c43b58a39df4eb59abea5&q=%E8%93%84%E7%86%B1%E8%A1%A3
"遠紅外線熱敷墊, 1入",$208,https://www.tw.coupang.com/products/%E9%81%A0%E7%B4%85%E5%A4%96%E7%B7%9A%E7%86%B1%E6%95%B7%E5%A2%8A-21000013805690?itemId=21000057388411&vendorItemId=21073888990486&sourceType=search&rank=5&searchId=639e9b92387c43b58a39df4eb59abea5&q=%E8%93%84%E7%86%B1%E8%A1%A3
"FAmILyLIFE 生活 超效能寬幅導熱蓄熱解凍板 基本款 A-101 直徑24cm 厚度4mm 430g, 1個",$132,https://www.tw.coupang.com/products/FAmILyLIFE-%E7%94%9F%E6%B4%BB-%E8%B6%85%E6%95%88%E8%83%BD%E5%AF%AC%E5%B9%85%E5%B0%8E%E7%86%B1%E8%93%84%E7%86%B1%E8%A7%A3%E5%87%8D%E6%9D%BF-%E5%9F%BA%E6%9C%AC%E6%AC%BE-A-101-%E7%9B%B4%E5%BE%9124cm-%E5%8E%9A%E5%BA%A64mm-430g-455217048928259?itemId=455217048911876&vendorItemId=455217048961026&sourceType=search&rank=6&searchId=639e9b92387c43b58a39df4eb59abea5&q=%E8%93%84%E7%86%B1%E8%A1%A3
"FAmILyLIFE 生活 超效能寬幅導熱蓄熱解凍板 直徑28cm 厚度4mm 590g, 1個",$165,https://www.tw.coupang.com/products/FAmILyLIFE-%E7%94%9F%E6%B4%BB-%E8%B6%85%E6%95%88%E8%83%BD%E5%AF%AC%E5%B9%85%E5%B0%8E%E7%86%B1%E8%93%84%E7%86%B1%E8%A7%A3%E5%87%8D%E6%9D%BF-%E7%9B%B4%E5%BE%9128cm-%E5%8E%9A%E5%BA%A64mm-590g-455217048911875?itemId=455217048944642&vendorItemId=455217048928256&sourceType=search&rank=7&searchId=639e9b92387c43b58a39df4eb59abea5&q=%E8%93%84%E7%86%B1%E8%A1%A3
"蓄熱式暖身器 PR-504, 1個","$1,040",https://www.tw.coupang.com/products/%E8%93%84%E7%86%B1%E5%BC%8F%E6%9A%96%E8%BA%AB%E5%99%A8-PR-504-21006247450890?itemId=21012644687790&vendorItemId=21079912177614&sourceType=search&rank=8&searchId=639e9b92387c43b58a39df4eb59abea5&q=%E8%93%84%E7%86%B1%E8%A1%A3
"門縫隔熱防風密封條 3cm, 1個",$517,https://www.tw.coupang.com/products/%E9%96%80%E7%B8%AB%E9%9A%94%E7%86%B1%E9%98%B2%E9%A2%A8%E5%AF%86%E5%B0%81%E6%A2%9D-3cm-21006209378755?itemId=21012368622223&vendorItemId=21079638415355&sourceType=search&rank=9&searchId=639e9b92387c43b58a39df4eb59abea5&q=%E8%93%84%E7%86%B1%E8%A1%A3
BASE ALPHA ESSENTIALS 女士保暖內衣套裝,$328,https://www.tw.coupang.com/products/BASE-ALPHA-ESSENTIALS-%E5%A5%B3%E5%A3%AB%E4%BF%9D%E6%9A%96%E5%85%A7%E8%A1%A3%E5%A5%97%E8%A3%9D-21001972170412?itemId=21003354566113&vendorItemId=21071341330440&sourceType=search&rank=10&searchId=639e9b92387c43b58a39df4eb59abea5&q=%E8%93%84%E7%86%B1%E8%A1%A3
