product_name,product_price,product_url
"Wonha T5 2P專用電源線 開關型 白色, 150cm, 2個",$214,https://www.tw.coupang.com/products/Wonha-T5-2P%E5%B0%88%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A-%E9%96%8B%E9%97%9C%E5%9E%8B-%E7%99%BD%E8%89%B2-21006293142864?itemId=21022586050574&vendorItemId=21089627786471&sourceType=search&rank=&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"haakaa 母乳矽膠瓢蟲集乳墊, 75ml, 2入, 1組","$1,133",https://www.tw.coupang.com/products/haakaa-%E6%AF%8D%E4%B9%B3%E7%9F%BD%E8%86%A0%E7%93%A2%E8%9F%B2%E9%9B%86%E4%B9%B3%E5%A2%8A-238440788475944?itemId=179818595336202&vendorItemId=179818050043908&sourceType=search&rank=1&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Wonha T5 2P 專用電源線 白色, 150cm, 2個",$174,https://www.tw.coupang.com/products/Wonha-T5-2P-%E5%B0%88%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A-%E7%99%BD%E8%89%B2-21006332574173?itemId=21022586051024&vendorItemId=21089627787187&sourceType=search&rank=2&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Wonha T5 2P專用電源線 開關型 白色, 150cm, 3個",$319,https://www.tw.coupang.com/products/Wonha-T5-2P%E5%B0%88%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A-%E9%96%8B%E9%97%9C%E5%9E%8B-%E7%99%BD%E8%89%B2-21006293142864?itemId=21022586050615&vendorItemId=21089627786518&sourceType=search&rank=3&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"SELRUMI Carbon碳素材質暖手台加熱墊+1.5m電源線寬, SEL-TH834W, 啞光黑","$1,038",https://www.tw.coupang.com/products/SELRUMI-Carbon%E7%A2%B3%E7%B4%A0%E6%9D%90%E8%B3%AA%E6%9A%96%E6%89%8B%E5%8F%B0%E5%8A%A0%E7%86%B1%E5%A2%8A%2B1.5m%E9%9B%BB%E6%BA%90%E7%B7%9A%E5%AF%AC-21006979241087?itemId=21017043880441&vendorItemId=21084218666194&sourceType=search&rank=4&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Scarwiz 簡易便攜式 USB 連接線充電器收納盒 2件套, 粉色, 白色, 1組",$170,https://www.tw.coupang.com/products/Scarwiz-%E7%B0%A1%E6%98%93%E4%BE%BF%E6%94%9C%E5%BC%8F-USB-%E9%80%A3%E6%8E%A5%E7%B7%9A%E5%85%85%E9%9B%BB%E5%99%A8%E6%94%B6%E7%B4%8D%E7%9B%92-2%E4%BB%B6%E5%A5%97-21007714293117?itemId=21020686732675&vendorItemId=21087758496373&sourceType=search&rank=5&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Wonha T5 2P 專用電源線 白色, 150cm, 1個",$100,https://www.tw.coupang.com/products/Wonha-T5-2P-%E5%B0%88%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A-%E7%99%BD%E8%89%B2-21006332574173?itemId=21013248800903&vendorItemId=21080506693096&sourceType=search&rank=6&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"T5專用電源線附開關 白色, 150cm, 1個",$118,https://www.tw.coupang.com/products/T5%E5%B0%88%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A%E9%99%84%E9%96%8B%E9%97%9C-%E7%99%BD%E8%89%B2-21006293142864?itemId=21012974784083&vendorItemId=21080238770472&sourceType=search&rank=7&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"AcoMo PPS II USB 紫外線 2 分鐘奶嘴個人消毒器, 粉色, 2個","$1,372",https://www.tw.coupang.com/products/AcoMo-PPS-II-USB-%E7%B4%AB%E5%A4%96%E7%B7%9A-2-%E5%88%86%E9%90%98%E5%A5%B6%E5%98%B4%E5%80%8B%E4%BA%BA%E6%B6%88%E6%AF%92%E5%99%A8-222560050462724?itemId=222559261900812&vendorItemId=222560046268418&sourceType=search&rank=8&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Scarwiz 簡易便攜式 USB 連接線充電器收納盒 2件套, 藍色+粉紅色, 1組",$173,https://www.tw.coupang.com/products/Scarwiz-%E7%B0%A1%E6%98%93%E4%BE%BF%E6%94%9C%E5%BC%8F-USB-%E9%80%A3%E6%8E%A5%E7%B7%9A%E5%85%85%E9%9B%BB%E5%99%A8%E6%94%B6%E7%B4%8D%E7%9B%92-2%E4%BB%B6%E5%A5%97-21007714293117?itemId=21020686732679&vendorItemId=21087758496392&sourceType=search&rank=9&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Wonha T5 2P 專用電源線 白色, 150cm, 4個",$336,https://www.tw.coupang.com/products/Wonha-T5-2P-%E5%B0%88%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A-%E7%99%BD%E8%89%B2-21006332574173?itemId=21022586051312&vendorItemId=21089627787468&sourceType=search&rank=10&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Wonha T5 2P專用電源線 開關型 白色, 150cm, 4個",$413,https://www.tw.coupang.com/products/Wonha-T5-2P%E5%B0%88%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A-%E9%96%8B%E9%97%9C%E5%9E%8B-%E7%99%BD%E8%89%B2-21006293142864?itemId=21022586051461&vendorItemId=21089627787628&sourceType=search&rank=11&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"ITSON 索尼隨身聽網絡 NW-A45 NW-A46 NW-A47 USB數據線, 單品",$117,https://www.tw.coupang.com/products/ITSON-%E7%B4%A2%E5%B0%BC%E9%9A%A8%E8%BA%AB%E8%81%BD%E7%B6%B2%E7%B5%A1-NW-A45-NW-A46-NW-A47-USB%E6%95%B8%E6%93%9A%E7%B7%9A-21004796059344?itemId=21006151546310&vendorItemId=21073447771128&sourceType=search&rank=12&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Wonha T5 2P 專用電源線 白色, 150cm, 3個",$252,https://www.tw.coupang.com/products/Wonha-T5-2P-%E5%B0%88%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A-%E7%99%BD%E8%89%B2-21006332574173?itemId=21022586051167&vendorItemId=21089627787364&sourceType=search&rank=13&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Wonha T5 2P專用電源線 開關型 白色, 150cm, 5個",$508,https://www.tw.coupang.com/products/Wonha-T5-2P%E5%B0%88%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A-%E9%96%8B%E9%97%9C%E5%9E%8B-%E7%99%BD%E8%89%B2-21006293142864?itemId=21022586050782&vendorItemId=21089627786775&sourceType=search&rank=14&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Base Earth鎢金3合1快充數據線 USB轉5針+蘋果8針+Type C 3.5A, 黑色, 1.5m, 1個",$300,https://www.tw.coupang.com/products/Base-Earth%E9%8E%A2%E9%87%913%E5%90%881%E5%BF%AB%E5%85%85%E6%95%B8%E6%93%9A%E7%B7%9A-USB%E8%BD%895%E9%87%9D%2B%E8%98%8B%E6%9E%9C8%E9%87%9D%2BType-C-3.5A-21007605529323?itemId=21020129762007&vendorItemId=21087223848341&sourceType=search&rank=15&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Wonha T5 2P 專用電源線 白色, 150cm, 5個",$416,https://www.tw.coupang.com/products/Wonha-T5-2P-%E5%B0%88%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A-%E7%99%BD%E8%89%B2-21006332574173?itemId=21022586051589&vendorItemId=21089627787721&sourceType=search&rank=16&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Wonha T5 2P專用電源線 開關型 白色, 150cm, 6個",$602,https://www.tw.coupang.com/products/Wonha-T5-2P%E5%B0%88%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A-%E9%96%8B%E9%97%9C%E5%9E%8B-%E7%99%BD%E8%89%B2-21006293142864?itemId=21022586050798&vendorItemId=21089627786808&sourceType=search&rank=17&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"IT'S LIFE 金屬Type-C短款高速數據線, 黑色, 2條",$190,https://www.tw.coupang.com/products/IT'S-LIFE-%E9%87%91%E5%B1%ACType-C%E7%9F%AD%E6%AC%BE%E9%AB%98%E9%80%9F%E6%95%B8%E6%93%9A%E7%B7%9A-21002263220291?itemId=21003879062637&vendorItemId=21071863722998&sourceType=search&rank=18&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Wonha T5 2P 專用電源線 白色, 150cm, 6個",$488,https://www.tw.coupang.com/products/Wonha-T5-2P-%E5%B0%88%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A-%E7%99%BD%E8%89%B2-21006332574173?itemId=21022586051721&vendorItemId=21089627787876&sourceType=search&rank=19&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"comet LED防藍光檯燈專用插座, 1入",$172,https://www.tw.coupang.com/products/comet-LED%E9%98%B2%E8%97%8D%E5%85%89%E6%AA%AF%E7%87%88%E5%B0%88%E7%94%A8%E6%8F%92%E5%BA%A7-21006629083311?itemId=21015105767569&vendorItemId=21082327701660&sourceType=search&rank=20&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"大友餐飲便攜式充電器保護線收納袋, 1個, 產品1",$549,https://www.tw.coupang.com/products/%E5%A4%A7%E5%8F%8B%E9%A4%90%E9%A3%B2%E4%BE%BF%E6%94%9C%E5%BC%8F%E5%85%85%E9%9B%BB%E5%99%A8%E4%BF%9D%E8%AD%B7%E7%B7%9A%E6%94%B6%E7%B4%8D%E8%A2%8B-21007728545529?itemId=21020761360760&vendorItemId=21087831492484&sourceType=search&rank=21&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"任天堂可拆卸充電器 + DS/DS Lite 數據線套裝, 1組, 2018-CE5V1000A, 黑色",$138,https://www.tw.coupang.com/products/%E4%BB%BB%E5%A4%A9%E5%A0%82%E5%8F%AF%E6%8B%86%E5%8D%B8%E5%85%85%E9%9B%BB%E5%99%A8-%2B-DS%2FDS-Lite-%E6%95%B8%E6%93%9A%E7%B7%9A%E5%A5%97%E8%A3%9D-21008179169935?itemId=21023379969905&vendorItemId=21090410015396&sourceType=search&rank=22&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"倍思 Jelly Liquid C轉8針PD iPhone Lightning快充數據線, 1.2m, 淡藍色, 1個",$140,https://www.tw.coupang.com/products/%E5%80%8D%E6%80%9D-Jelly-Liquid-C%E8%BD%898%E9%87%9DPD-iPhone-Lightning%E5%BF%AB%E5%85%85%E6%95%B8%E6%93%9A%E7%B7%9A-21007525435132?itemId=21019746465862&vendorItemId=21086850058091&sourceType=search&rank=23&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"AcoMo PPS II USB 紫外線 2 分鐘奶嘴個人消毒器 2入, 藍色+粉色, 1組","$1,960",https://www.tw.coupang.com/products/AcoMo-PPS-II-USB-%E7%B4%AB%E5%A4%96%E7%B7%9A-2-%E5%88%86%E9%90%98%E5%A5%B6%E5%98%B4%E5%80%8B%E4%BA%BA%E6%B6%88%E6%AF%92%E5%99%A8-2%E5%85%A5-222559261900825?itemId=222560755089435&vendorItemId=222559261900806&sourceType=search&rank=24&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"倍思 66W亮鏡2 3in1超快充多用線 USB-A型轉5針+蘋果8針+C型, 1.1m, 紫色, 1個",$335,https://www.tw.coupang.com/products/%E5%80%8D%E6%80%9D-66W%E4%BA%AE%E9%8F%A12-3in1%E8%B6%85%E5%BF%AB%E5%85%85%E5%A4%9A%E7%94%A8%E7%B7%9A-USB-A%E5%9E%8B%E8%BD%895%E9%87%9D%2B%E8%98%8B%E6%9E%9C8%E9%87%9D%2BC%E5%9E%8B-21007605529310?itemId=21020129761918&vendorItemId=21087223848270&sourceType=search&rank=25&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"Switch充電座延長線, 單品, 1入",$192,https://www.tw.coupang.com/products/Switch%E5%85%85%E9%9B%BB%E5%BA%A7%E5%BB%B6%E9%95%B7%E7%B7%9A-21002055902958?itemId=21003494922273&vendorItemId=21071481157124&sourceType=search&rank=26&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"GAMMAC 手柄充電線, 單品, 1個",$138,https://www.tw.coupang.com/products/GAMMAC-%E6%89%8B%E6%9F%84%E5%85%85%E9%9B%BB%E7%B7%9A-21000064538701?itemId=21000218609666&vendorItemId=21003528464606&sourceType=search&rank=27&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"haakaa 母乳矽膠瓢蟲集乳墊, 75ml, 2入, 2組","$2,266",https://www.tw.coupang.com/products/haakaa-%E6%AF%8D%E4%B9%B3%E7%9F%BD%E8%86%A0%E7%93%A2%E8%9F%B2%E9%9B%86%E4%B9%B3%E5%A2%8A-238440788475944?itemId=238440792670209&vendorItemId=238442449436678&sourceType=search&rank=28&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"倍思 100W亮鏡2 3in1超快充多用數據線C轉5針+蘋果8針+Type C, 1.1m, 綠色, 1個",$471,https://www.tw.coupang.com/products/%E5%80%8D%E6%80%9D-100W%E4%BA%AE%E9%8F%A12-3in1%E8%B6%85%E5%BF%AB%E5%85%85%E5%A4%9A%E7%94%A8%E6%95%B8%E6%93%9A%E7%B7%9AC%E8%BD%895%E9%87%9D%2B%E8%98%8B%E6%9E%9C8%E9%87%9D%2BType-C-21007605529293?itemId=21020129761501&vendorItemId=21087223848076&sourceType=search&rank=29&searchId=cba4de0e5d4c49f786a83e19dc05ea8d&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"FOR LG 線盤 線盤 線盤 4 芯 LGA-MT430R, 1個, 3m",$481,https://www.tw.coupang.com/products/FOR-LG-%E7%B7%9A%E7%9B%A4-%E7%B7%9A%E7%9B%A4-%E7%B7%9A%E7%9B%A4-4-%E8%8A%AF-LGA-MT430R-21006630774977?itemId=21015114702660&vendorItemId=21073564020232&sourceType=search&rank=&searchId=7ccabf5651054ed19dad908a41540fea&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"倍思 探索者係列自動控電C型8針20W快充數據線, 黑色, 1個, 2m",$406,https://www.tw.coupang.com/products/%E5%80%8D%E6%80%9D-%E6%8E%A2%E7%B4%A2%E8%80%85%E4%BF%82%E5%88%97%E8%87%AA%E5%8B%95%E6%8E%A7%E9%9B%BBC%E5%9E%8B8%E9%87%9D20W%E5%BF%AB%E5%85%85%E6%95%B8%E6%93%9A%E7%B7%9A-21007565746332?itemId=21019746465688&vendorItemId=21086850057901&sourceType=search&rank=1&searchId=7ccabf5651054ed19dad908a41540fea&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"倍思 探索者係列自動功率控制100W USB-C型快充數據線, 黑色, 1個, 2m",$303,https://www.tw.coupang.com/products/%E5%80%8D%E6%80%9D-%E6%8E%A2%E7%B4%A2%E8%80%85%E4%BF%82%E5%88%97%E8%87%AA%E5%8B%95%E5%8A%9F%E7%8E%87%E6%8E%A7%E5%88%B6100W-USB-C%E5%9E%8B%E5%BF%AB%E5%85%85%E6%95%B8%E6%93%9A%E7%B7%9A-21007525435091?itemId=21019746465689&vendorItemId=21086850057922&sourceType=search&rank=2&searchId=7ccabf5651054ed19dad908a41540fea&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
"攜帶式安卓Micro5-USB充電線皮革手鍊, 22.5cm, 黑色, 1條",$314,https://www.tw.coupang.com/products/%E6%94%9C%E5%B8%B6%E5%BC%8F%E5%AE%89%E5%8D%93Micro5-USB%E5%85%85%E9%9B%BB%E7%B7%9A%E7%9A%AE%E9%9D%A9%E6%89%8B%E9%8D%8A-21006640715756?itemId=21015179398069&vendorItemId=21082400680801&sourceType=search&rank=3&searchId=7ccabf5651054ed19dad908a41540fea&q=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%E7%B7%9A
