product_name,product_price,product_url
comet 移動式六段折疊晾衣架,$480,https://www.tw.coupang.com/products/comet-%E7%A7%BB%E5%8B%95%E5%BC%8F%E5%85%AD%E6%AE%B5%E6%8A%98%E7%96%8A%E6%99%BE%E8%A1%A3%E6%9E%B6-170048559759360?itemId=170049025310720&vendorItemId=170048073187328&sourceType=search&rank=&searchId=5c58450bcf944f0db68dcf303b60042b&q=%E8%A2%AB%E5%96%AE%E5%A4%BE%E5%AD%90
comet 移動式七段折疊晾衣架,$514,https://www.tw.coupang.com/products/comet-%E7%A7%BB%E5%8B%95%E5%BC%8F%E4%B8%83%E6%AE%B5%E6%8A%98%E7%96%8A%E6%99%BE%E8%A1%A3%E6%9E%B6-170048538787840?itemId=170049004339200&vendorItemId=170048052215808&sourceType=search&rank=1&searchId=5c58450bcf944f0db68dcf303b60042b&q=%E8%A2%AB%E5%96%AE%E5%A4%BE%E5%AD%90
"MD Global 床單四向固定夾, 白色的, 1個",$166,https://www.tw.coupang.com/products/MD-Global-%E5%BA%8A%E5%96%AE%E5%9B%9B%E5%90%91%E5%9B%BA%E5%AE%9A%E5%A4%BE-21005535573963?itemId=21008700212814&vendorItemId=21075987279787&sourceType=search&rank=2&searchId=5c58450bcf944f0db68dcf303b60042b&q=%E8%A2%AB%E5%96%AE%E5%A4%BE%E5%AD%90
"Axis 艾克思 粉彩防滑強力衣被夾 竹竿夾 9*2.8*4.7cm 8個, 顏色隨機, 2包",$131,https://www.tw.coupang.com/products/Axis-%E8%89%BE%E5%85%8B%E6%80%9D-%E7%B2%89%E5%BD%A9%E9%98%B2%E6%BB%91%E5%BC%B7%E5%8A%9B%E8%A1%A3%E8%A2%AB%E5%A4%BE-%E7%AB%B9%E7%AB%BF%E5%A4%BE-9*2.8*4.7cm-8%E5%80%8B-177582649622528?itemId=278368633208838&vendorItemId=187729555980289&sourceType=search&rank=3&searchId=5c58450bcf944f0db68dcf303b60042b&q=%E8%A2%AB%E5%96%AE%E5%A4%BE%E5%AD%90
comet 燙衣板,$301,https://www.tw.coupang.com/products/comet-%E7%87%99%E8%A1%A3%E6%9D%BF-446169293504519?itemId=446169293488136&vendorItemId=446169293504518&sourceType=search&rank=4&searchId=5c58450bcf944f0db68dcf303b60042b&q=%E8%A2%AB%E5%96%AE%E5%A4%BE%E5%AD%90
comet Home 寢具收納櫃,$797,https://www.tw.coupang.com/products/comet-Home-%E5%AF%A2%E5%85%B7%E6%94%B6%E7%B4%8D%E6%AB%83-453746018418689?itemId=453746018467841&vendorItemId=453746018467840&sourceType=search&rank=5&searchId=5c58450bcf944f0db68dcf303b60042b&q=%E8%A2%AB%E5%96%AE%E5%A4%BE%E5%AD%90
"飛豬韓國無針羽絨被固定夾 6p, 粉紅色, 1組",$97,https://www.tw.coupang.com/products/%E9%A3%9B%E8%B1%AC%E9%9F%93%E5%9C%8B%E7%84%A1%E9%87%9D%E7%BE%BD%E7%B5%A8%E8%A2%AB%E5%9B%BA%E5%AE%9A%E5%A4%BE-6p-21008248284092?itemId=21023742699427&vendorItemId=21074707728624&sourceType=search&rank=6&searchId=5c58450bcf944f0db68dcf303b60042b&q=%E8%A2%AB%E5%96%AE%E5%A4%BE%E5%AD%90
"NOVA 不可變床單固定鉗通用型, 灰色的, 4個",$147,https://www.tw.coupang.com/products/NOVA-%E4%B8%8D%E5%8F%AF%E8%AE%8A%E5%BA%8A%E5%96%AE%E5%9B%BA%E5%AE%9A%E9%89%97%E9%80%9A%E7%94%A8%E5%9E%8B-21005498207361?itemId=21008532929618&vendorItemId=21075820365305&sourceType=search&rank=7&searchId=5c58450bcf944f0db68dcf303b60042b&q=%E8%A2%AB%E5%96%AE%E5%A4%BE%E5%AD%90
"Livingda 床單 6 向固定銷夾, 白色, 1個",$341,https://www.tw.coupang.com/products/Livingda-%E5%BA%8A%E5%96%AE-6-%E5%90%91%E5%9B%BA%E5%AE%9A%E9%8A%B7%E5%A4%BE-21007623809163?itemId=21020218539137&vendorItemId=21087308153373&sourceType=search&rank=8&searchId=5c58450bcf944f0db68dcf303b60042b&q=%E8%A2%AB%E5%96%AE%E5%A4%BE%E5%AD%90
"comet 床單固定夾, 白色, 12個",$130,https://www.tw.coupang.com/products/comet-%E5%BA%8A%E5%96%AE%E5%9B%BA%E5%AE%9A%E5%A4%BE-444018143985667?itemId=444018143985668&vendorItemId=444018144034816&sourceType=search&rank=9&searchId=5c58450bcf944f0db68dcf303b60042b&q=%E8%A2%AB%E5%96%AE%E5%A4%BE%E5%AD%90
