product_name,product_price,product_url
"T.N.A. 悠遊 抓抓貓瘋狂玩具盒 36 x 26 x 6cm, 混合顏色, 1個",$154,https://www.tw.coupang.com/products/T.N.A.-%E6%82%A0%E9%81%8A-%E6%8A%93%E6%8A%93%E8%B2%93%E7%98%8B%E7%8B%82%E7%8E%A9%E5%85%B7%E7%9B%92-36-x-26-x-6cm-451628666683392?itemId=451628666683393&vendorItemId=451628662489092&sourceType=search&rank=&searchId=9066504d221a43a0b9bdd32711c8f15a&q=%E8%B2%93%E6%8A%93%E6%8A%93
"EGUEGU 狗貓 Sumsum House Bouclé House 圓柱形, 1個, 混色",$835,https://www.tw.coupang.com/products/EGUEGU-%E7%8B%97%E8%B2%93-Sumsum-House-Boucl%C3%A9-House-%E5%9C%93%E6%9F%B1%E5%BD%A2-21007634734164?itemId=21020271060225&vendorItemId=21089644711638&sourceType=search&rank=1&searchId=9066504d221a43a0b9bdd32711c8f15a&q=%E8%B2%93%E6%8A%93%E6%8A%93
"EGUEGU 狗貓 Sumsum House Bouclé House 屋頂類型, 1個, 混色",$869,https://www.tw.coupang.com/products/EGUEGU-%E7%8B%97%E8%B2%93-Sumsum-House-Boucl%C3%A9-House-%E5%B1%8B%E9%A0%82%E9%A1%9E%E5%9E%8B-21007634922865?itemId=21020271813038&vendorItemId=21089644711620&sourceType=search&rank=2&searchId=9066504d221a43a0b9bdd32711c8f15a&q=%E8%B2%93%E6%8A%93%E6%8A%93
"DING DONG PET 貓狩獵玩具鼴鼠扁平型抓板, 1個, 白色",$326,https://www.tw.coupang.com/products/DING-DONG-PET-%E8%B2%93%E7%8B%A9%E7%8D%B5%E7%8E%A9%E5%85%B7%E9%BC%B4%E9%BC%A0%E6%89%81%E5%B9%B3%E5%9E%8B%E6%8A%93%E6%9D%BF-21008082509596?itemId=21022797640640&vendorItemId=21089832591224&sourceType=search&rank=3&searchId=9066504d221a43a0b9bdd32711c8f15a&q=%E8%B2%93%E6%8A%93%E6%8A%93
"蒂蒂貓 W 貓抓撓器, 混色, 1個",$73,https://www.tw.coupang.com/products/%E8%92%82%E8%92%82%E8%B2%93-W-%E8%B2%93%E6%8A%93%E6%92%93%E5%99%A8-21000062024757?itemId=21000211997467&vendorItemId=21003504354765&sourceType=search&rank=4&searchId=9066504d221a43a0b9bdd32711c8f15a&q=%E8%B2%93%E6%8A%93%E6%8A%93
"titicat 雪橇貓抓撓器, 混色, 1個",$87,https://www.tw.coupang.com/products/titicat-%E9%9B%AA%E6%A9%87%E8%B2%93%E6%8A%93%E6%92%93%E5%99%A8-21000062024762?itemId=21000211997483&vendorItemId=21003504354763&sourceType=search&rank=5&searchId=9066504d221a43a0b9bdd32711c8f15a&q=%E8%B2%93%E6%8A%93%E6%8A%93
"GiGwi 抓貓抓抓藝術-7275, 混色, 1個",$93,https://www.tw.coupang.com/products/GiGwi-%E6%8A%93%E8%B2%93%E6%8A%93%E6%8A%93%E8%97%9D%E8%A1%93-7275-21000071383838?itemId=21000238205465&vendorItemId=21003585517435&sourceType=search&rank=6&searchId=9066504d221a43a0b9bdd32711c8f15a&q=%E8%B2%93%E6%8A%93%E6%8A%93
"GiGwi 抓貓抓抓藝術-7271, 混色, 1個",$80,https://www.tw.coupang.com/products/GiGwi-%E6%8A%93%E8%B2%93%E6%8A%93%E6%8A%93%E8%97%9D%E8%A1%93-7271-21000071383833?itemId=21000238205459&vendorItemId=21003585517421&sourceType=search&rank=7&searchId=9066504d221a43a0b9bdd32711c8f15a&q=%E8%B2%93%E6%8A%93%E6%8A%93
"Titi Cat Wave 貓抓器, 混色, 1個",$87,https://www.tw.coupang.com/products/Titi-Cat-Wave-%E8%B2%93%E6%8A%93%E5%99%A8-21000062024753?itemId=21000211997459&vendorItemId=21003504354766&sourceType=search&rank=8&searchId=9066504d221a43a0b9bdd32711c8f15a&q=%E8%B2%93%E6%8A%93%E6%8A%93
"ABM 貓聲譽刮刮器, 混色, 2件",$113,https://www.tw.coupang.com/products/ABM-%E8%B2%93%E8%81%B2%E8%AD%BD%E5%88%AE%E5%88%AE%E5%99%A8-21000069954618?itemId=21000234051389&vendorItemId=21003572148472&sourceType=search&rank=9&searchId=9066504d221a43a0b9bdd32711c8f15a&q=%E8%B2%93%E6%8A%93%E6%8A%93
