product_name,product_price,product_url
"Dog-i 寵物雙口餐桌架餐具組, 象牙白, 1組",$360,https://www.tw.coupang.com/products/Dog-i-%E5%AF%B5%E7%89%A9%E9%9B%99%E5%8F%A3%E9%A4%90%E6%A1%8C%E6%9E%B6%E9%A4%90%E5%85%B7%E7%B5%84-21005936754329?itemId=21010566766115&vendorItemId=21077848120724&sourceType=search&rank=&searchId=63a1bfef58bb4b6fa7d9ef34b6c42662&q=%E8%B2%93%E7%A2%97
"T.N.A. 悠遊系列 SAKURA 護頸貓咪瓷碗 15.5 x 14 x 13cm, 蜜桃橙, 1個",$241,https://www.tw.coupang.com/products/T.N.A.-%E6%82%A0%E9%81%8A%E7%B3%BB%E5%88%97-SAKURA-%E8%AD%B7%E9%A0%B8%E8%B2%93%E5%92%AA%E7%93%B7%E7%A2%97-15.5-x-14-x-13cm-451628666683401?itemId=451628666699784&vendorItemId=451628666650628&sourceType=search&rank=1&searchId=63a1bfef58bb4b6fa7d9ef34b6c42662&q=%E8%B2%93%E7%A2%97
"DING DONG PET 寵物專用實木雙口碗架, 單色, 1份",$254,https://www.tw.coupang.com/products/DING-DONG-PET-%E5%AF%B5%E7%89%A9%E5%B0%88%E7%94%A8%E5%AF%A6%E6%9C%A8%E9%9B%99%E5%8F%A3%E7%A2%97%E6%9E%B6-21000165015407?itemId=21000473301089&vendorItemId=21004184601082&sourceType=search&rank=2&searchId=63a1bfef58bb4b6fa7d9ef34b6c42662&q=%E8%B2%93%E7%A2%97
"MONAGIO 斜面圓形陶瓷寵物碗, 深藍色、魚藍色",$370,https://www.tw.coupang.com/products/MONAGIO-%E6%96%9C%E9%9D%A2%E5%9C%93%E5%BD%A2%E9%99%B6%E7%93%B7%E5%AF%B5%E7%89%A9%E7%A2%97-21006235571605?itemId=21012555850054&vendorItemId=21079849527792&sourceType=search&rank=3&searchId=63a1bfef58bb4b6fa7d9ef34b6c42662&q=%E8%B2%93%E7%A2%97
"寵物夢工廠 掛式寵物碗 M號, 2個",$133,https://www.tw.coupang.com/products/%E5%AF%B5%E7%89%A9%E5%A4%A2%E5%B7%A5%E5%BB%A0-%E6%8E%9B%E5%BC%8F%E5%AF%B5%E7%89%A9%E7%A2%97-M%E8%99%9F-453349212094468?itemId=453349212110853&vendorItemId=453349212127232&sourceType=search&rank=4&searchId=63a1bfef58bb4b6fa7d9ef34b6c42662&q=%E8%B2%93%E7%A2%97
"寵物夢工廠 W形二合一不銹鋼寵物防漏雙碗組 300ml 馬卡龍色, 藍色, 1組",$115,https://www.tw.coupang.com/products/%E5%AF%B5%E7%89%A9%E5%A4%A2%E5%B7%A5%E5%BB%A0-W%E5%BD%A2%E4%BA%8C%E5%90%88%E4%B8%80%E4%B8%8D%E9%8A%B9%E9%8B%BC%E5%AF%B5%E7%89%A9%E9%98%B2%E6%BC%8F%E9%9B%99%E7%A2%97%E7%B5%84-300ml-%E9%A6%AC%E5%8D%A1%E9%BE%8D%E8%89%B2-453351804190721?itemId=453351804174338&vendorItemId=453351804207104&sourceType=search&rank=5&searchId=63a1bfef58bb4b6fa7d9ef34b6c42662&q=%E8%B2%93%E7%A2%97
"MONAGIO 寵物斜圓形陶瓷高架碗組 2入, 1組, 白色",$362,https://www.tw.coupang.com/products/MONAGIO-%E5%AF%B5%E7%89%A9%E6%96%9C%E5%9C%93%E5%BD%A2%E9%99%B6%E7%93%B7%E9%AB%98%E6%9E%B6%E7%A2%97%E7%B5%84-2%E5%85%A5-21005056624817?itemId=21006824584335&vendorItemId=21074539663574&sourceType=search&rank=6&searchId=63a1bfef58bb4b6fa7d9ef34b6c42662&q=%E8%B2%93%E7%A2%97
"PUMIKZ 波米斯 BAGEL 貓及小型犬用陶瓷防蟻碗, 青蘋綠, 1個",$415,https://www.tw.coupang.com/products/PUMIKZ-%E6%B3%A2%E7%B1%B3%E6%96%AF-BAGEL-%E8%B2%93%E5%8F%8A%E5%B0%8F%E5%9E%8B%E7%8A%AC%E7%94%A8%E9%99%B6%E7%93%B7%E9%98%B2%E8%9F%BB%E7%A2%97-150836067926025?itemId=150835312934917&vendorItemId=150835694649345&sourceType=search&rank=7&searchId=63a1bfef58bb4b6fa7d9ef34b6c42662&q=%E8%B2%93%E7%A2%97
"SUPER PET 寵物陶瓷高腳餐碗, 白色, 2個",$312,https://www.tw.coupang.com/products/SUPER-PET-%E5%AF%B5%E7%89%A9%E9%99%B6%E7%93%B7%E9%AB%98%E8%85%B3%E9%A4%90%E7%A2%97-21008327414165?itemId=21012407876123&vendorItemId=21079677349840&sourceType=search&rank=8&searchId=63a1bfef58bb4b6fa7d9ef34b6c42662&q=%E8%B2%93%E7%A2%97
"陶瓷胖胖碗 16 x 14 x 8cm 0.6kg, 黑貓, 1個",$616,https://www.tw.coupang.com/products/%E9%99%B6%E7%93%B7%E8%83%96%E8%83%96%E7%A2%97-16-x-14-x-8cm-0.6kg-460226876637189?itemId=460226876620810&vendorItemId=460226876637187&sourceType=search&rank=9&searchId=63a1bfef58bb4b6fa7d9ef34b6c42662&q=%E8%B2%93%E7%A2%97
