product_name,product_price,product_url
"Dr. Muse 吉他尤克里裡小提琴調音器調音器 2W010, 1個",$168,https://www.tw.coupang.com/products/Dr.-Muse-%E5%90%89%E4%BB%96%E5%B0%A4%E5%85%8B%E9%87%8C%E8%A3%A1%E5%B0%8F%E6%8F%90%E7%90%B4%E8%AA%BF%E9%9F%B3%E5%99%A8%E8%AA%BF%E9%9F%B3%E5%99%A8-2W010-21006624718544?itemId=21015076781510&vendorItemId=21082676488706&sourceType=search&rank=&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"Cort 低音放大器, 黑色, CM40B","$3,766",https://www.tw.coupang.com/products/Cort-%E4%BD%8E%E9%9F%B3%E6%94%BE%E5%A4%A7%E5%99%A8-21006237650826?itemId=21012571583650&vendorItemId=21079839744096&sourceType=search&rank=1&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"Cort 音箱, CM15B, BK","$1,928",https://www.tw.coupang.com/products/Cort-%E9%9F%B3%E7%AE%B1-21008192872537?itemId=21003074246225&vendorItemId=21071246099694&sourceType=search&rank=2&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"Gopher Wood 低音放大器, 約櫃低音 15, 混色","$1,832",https://www.tw.coupang.com/products/Gopher-Wood-%E4%BD%8E%E9%9F%B3%E6%94%BE%E5%A4%A7%E5%99%A8-21007828224132?itemId=21021283289735&vendorItemId=21088343331168&sourceType=search&rank=3&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"Colt Cable 吉他/貝斯, 1個",$339,https://www.tw.coupang.com/products/Colt-Cable-%E5%90%89%E4%BB%96%2F%E8%B2%9D%E6%96%AF-21007432153888?itemId=21019305657900&vendorItemId=21086420013191&sourceType=search&rank=4&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"iK Multimedia iRig HD2 移動吉他貝斯接口, IK-AI-0002","$3,605",https://www.tw.coupang.com/products/iK-Multimedia-iRig-HD2-%E7%A7%BB%E5%8B%95%E5%90%89%E4%BB%96%E8%B2%9D%E6%96%AF%E6%8E%A5%E5%8F%A3-21007335919508?itemId=21018843857648&vendorItemId=21085973414301&sourceType=search&rank=5&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"IK MULTIMEDIA 手提吉他貝斯音頻接口, 斧頭輸入/輸出一","$5,321",https://www.tw.coupang.com/products/IK-MULTIMEDIA-%E6%89%8B%E6%8F%90%E5%90%89%E4%BB%96%E8%B2%9D%E6%96%AF%E9%9F%B3%E9%A0%BB%E6%8E%A5%E5%8F%A3-21008129262477?itemId=21023083463873&vendorItemId=21090116953237&sourceType=search&rank=6&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"MOOER 紅色卡車多效應器, 紅色","$7,236",https://www.tw.coupang.com/products/MOOER-%E7%B4%85%E8%89%B2%E5%8D%A1%E8%BB%8A%E5%A4%9A%E6%95%88%E6%87%89%E5%99%A8-21006183277785?itemId=21012155657772&vendorItemId=21079427138073&sourceType=search&rank=7&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"Magellan 800 低音吉他擴大器, 麥哲倫800, 混色","$29,040",https://www.tw.coupang.com/products/Magellan-800-%E4%BD%8E%E9%9F%B3%E5%90%89%E4%BB%96%E6%93%B4%E5%A4%A7%E5%99%A8-21008115939574?itemId=21023009096898&vendorItemId=21090042947928&sourceType=search&rank=8&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"Genzler Magellan 350 Genzler 低音吉他擴大器, 麥哲倫350, 單色","$17,208",https://www.tw.coupang.com/products/Genzler-Magellan-350-Genzler-%E4%BD%8E%E9%9F%B3%E5%90%89%E4%BB%96%E6%93%B4%E5%A4%A7%E5%99%A8-21006488547045?itemId=21014233890646&vendorItemId=21087367187194&sourceType=search&rank=9&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"Cort 低音放大器, 黑色, CM20B","$2,562",https://www.tw.coupang.com/products/Cort-%E4%BD%8E%E9%9F%B3%E6%94%BE%E5%A4%A7%E5%99%A8-21006237650826?itemId=21012571583642&vendorItemId=21079839744059&sourceType=search&rank=10&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"electro-harmonix SYNTH9 吉他和貝司復古合成器, 單品, 混色","$7,792",https://www.tw.coupang.com/products/electro-harmonix-SYNTH9-%E5%90%89%E4%BB%96%E5%92%8C%E8%B2%9D%E5%8F%B8%E5%BE%A9%E5%8F%A4%E5%90%88%E6%88%90%E5%99%A8-21000097915086?itemId=21000300599014&vendorItemId=21003739780668&sourceType=search&rank=11&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"DUNLOP MXR Dyna Comp 迷你低音效果器, M291, 混色","$4,136",https://www.tw.coupang.com/products/DUNLOP-MXR-Dyna-Comp-%E8%BF%B7%E4%BD%A0%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C%E5%99%A8-21000097915285?itemId=21000300599308&vendorItemId=21003739781428&sourceType=search&rank=12&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"T-Rex TRex Creamer 模擬混響低音效果器, 單品, 混色","$4,315",https://www.tw.coupang.com/products/T-Rex-TRex-Creamer-%E6%A8%A1%E6%93%AC%E6%B7%B7%E9%9F%BF%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C%E5%99%A8-21000097915152?itemId=21000300599111&vendorItemId=21003739780944&sourceType=search&rank=13&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"DUNLOP MXR Super Comp 低音效果器, M-132, 混色","$4,374",https://www.tw.coupang.com/products/DUNLOP-MXR-Super-Comp-%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C%E5%99%A8-21000097915125?itemId=21000300599074&vendorItemId=21003739780853&sourceType=search&rank=14&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"ElectroHarmonix NANO Bassballs 低音效果器, 單品, 混色","$2,695",https://www.tw.coupang.com/products/ElectroHarmonix-NANO-Bassballs-%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C%E5%99%A8-21000097915170?itemId=21000300599129&vendorItemId=21003739780993&sourceType=search&rank=15&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"Nux Flanger Core 低音效果器, 單品, 混色","$1,366",https://www.tw.coupang.com/products/Nux-Flanger-Core-%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C%E5%99%A8-21000097915141?itemId=21000300599096&vendorItemId=21003739780905&sourceType=search&rank=16&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"Nux Time Core 豪華延遲調製低音效果, 單品, 混色","$2,182",https://www.tw.coupang.com/products/Nux-Time-Core-%E8%B1%AA%E8%8F%AF%E5%BB%B6%E9%81%B2%E8%AA%BF%E8%A3%BD%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C-21000097915136?itemId=21000300599091&vendorItemId=21003739780897&sourceType=search&rank=17&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"KiSound 無源直接箱體低音效果器, DI-200P, 混色","$1,340",https://www.tw.coupang.com/products/KiSound-%E7%84%A1%E6%BA%90%E7%9B%B4%E6%8E%A5%E7%AE%B1%E9%AB%94%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C%E5%99%A8-21000097915194?itemId=21000300599154&vendorItemId=21003739781067&sourceType=search&rank=18&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"ElectroHarmonix NANO BIG MUFF 低音效果器, 單品, 混色","$2,352",https://www.tw.coupang.com/products/ElectroHarmonix-NANO-BIG-MUFF-%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C%E5%99%A8-21000097915109?itemId=21000300599055&vendorItemId=21003739780765&sourceType=search&rank=19&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"ElectroHarmonix BASS MICRO SYNTH 低音效果器, 單品, 混色","$11,188",https://www.tw.coupang.com/products/ElectroHarmonix-BASS-MICRO-SYNTH-%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C%E5%99%A8-21000097915150?itemId=21000300599110&vendorItemId=21003739780956&sourceType=search&rank=20&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"DUNLOP MXR 微型鑲邊低音效果器, M-152, 混色","$3,236",https://www.tw.coupang.com/products/DUNLOP-MXR-%E5%BE%AE%E5%9E%8B%E9%91%B2%E9%82%8A%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C%E5%99%A8-21000097915272?itemId=21000300599273&vendorItemId=21003739781374&sourceType=search&rank=21&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"TECH 21 MIDI 鼠標腳踏控制器低音效果器, 單品, 混色","$5,275",https://www.tw.coupang.com/products/TECH-21-MIDI-%E9%BC%A0%E6%A8%99%E8%85%B3%E8%B8%8F%E6%8E%A7%E5%88%B6%E5%99%A8%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C%E5%99%A8-21000097915155?itemId=21000300599114&vendorItemId=21003739780951&sourceType=search&rank=22&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"DUNLOP 帶有 LED 低音效果器的 DUNLOP MXR Script Phase 90, CSP-101SL, 混色","$3,649",https://www.tw.coupang.com/products/DUNLOP-%E5%B8%B6%E6%9C%89-LED-%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C%E5%99%A8%E7%9A%84-DUNLOP-MXR-Script-Phase-90-21000097915128?itemId=21000300599079&vendorItemId=21003739780841&sourceType=search&rank=23&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
"DUNLOP MXR Studio 壓縮器低音效果, M76, 混色","$6,398",https://www.tw.coupang.com/products/DUNLOP-MXR-Studio-%E5%A3%93%E7%B8%AE%E5%99%A8%E4%BD%8E%E9%9F%B3%E6%95%88%E6%9E%9C-21000097915181?itemId=21000300599142&vendorItemId=21003739781017&sourceType=search&rank=24&searchId=2297ce7d062b475783eeb18e2a48c651&q=%E8%B2%9D%E6%96%AF%E9%9F%B3%E7%AE%B1
