product_name,product_price,product_url
"PROESCE 專業健身助握帶, 單色, 1雙",$384,https://www.tw.coupang.com/products/PROESCE-%E5%B0%88%E6%A5%AD%E5%81%A5%E8%BA%AB%E5%8A%A9%E6%8F%A1%E5%B8%B6-21001390753940?itemId=21002426008262&vendorItemId=21070420025322&sourceType=search&rank=&searchId=bf8504ee30fc4fed98cd534c3a851740&q=%E8%B2%A0%E9%87%8D%E8%85%B3%E7%92%B0
"HEAD 2 個手腕重量帶, 單色, 0.5kg",$398,https://www.tw.coupang.com/products/HEAD-2-%E5%80%8B%E6%89%8B%E8%85%95%E9%87%8D%E9%87%8F%E5%B8%B6-21000002362359?itemId=21000010865626&vendorItemId=21003016271462&sourceType=search&rank=1&searchId=bf8504ee30fc4fed98cd534c3a851740&q=%E8%B2%A0%E9%87%8D%E8%85%B3%E7%92%B0
"EGOJIN 前臂手指手腕鍛鍊握球力量, 藍色, 1個",$74,https://www.tw.coupang.com/products/EGOJIN-%E5%89%8D%E8%87%82%E6%89%8B%E6%8C%87%E6%89%8B%E8%85%95%E9%8D%9B%E9%8D%8A%E6%8F%A1%E7%90%83%E5%8A%9B%E9%87%8F-21008017535152?itemId=21022394094352&vendorItemId=21089439026736&sourceType=search&rank=2&searchId=bf8504ee30fc4fed98cd534c3a851740&q=%E8%B2%A0%E9%87%8D%E8%85%B3%E7%92%B0
"GD ULTRA-50 夾持器, 黑色的",$540,https://www.tw.coupang.com/products/GD-ULTRA-50-%E5%A4%BE%E6%8C%81%E5%99%A8-21000002287324?itemId=21000010462707&vendorItemId=21003015477651&sourceType=search&rank=3&searchId=bf8504ee30fc4fed98cd534c3a851740&q=%E8%B2%A0%E9%87%8D%E8%85%B3%E7%92%B0
"PEONIST 家庭訓練彈力踏板繩索, 紫色的",$300,https://www.tw.coupang.com/products/PEONIST-%E5%AE%B6%E5%BA%AD%E8%A8%93%E7%B7%B4%E5%BD%88%E5%8A%9B%E8%B8%8F%E6%9D%BF%E7%B9%A9%E7%B4%A2-21006884753897?itemId=21016510165559&vendorItemId=21083697521664&sourceType=search&rank=4&searchId=bf8504ee30fc4fed98cd534c3a851740&q=%E8%B2%A0%E9%87%8D%E8%85%B3%E7%92%B0
"Tamina 重量帶手腕腳踝啞鈴沙袋, 1公斤, 藍色",$379,https://www.tw.coupang.com/products/Tamina-%E9%87%8D%E9%87%8F%E5%B8%B6%E6%89%8B%E8%85%95%E8%85%B3%E8%B8%9D%E5%95%9E%E9%88%B4%E6%B2%99%E8%A2%8B-21006865392398?itemId=21016407827673&vendorItemId=21089624511534&sourceType=search&rank=5&searchId=bf8504ee30fc4fed98cd534c3a851740&q=%E8%B2%A0%E9%87%8D%E8%85%B3%E7%92%B0
"Leone 負重矽膠手鍊 SI138 2p, 藍色","$1,404",https://www.tw.coupang.com/products/Leone-%E8%B2%A0%E9%87%8D%E7%9F%BD%E8%86%A0%E6%89%8B%E9%8D%8A-SI138-2p-21006139346798?itemId=21011763756975&vendorItemId=21079037560338&sourceType=search&rank=6&searchId=bf8504ee30fc4fed98cd534c3a851740&q=%E8%B2%A0%E9%87%8D%E8%85%B3%E7%92%B0
"Legend C 重量訓練輔助護腕套組（兩側黃色）, 1組",$343,https://www.tw.coupang.com/products/Legend-C-%E9%87%8D%E9%87%8F%E8%A8%93%E7%B7%B4%E8%BC%94%E5%8A%A9%E8%AD%B7%E8%85%95%E5%A5%97%E7%B5%84%EF%BC%88%E5%85%A9%E5%81%B4%E9%BB%83%E8%89%B2%EF%BC%89-21007330531447?itemId=21018819046536&vendorItemId=21085949419080&sourceType=search&rank=7&searchId=bf8504ee30fc4fed98cd534c3a851740&q=%E8%B2%A0%E9%87%8D%E8%85%B3%E7%92%B0
健身自行車腳踏帶 2p,$167,https://www.tw.coupang.com/products/%E5%81%A5%E8%BA%AB%E8%87%AA%E8%A1%8C%E8%BB%8A%E8%85%B3%E8%B8%8F%E5%B8%B6-2p-21000068480871?itemId=21000228570542&vendorItemId=21078378265706&sourceType=search&rank=8&searchId=bf8504ee30fc4fed98cd534c3a851740&q=%E8%B2%A0%E9%87%8D%E8%85%B3%E7%92%B0
"GUNU Fitness 多功能繩索全身運動器材 1p, 綠色+黑色",$296,https://www.tw.coupang.com/products/GUNU-Fitness-%E5%A4%9A%E5%8A%9F%E8%83%BD%E7%B9%A9%E7%B4%A2%E5%85%A8%E8%BA%AB%E9%81%8B%E5%8B%95%E5%99%A8%E6%9D%90-1p-21005690521108?itemId=21009421634316&vendorItemId=21076706579679&sourceType=search&rank=9&searchId=bf8504ee30fc4fed98cd534c3a851740&q=%E8%B2%A0%E9%87%8D%E8%85%B3%E7%92%B0
