product_name,product_price,product_url
"ONE&ONE Konggi Rabbit兔寶家族幼兒園豪華玩具組, 混色","$1,110",https://www.tw.coupang.com/products/ONE%26ONE-Konggi-Rabbit%E5%85%94%E5%AF%B6%E5%AE%B6%E6%97%8F%E5%B9%BC%E5%85%92%E5%9C%92%E8%B1%AA%E8%8F%AF%E7%8E%A9%E5%85%B7%E7%B5%84-21007786100519?itemId=21021053844885&vendorItemId=21074967336059&sourceType=search&rank=&searchId=e052998ad1fd45c2a5e5cac52903cc6c&q=%E9%81%8A%E6%88%B2%E5%A0%B4%E6%99%AF%E7%B5%84
Magnetopia 瑪莉與喬伊的秘密衣櫃紙娃娃組 人形磁鐵*2+磁鐵板*1,$394,https://www.tw.coupang.com/products/Magnetopia-%E7%91%AA%E8%8E%89%E8%88%87%E5%96%AC%E4%BC%8A%E7%9A%84%E7%A7%98%E5%AF%86%E8%A1%A3%E6%AB%83%E7%B4%99%E5%A8%83%E5%A8%83%E7%B5%84-%E4%BA%BA%E5%BD%A2%E7%A3%81%E9%90%B5*2%2B%E7%A3%81%E9%90%B5%E6%9D%BF*1-254109982638086?itemId=254110842454023&vendorItemId=254110842454017&sourceType=search&rank=1&searchId=e052998ad1fd45c2a5e5cac52903cc6c&q=%E9%81%8A%E6%88%B2%E5%A0%B4%E6%99%AF%E7%B5%84
"公主貼紙組, 混色",$215,https://www.tw.coupang.com/products/%E5%85%AC%E4%B8%BB%E8%B2%BC%E7%B4%99%E7%B5%84-21006155816858?itemId=21011914216107&vendorItemId=21079187096793&sourceType=search&rank=2&searchId=e052998ad1fd45c2a5e5cac52903cc6c&q=%E9%81%8A%E6%88%B2%E5%A0%B4%E6%99%AF%E7%B5%84
"LiNooS 娃娃屋系列 LN7022 700g, LISA&廚具組, 1盒",$280,https://www.tw.coupang.com/products/LiNooS-%E5%A8%83%E5%A8%83%E5%B1%8B%E7%B3%BB%E5%88%97-LN7022-700g-217132050628615?itemId=217132050628616&vendorItemId=217133485096962&sourceType=search&rank=3&searchId=e052998ad1fd45c2a5e5cac52903cc6c&q=%E9%81%8A%E6%88%B2%E5%A0%B4%E6%99%AF%E7%B5%84
"Magnetopia 瑪莉與喬伊的秘密衣櫃紙娃娃組, 1組",$544,https://www.tw.coupang.com/products/Magnetopia-%E7%91%AA%E8%8E%89%E8%88%87%E5%96%AC%E4%BC%8A%E7%9A%84%E7%A7%98%E5%AF%86%E8%A1%A3%E6%AB%83%E7%B4%99%E5%A8%83%E5%A8%83%E7%B5%84-21001066999135?itemId=21002013978258&vendorItemId=21070807945447&sourceType=search&rank=4&searchId=e052998ad1fd45c2a5e5cac52903cc6c&q=%E9%81%8A%E6%88%B2%E5%A0%B4%E6%99%AF%E7%B5%84
"tender leaf 溫馨壁飾組, 1組, TL8160",$546,https://www.tw.coupang.com/products/tender-leaf-%E6%BA%AB%E9%A6%A8%E5%A3%81%E9%A3%BE%E7%B5%84-283354175848452?itemId=283354175848453&vendorItemId=283355232845832&sourceType=search&rank=5&searchId=e052998ad1fd45c2a5e5cac52903cc6c&q=%E9%81%8A%E6%88%B2%E5%A0%B4%E6%99%AF%E7%B5%84
"Catch Teenieping 卡通人物化妝盒玩偶卡牌玩具組, 薄荷",$215,https://www.tw.coupang.com/products/Catch-Teenieping-%E5%8D%A1%E9%80%9A%E4%BA%BA%E7%89%A9%E5%8C%96%E5%A6%9D%E7%9B%92%E7%8E%A9%E5%81%B6%E5%8D%A1%E7%89%8C%E7%8E%A9%E5%85%B7%E7%B5%84-21008266944251?itemId=21016541431092&vendorItemId=21083728105621&sourceType=search&rank=6&searchId=e052998ad1fd45c2a5e5cac52903cc6c&q=%E9%81%8A%E6%88%B2%E5%A0%B4%E6%99%AF%E7%B5%84
"tender leaf 軌道組, 森野萬象","$4,146",https://www.tw.coupang.com/products/tender-leaf-%E8%BB%8C%E9%81%93%E7%B5%84-237078658924547?itemId=237077786476556&vendorItemId=237078654730248&sourceType=search&rank=7&searchId=e052998ad1fd45c2a5e5cac52903cc6c&q=%E9%81%8A%E6%88%B2%E5%A0%B4%E6%99%AF%E7%B5%84
"Melissa&Doug 美國瑪莉莎 壓花貼紙組 MD9426 綜合職業款, 混色",$362,https://www.tw.coupang.com/products/Melissa%26Doug-%E7%BE%8E%E5%9C%8B%E7%91%AA%E8%8E%89%E8%8E%8E-%E5%A3%93%E8%8A%B1%E8%B2%BC%E7%B4%99%E7%B5%84-MD9426-%E7%B6%9C%E5%90%88%E8%81%B7%E6%A5%AD%E6%AC%BE-21000077808762?itemId=21000251597168&vendorItemId=21003613238924&sourceType=search&rank=8&searchId=e052998ad1fd45c2a5e5cac52903cc6c&q=%E9%81%8A%E6%88%B2%E5%A0%B4%E6%99%AF%E7%B5%84
"KATURI 萌雞小隊 豪華樹屋玩具組, 混色",$844,https://www.tw.coupang.com/products/KATURI-%E8%90%8C%E9%9B%9E%E5%B0%8F%E9%9A%8A-%E8%B1%AA%E8%8F%AF%E6%A8%B9%E5%B1%8B%E7%8E%A9%E5%85%B7%E7%B5%84-21000276709851?itemId=21000876465987&vendorItemId=21005211852572&sourceType=search&rank=9&searchId=e052998ad1fd45c2a5e5cac52903cc6c&q=%E9%81%8A%E6%88%B2%E5%A0%B4%E6%99%AF%E7%B5%84
