product_name,product_price,product_url
3撥盤鎖+線圈組,$109,https://www.tw.coupang.com/products/3%E6%92%A5%E7%9B%A4%E9%8E%96%2B%E7%B7%9A%E5%9C%88%E7%B5%84-21008150898760?itemId=21023195904155&vendorItemId=21090228507091&sourceType=search&rank=&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"RIVER-GREEN 按鈕式鎖頭喇叭鎖 SS款, 1個",$273,https://www.tw.coupang.com/products/RIVER-GREEN-%E6%8C%89%E9%88%95%E5%BC%8F%E9%8E%96%E9%A0%AD%E5%96%87%E5%8F%AD%E9%8E%96-SS%E6%AC%BE-21005449085385?itemId=21008310029931&vendorItemId=21075597915607&sourceType=search&rank=1&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"黑灰色 水平鎖, 1組",$288,https://www.tw.coupang.com/products/%E9%BB%91%E7%81%B0%E8%89%B2-%E6%B0%B4%E5%B9%B3%E9%8E%96-21005617808417?itemId=21009098341976&vendorItemId=21076384542383&sourceType=search&rank=2&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"DM 歡迎回家門鎖, 混色",$516,https://www.tw.coupang.com/products/DM-%E6%AD%A1%E8%BF%8E%E5%9B%9E%E5%AE%B6%E9%96%80%E9%8E%96-21007320619772?itemId=21018774945681&vendorItemId=21085906477447&sourceType=search&rank=3&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"comet 鋼絲繩掛鎖黑色, 1個",$181,https://www.tw.coupang.com/products/comet-%E9%8B%BC%E7%B5%B2%E7%B9%A9%E6%8E%9B%E9%8E%96%E9%BB%91%E8%89%B2-21007913000738?itemId=21021718237047&vendorItemId=21088767505453&sourceType=search&rank=4&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"POPO FANCY Heart 鋼絲鎖隨機出貨, 3片",$179,https://www.tw.coupang.com/products/POPO-FANCY-Heart-%E9%8B%BC%E7%B5%B2%E9%8E%96%E9%9A%A8%E6%A9%9F%E5%87%BA%E8%B2%A8-21000026026914?itemId=21000101184940&vendorItemId=21003187397812&sourceType=search&rank=5&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"EM 直角式固定鎖 8入, 單色, 2組",$130,https://www.tw.coupang.com/products/EM-%E7%9B%B4%E8%A7%92%E5%BC%8F%E5%9B%BA%E5%AE%9A%E9%8E%96-8%E5%85%A5-21000083188039?itemId=21000263924801&vendorItemId=21003640369944&sourceType=search&rank=6&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"雅克鐵板鎖N25, 2個",$103,https://www.tw.coupang.com/products/%E9%9B%85%E5%85%8B%E9%90%B5%E6%9D%BF%E9%8E%96N25-21006126554914?itemId=21019165526258&vendorItemId=21086283915949&sourceType=search&rank=7&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"旋鈕世界黃銅接頭扣 Aori Jeong 金支架, 2個",$499,https://www.tw.coupang.com/products/%E6%97%8B%E9%88%95%E4%B8%96%E7%95%8C%E9%BB%83%E9%8A%85%E6%8E%A5%E9%A0%AD%E6%89%A3-Aori-Jeong-%E9%87%91%E6%94%AF%E6%9E%B6-21005455264617?itemId=21008336607066&vendorItemId=21075624433164&sourceType=search&rank=8&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"HANDY MAN 通用門鎖掛鉤, 5個",$128,https://www.tw.coupang.com/products/HANDY-MAN-%E9%80%9A%E7%94%A8%E9%96%80%E9%8E%96%E6%8E%9B%E9%89%A4-21000065524071?itemId=21000221025006&vendorItemId=21003534998997&sourceType=search&rank=9&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"Hanui Normal 5 步圓柱密碼掛鎖 黑色, 1個",$164,https://www.tw.coupang.com/products/Hanui-Normal-5-%E6%AD%A5%E5%9C%93%E6%9F%B1%E5%AF%86%E7%A2%BC%E6%8E%9B%E9%8E%96-%E9%BB%91%E8%89%B2-21000151702193?itemId=21000437895381&vendorItemId=21075081821829&sourceType=search&rank=10&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"五金鐵匠多功能鎖鑰匙掛鉤套裝小號, 1組",$215,https://www.tw.coupang.com/products/%E4%BA%94%E9%87%91%E9%90%B5%E5%8C%A0%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%8E%96%E9%91%B0%E5%8C%99%E6%8E%9B%E9%89%A4%E5%A5%97%E8%A3%9D%E5%B0%8F%E8%99%9F-21007589939990?itemId=21020054206664&vendorItemId=21087794225897&sourceType=search&rank=11&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"珠寶鎖定尖槽鑷子, 單色",$312,https://www.tw.coupang.com/products/%E7%8F%A0%E5%AF%B6%E9%8E%96%E5%AE%9A%E5%B0%96%E6%A7%BD%E9%91%B7%E5%AD%90-21005531018612?itemId=21008679526132&vendorItemId=21075966670979&sourceType=search&rank=12&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"ECHODIY 鋁製掛鎖 35mm, 1個",$95,https://www.tw.coupang.com/products/ECHODIY-%E9%8B%81%E8%A3%BD%E6%8E%9B%E9%8E%96-35mm-21000055413663?itemId=21000192862731&vendorItemId=21003456445085&sourceType=search&rank=13&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"VIVaro 掛鎖 6 x 400 mm, 1個, 黑色",$117,https://www.tw.coupang.com/products/VIVaro-%E6%8E%9B%E9%8E%96-6-x-400-mm-21008132936589?itemId=21023098759399&vendorItemId=21090142000520&sourceType=search&rank=14&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"珠寶鎖定扁平鑷子, 單色",$311,https://www.tw.coupang.com/products/%E7%8F%A0%E5%AF%B6%E9%8E%96%E5%AE%9A%E6%89%81%E5%B9%B3%E9%91%B7%E5%AD%90-21005531019312?itemId=21008679529069&vendorItemId=21075966673787&sourceType=search&rank=15&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"Travel Cube 超輕 TSA Lite 3 旋鈕鎖 黃色, 1個",$285,https://www.tw.coupang.com/products/Travel-Cube-%E8%B6%85%E8%BC%95-TSA-Lite-3-%E6%97%8B%E9%88%95%E9%8E%96-%E9%BB%83%E8%89%B2-21007403204800?itemId=21019165943074&vendorItemId=21086284310727&sourceType=search&rank=16&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"珠寶鎖定鑷子, 單色",$309,https://www.tw.coupang.com/products/%E7%8F%A0%E5%AF%B6%E9%8E%96%E5%AE%9A%E9%91%B7%E5%AD%90-21005531019245?itemId=21008679528918&vendorItemId=21075966673657&sourceType=search&rank=17&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
黑色滑動窗鎖,$260,https://www.tw.coupang.com/products/%E9%BB%91%E8%89%B2%E6%BB%91%E5%8B%95%E7%AA%97%E9%8E%96-21005939418724?itemId=21010582210896&vendorItemId=21078462116823&sourceType=search&rank=18&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"動力鎖3M膠2p掛鉤, 銀, 1個",$106,https://www.tw.coupang.com/products/%E5%8B%95%E5%8A%9B%E9%8E%963M%E8%86%A02p%E6%8E%9B%E9%89%A4-21007300017797?itemId=21018632189992&vendorItemId=21085767468331&sourceType=search&rank=19&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"金色一鍵式自動五行鎖, 3個",$456,https://www.tw.coupang.com/products/%E9%87%91%E8%89%B2%E4%B8%80%E9%8D%B5%E5%BC%8F%E8%87%AA%E5%8B%95%E4%BA%94%E8%A1%8C%E9%8E%96-21006059782227?itemId=21011137606667&vendorItemId=21078416087526&sourceType=search&rank=20&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"旅行立方彩色鎖登山扣 3 錶盤掛鎖 大號金色, 1個",$209,https://www.tw.coupang.com/products/%E6%97%85%E8%A1%8C%E7%AB%8B%E6%96%B9%E5%BD%A9%E8%89%B2%E9%8E%96%E7%99%BB%E5%B1%B1%E6%89%A3-3-%E9%8C%B6%E7%9B%A4%E6%8E%9B%E9%8E%96-%E5%A4%A7%E8%99%9F%E9%87%91%E8%89%B2-21007375612263?itemId=21019035924542&vendorItemId=21086159855155&sourceType=search&rank=21&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
"5級圓柱鎖密碼鎖銀色, 1個",$164,https://www.tw.coupang.com/products/5%E7%B4%9A%E5%9C%93%E6%9F%B1%E9%8E%96%E5%AF%86%E7%A2%BC%E9%8E%96%E9%8A%80%E8%89%B2-21005296691234?itemId=21007635827588&vendorItemId=21074926271696&sourceType=search&rank=22&searchId=3912f2d932554e56954ffb7d98f9fb92&q=%E9%8A%85%E6%8E%9B%E9%8E%96%E9%A0%AD
