product_name,product_price,product_url
"邦邦鏡射25g, 1個",$571,https://www.tw.coupang.com/products/%E9%82%A6%E9%82%A6%E9%8F%A1%E5%B0%8425g-21001418114983?itemId=21002455453660&vendorItemId=21070449014916&sourceType=search&rank=&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
"硃砂粉 500g, 1罐","$4,200",https://www.tw.coupang.com/products/%E7%A1%83%E7%A0%82%E7%B2%89-500g-21000083308637?itemId=21000264234473&vendorItemId=21071035401725&sourceType=search&rank=1&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
"Home Planet Type-C轉HDMI 4K UHD 60Hz手機鏡射電視轉換器 2m, 1個",$485,https://www.tw.coupang.com/products/Home-Planet-Type-C%E8%BD%89HDMI-4K-UHD-60Hz%E6%89%8B%E6%A9%9F%E9%8F%A1%E5%B0%84%E9%9B%BB%E8%A6%96%E8%BD%89%E6%8F%9B%E5%99%A8-2m-21001628630453?itemId=21002778296030&vendorItemId=21070768075089&sourceType=search&rank=2&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
"PRiME Q Type-C轉HDMI轉接線 2m, 灰色, 1個",$324,https://www.tw.coupang.com/products/PRiME-Q-Type-C%E8%BD%89HDMI%E8%BD%89%E6%8E%A5%E7%B7%9A-2m-21006537327651?itemId=21014541237365&vendorItemId=21071590926727&sourceType=search&rank=3&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
"書法顏料 30g, 1罐",$360,https://www.tw.coupang.com/products/%E6%9B%B8%E6%B3%95%E9%A1%8F%E6%96%99-30g-21000083296358?itemId=21000264194431&vendorItemId=21071006154466&sourceType=search&rank=4&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
Gimoa 護身符紙是標準類型,$119,https://www.tw.coupang.com/products/Gimoa-%E8%AD%B7%E8%BA%AB%E7%AC%A6%E7%B4%99%E6%98%AF%E6%A8%99%E6%BA%96%E9%A1%9E%E5%9E%8B-21000083338090?itemId=21000264337358&vendorItemId=21071061970660&sourceType=search&rank=5&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
Gimoa 護身符紙高品質,$143,https://www.tw.coupang.com/products/Gimoa-%E8%AD%B7%E8%BA%AB%E7%AC%A6%E7%B4%99%E9%AB%98%E5%93%81%E8%B3%AA-21000083234838?itemId=21000264054552&vendorItemId=21071061970708&sourceType=search&rank=6&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
"一手配合復原江寧長壽符, 混色, 1個",$556,https://www.tw.coupang.com/products/%E4%B8%80%E6%89%8B%E9%85%8D%E5%90%88%E5%BE%A9%E5%8E%9F%E6%B1%9F%E5%AF%A7%E9%95%B7%E5%A3%BD%E7%AC%A6-21007341933745?itemId=21018872752662&vendorItemId=21086001444421&sourceType=search&rank=7&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
紅色硃砂粉 200g,"$1,928",https://www.tw.coupang.com/products/%E7%B4%85%E8%89%B2%E7%A1%83%E7%A0%82%E7%B2%89-200g-21000083333154?itemId=21000264323103&vendorItemId=21071006154432&sourceType=search&rank=8&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
鏡面硃砂符咒顏料混合液,$388,https://www.tw.coupang.com/products/%E9%8F%A1%E9%9D%A2%E7%A1%83%E7%A0%82%E7%AC%A6%E5%92%92%E9%A1%8F%E6%96%99%E6%B7%B7%E5%90%88%E6%B6%B2-21000083339673?itemId=21000264342282&vendorItemId=21071061970745&sourceType=search&rank=9&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
"風門堂超高寺迷你尺寸 A1, 1組","$3,176",https://www.tw.coupang.com/products/%E9%A2%A8%E9%96%80%E5%A0%82%E8%B6%85%E9%AB%98%E5%AF%BA%E8%BF%B7%E4%BD%A0%E5%B0%BA%E5%AF%B8-A1-21000083224635?itemId=21000264034548&vendorItemId=21071006154500&sourceType=search&rank=10&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
FANSDA 鏡面射出防護手環套裝,$236,https://www.tw.coupang.com/products/FANSDA-%E9%8F%A1%E9%9D%A2%E5%B0%84%E5%87%BA%E9%98%B2%E8%AD%B7%E6%89%8B%E7%92%B0%E5%A5%97%E8%A3%9D-21007345942239?itemId=21018891942010&vendorItemId=21086419902721&sourceType=search&rank=11&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
"Market A Maidenly 鼠標長墊 400 x 900 x 4 毫米, 1個, 鏡射",$432,https://www.tw.coupang.com/products/Market-A-Maidenly-%E9%BC%A0%E6%A8%99%E9%95%B7%E5%A2%8A-400-x-900-x-4-%E6%AF%AB%E7%B1%B3-21006204104076?itemId=21012328181495&vendorItemId=21079598192490&sourceType=search&rank=12&searchId=178fdd8049ec44b592dc5f4ef0d7c4c8&q=%E9%8F%A1%E5%B0%84
