product_name,product_price,product_url
comet Home 寢具收納櫃,$797,https://www.tw.coupang.com/products/comet-Home-%E5%AF%A2%E5%85%B7%E6%94%B6%E7%B4%8D%E6%AB%83-453746018418689?itemId=453746018467841&vendorItemId=453746018467840&sourceType=search&rank=&searchId=e24e5799946e4005b867c034f325c242&q=%E9%8F%A4%E7%A9%BA%E6%AB%83
"IRIS OHYAMA 三層夾縫收納櫃 UB-9020, 米色",$495,https://www.tw.coupang.com/products/IRIS-OHYAMA-%E4%B8%89%E5%B1%A4%E5%A4%BE%E7%B8%AB%E6%94%B6%E7%B4%8D%E6%AB%83-UB-9020-21001376235352?itemId=21002409543781&vendorItemId=21070404094652&sourceType=search&rank=1&searchId=e24e5799946e4005b867c034f325c242&q=%E9%8F%A4%E7%A9%BA%E6%AB%83
"JD FURNITURE Remy 三層灰色五斗櫃, 灰色, 3格",$702,https://www.tw.coupang.com/products/JD-FURNITURE-Remy-%E4%B8%89%E5%B1%A4%E7%81%B0%E8%89%B2%E4%BA%94%E6%96%97%E6%AB%83-21004691977102?itemId=21005898381490&vendorItemId=21074966280176&sourceType=search&rank=2&searchId=e24e5799946e4005b867c034f325c242&q=%E9%8F%A4%E7%A9%BA%E6%AB%83
"TEnma 天馬 INTERIOR BOX上掀式多功能附輪收納櫃, 白木紋","$1,031",https://www.tw.coupang.com/products/TEnma-%E5%A4%A9%E9%A6%AC-INTERIOR-BOX%E4%B8%8A%E6%8E%80%E5%BC%8F%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%99%84%E8%BC%AA%E6%94%B6%E7%B4%8D%E6%AB%83-318951649148941?itemId=318949241602063&vendorItemId=318951649148937&sourceType=search&rank=3&searchId=e24e5799946e4005b867c034f325c242&q=%E9%8F%A4%E7%A9%BA%E6%AB%83
上龍 龍族微波雙層架,$124,https://www.tw.coupang.com/products/%E4%B8%8A%E9%BE%8D-%E9%BE%8D%E6%97%8F%E5%BE%AE%E6%B3%A2%E9%9B%99%E5%B1%A4%E6%9E%B6-279083749441546?itemId=279083749441547&vendorItemId=279082788962311&sourceType=search&rank=4&searchId=e24e5799946e4005b867c034f325c242&q=%E9%8F%A4%E7%A9%BA%E6%AB%83
"roomnhome 客廳組合櫃B型, 核桃洗",$832,https://www.tw.coupang.com/products/roomnhome-%E5%AE%A2%E5%BB%B3%E7%B5%84%E5%90%88%E6%AB%83B%E5%9E%8B-21000022083431?itemId=21000085985555&vendorItemId=21003146264469&sourceType=search&rank=5&searchId=e24e5799946e4005b867c034f325c242&q=%E9%8F%A4%E7%A9%BA%E6%AB%83
"IRIS OHYAMA 圓角半透明組合收納櫃 QR 34PDT, 胡桃木色",$697,https://www.tw.coupang.com/products/IRIS-OHYAMA-%E5%9C%93%E8%A7%92%E5%8D%8A%E9%80%8F%E6%98%8E%E7%B5%84%E5%90%88%E6%94%B6%E7%B4%8D%E6%AB%83-QR-34PDT-163426429009928?itemId=163425543995399&vendorItemId=163425997012994&sourceType=search&rank=6&searchId=e24e5799946e4005b867c034f325c242&q=%E9%8F%A4%E7%A9%BA%E6%AB%83
CASSIDO 卡司多 幾何玻璃吊櫃,"$1,304",https://www.tw.coupang.com/products/CASSIDO-%E5%8D%A1%E5%8F%B8%E5%A4%9A-%E5%B9%BE%E4%BD%95%E7%8E%BB%E7%92%83%E5%90%8A%E6%AB%83-156279557308418?itemId=156279951556609&vendorItemId=156279557308417&sourceType=search&rank=7&searchId=e24e5799946e4005b867c034f325c242&q=%E9%8F%A4%E7%A9%BA%E6%AB%83
圓形衣架,$648,https://www.tw.coupang.com/products/%E5%9C%93%E5%BD%A2%E8%A1%A3%E6%9E%B6-21007659938096?itemId=21017682510201&vendorItemId=21085092461397&sourceType=search&rank=8&searchId=e24e5799946e4005b867c034f325c242&q=%E9%8F%A4%E7%A9%BA%E6%AB%83
杉木開放式收納櫃,$449,https://www.tw.coupang.com/products/%E6%9D%89%E6%9C%A8%E9%96%8B%E6%94%BE%E5%BC%8F%E6%94%B6%E7%B4%8D%E6%AB%83-21007701250934?itemId=21020620089354&vendorItemId=21087845095254&sourceType=search&rank=9&searchId=e24e5799946e4005b867c034f325c242&q=%E9%8F%A4%E7%A9%BA%E6%AB%83
