product_name,product_price,product_url
"mooas LED 鏡面時鐘 1個, 白色",$261,https://www.tw.coupang.com/products/mooas-LED-%E9%8F%A1%E9%9D%A2%E6%99%82%E9%90%98-1%E5%80%8B-160676072882185?itemId=160676072882186&vendorItemId=160676072882180&sourceType=search&rank=&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"mooas LED 鏡面迷你時鐘, 白色, 1個",$172,https://www.tw.coupang.com/products/mooas-LED-%E9%8F%A1%E9%9D%A2%E8%BF%B7%E4%BD%A0%E6%99%82%E9%90%98-160676072882181?itemId=160675217227782&vendorItemId=160675217227776&sourceType=search&rank=1&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"Melissa&Doug 瑪莉莎 益智形狀積木時鐘, 1組",$357,https://www.tw.coupang.com/products/Melissa%26Doug-%E7%91%AA%E8%8E%89%E8%8E%8E-%E7%9B%8A%E6%99%BA%E5%BD%A2%E7%8B%80%E7%A9%8D%E6%9C%A8%E6%99%82%E9%90%98-286743009918980?itemId=286740979859464&vendorItemId=286742041051137&sourceType=search&rank=2&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"Melissa&Doug 瑪莉莎 益智 學習認知時鐘, 1組",$403,https://www.tw.coupang.com/products/Melissa%26Doug-%E7%91%AA%E8%8E%89%E8%8E%8E-%E7%9B%8A%E6%99%BA-%E5%AD%B8%E7%BF%92%E8%AA%8D%E7%9F%A5%E6%99%82%E9%90%98-286664278638600?itemId=286663309770762&vendorItemId=286663309770758&sourceType=search&rank=3&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"上人文化 好棒的時鐘遊戲 木製玩具 8歲以上, 1盒",$186,https://www.tw.coupang.com/products/%E4%B8%8A%E4%BA%BA%E6%96%87%E5%8C%96-%E5%A5%BD%E6%A3%92%E7%9A%84%E6%99%82%E9%90%98%E9%81%8A%E6%88%B2-%E6%9C%A8%E8%A3%BD%E7%8E%A9%E5%85%B7-8%E6%AD%B2%E4%BB%A5%E4%B8%8A-239622818856967?itemId=239622030344200&vendorItemId=239622818856961&sourceType=search&rank=4&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"mooas LED 鏡面迷你時鐘, 粉色, 1個",$175,https://www.tw.coupang.com/products/mooas-LED-%E9%8F%A1%E9%9D%A2%E8%BF%B7%E4%BD%A0%E6%99%82%E9%90%98-160676072882181?itemId=259851380834307&vendorItemId=259851376640000&sourceType=search&rank=5&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"mooas LED 鏡面時鐘 1個, 粉色",$260,https://www.tw.coupang.com/products/mooas-LED-%E9%8F%A1%E9%9D%A2%E6%99%82%E9%90%98-1%E5%80%8B-160676072882185?itemId=259850386751509&vendorItemId=259852270010380&sourceType=search&rank=6&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"ToP BRIGHT 特寶兒 數字積木認知時鐘, 1組",$349,https://www.tw.coupang.com/products/ToP-BRIGHT-%E7%89%B9%E5%AF%B6%E5%85%92-%E6%95%B8%E5%AD%97%E7%A9%8D%E6%9C%A8%E8%AA%8D%E7%9F%A5%E6%99%82%E9%90%98-235912306868224?itemId=235911442808844&vendorItemId=235913074409475&sourceType=search&rank=7&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"mooas LED 鏡面時鐘 185*50*77mm, 白色, 1個",$356,https://www.tw.coupang.com/products/mooas-LED-%E9%8F%A1%E9%9D%A2%E6%99%82%E9%90%98-185*50*77mm-21000191124862?itemId=21000546230240&vendorItemId=21004432210444&sourceType=search&rank=8&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"LED數字時鐘, 白色的",$163,https://www.tw.coupang.com/products/LED%E6%95%B8%E5%AD%97%E6%99%82%E9%90%98-21004880094043?itemId=21002303369999&vendorItemId=21073648232202&sourceType=search&rank=9&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"Janod 小小STEAM系列 互動時鐘, 1盒",$693,https://www.tw.coupang.com/products/Janod-%E5%B0%8F%E5%B0%8FSTEAM%E7%B3%BB%E5%88%97-%E4%BA%92%E5%8B%95%E6%99%82%E9%90%98-239578195673092?itemId=239578195673093&vendorItemId=239577310642177&sourceType=search&rank=10&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"mooas LED電子鏡面時鐘, 單色",$232,https://www.tw.coupang.com/products/mooas-LED%E9%9B%BB%E5%AD%90%E9%8F%A1%E9%9D%A2%E6%99%82%E9%90%98-21000022492251?itemId=21000087303815&vendorItemId=21003148833045&sourceType=search&rank=11&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"Leto LED鏡面靜音時鐘 LLC-P02 長方形款, 黑色的",$237,https://www.tw.coupang.com/products/Leto-LED%E9%8F%A1%E9%9D%A2%E9%9D%9C%E9%9F%B3%E6%99%82%E9%90%98-LLC-P02-%E9%95%B7%E6%96%B9%E5%BD%A2%E6%AC%BE-21000196952136?itemId=21000567506039&vendorItemId=21004572601140&sourceType=search&rank=12&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"Goose LED 大鏡面時鐘靜音鬧鐘溫度台鐘, 白色",$562,https://www.tw.coupang.com/products/Goose-LED-%E5%A4%A7%E9%8F%A1%E9%9D%A2%E6%99%82%E9%90%98%E9%9D%9C%E9%9F%B3%E9%AC%A7%E9%90%98%E6%BA%AB%E5%BA%A6%E5%8F%B0%E9%90%98-21006745474464?itemId=21015759738487&vendorItemId=21084846426835&sourceType=search&rank=13&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"mooas 長方形鏡面LED時鐘, 單色",$283,https://www.tw.coupang.com/products/mooas-%E9%95%B7%E6%96%B9%E5%BD%A2%E9%8F%A1%E9%9D%A2LED%E6%99%82%E9%90%98-21000022492252?itemId=21000087303816&vendorItemId=21003148833046&sourceType=search&rank=14&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
"Disainebeo 自動翻轉式時鐘, 黑色",$324,https://www.tw.coupang.com/products/Disainebeo-%E8%87%AA%E5%8B%95%E7%BF%BB%E8%BD%89%E5%BC%8F%E6%99%82%E9%90%98-21000001181254?itemId=21000005106759&vendorItemId=21003006345314&sourceType=search&rank=15&searchId=6de036b3a659404aa75468d0d8b6558f&q=%E9%90%98%E9%8C%B6
