product_name,product_price,product_url
FASHIONFULL 女士 Madeim 高腰開叉靴褲 26511,$898,https://www.tw.coupang.com/products/FASHIONFULL-%E5%A5%B3%E5%A3%AB-Madeim-%E9%AB%98%E8%85%B0%E9%96%8B%E5%8F%89%E9%9D%B4%E8%A4%B2-26511-21005768323278?itemId=21009792305559&vendorItemId=21077408425848&sourceType=search&rank=&searchId=8fc0ae02fbcc4164983b765dfe6cb280&q=%E9%96%8B%E5%8F%89%E9%9D%B4
"L.LAMO 印花7分袖開叉T恤, L",$566,https://www.tw.coupang.com/products/L.LAMO-%E5%8D%B0%E8%8A%B17%E5%88%86%E8%A2%96%E9%96%8B%E5%8F%89T%E6%81%A4-21006760596188?itemId=21015843187994&vendorItemId=21083054244947&sourceType=search&rank=1&searchId=8fc0ae02fbcc4164983b765dfe6cb280&q=%E9%96%8B%E5%8F%89%E9%9D%B4
Andaromi 女式休閒修身開叉靴褲,$773,https://www.tw.coupang.com/products/Andaromi-%E5%A5%B3%E5%BC%8F%E4%BC%91%E9%96%92%E4%BF%AE%E8%BA%AB%E9%96%8B%E5%8F%89%E9%9D%B4%E8%A4%B2-21005023392403?itemId=21006739357926&vendorItemId=21074032281673&sourceType=search&rank=2&searchId=8fc0ae02fbcc4164983b765dfe6cb280&q=%E9%96%8B%E5%8F%89%E9%9D%B4
開叉彈力短靴 3.5cm K115,$590,https://www.tw.coupang.com/products/%E9%96%8B%E5%8F%89%E5%BD%88%E5%8A%9B%E7%9F%AD%E9%9D%B4-3.5cm-K115-21006101748712?itemId=21011439110818&vendorItemId=21078714609769&sourceType=search&rank=3&searchId=8fc0ae02fbcc4164983b765dfe6cb280&q=%E9%96%8B%E5%8F%89%E9%9D%B4
"L.LAMO 印花7分袖開叉T恤, M",$566,https://www.tw.coupang.com/products/L.LAMO-%E5%8D%B0%E8%8A%B17%E5%88%86%E8%A2%96%E9%96%8B%E5%8F%89T%E6%81%A4-21006760596188?itemId=21015843188008&vendorItemId=21083054245013&sourceType=search&rank=4&searchId=8fc0ae02fbcc4164983b765dfe6cb280&q=%E9%96%8B%E5%8F%89%E9%9D%B4
"L.LAMO 印花7分袖開叉T恤, XL",$564,https://www.tw.coupang.com/products/L.LAMO-%E5%8D%B0%E8%8A%B17%E5%88%86%E8%A2%96%E9%96%8B%E5%8F%89T%E6%81%A4-21006760596188?itemId=21015843188009&vendorItemId=21083054245022&sourceType=search&rank=5&searchId=8fc0ae02fbcc4164983b765dfe6cb280&q=%E9%96%8B%E5%8F%89%E9%9D%B4
"L.LAMO 印花7分袖開叉T恤, S",$568,https://www.tw.coupang.com/products/L.LAMO-%E5%8D%B0%E8%8A%B17%E5%88%86%E8%A2%96%E9%96%8B%E5%8F%89T%E6%81%A4-21006760596188?itemId=21015843188011&vendorItemId=21083054245035&sourceType=search&rank=6&searchId=8fc0ae02fbcc4164983b765dfe6cb280&q=%E9%96%8B%E5%8F%89%E9%9D%B4
Ace 女款側V開叉圓頭短靴,"$1,067",https://www.tw.coupang.com/products/Ace-%E5%A5%B3%E6%AC%BE%E5%81%B4V%E9%96%8B%E5%8F%89%E5%9C%93%E9%A0%AD%E7%9F%AD%E9%9D%B4-21006066361109?itemId=21011179603887&vendorItemId=21078457521174&sourceType=search&rank=7&searchId=8fc0ae02fbcc4164983b765dfe6cb280&q=%E9%96%8B%E5%8F%89%E9%9D%B4
COMPAGNA 女式開叉靴褲 CABW9-WPL020,"$1,800",https://www.tw.coupang.com/products/COMPAGNA-%E5%A5%B3%E5%BC%8F%E9%96%8B%E5%8F%89%E9%9D%B4%E8%A4%B2-CABW9-WPL020-21006214893925?itemId=21012407138859&vendorItemId=21079676619202&sourceType=search&rank=8&searchId=8fc0ae02fbcc4164983b765dfe6cb280&q=%E9%96%8B%E5%8F%89%E9%9D%B4
VANANA2 Kuanku 女士前開叉靴型綁帶灰色長褲,$340,https://www.tw.coupang.com/products/VANANA2-Kuanku-%E5%A5%B3%E5%A3%AB%E5%89%8D%E9%96%8B%E5%8F%89%E9%9D%B4%E5%9E%8B%E7%B6%81%E5%B8%B6%E7%81%B0%E8%89%B2%E9%95%B7%E8%A4%B2-21005166775945?itemId=21007119399821&vendorItemId=21085915278106&sourceType=search&rank=9&searchId=8fc0ae02fbcc4164983b765dfe6cb280&q=%E9%96%8B%E5%8F%89%E9%9D%B4
MS HOME 背面開叉系列微喇牛仔褲,$665,https://www.tw.coupang.com/products/MS-HOME-%E8%83%8C%E9%9D%A2%E9%96%8B%E5%8F%89%E7%B3%BB%E5%88%97%E5%BE%AE%E5%96%87%E7%89%9B%E4%BB%94%E8%A4%B2-21007163762826?itemId=21018033874456&vendorItemId=21085934953887&sourceType=search&rank=10&searchId=8fc0ae02fbcc4164983b765dfe6cb280&q=%E9%96%8B%E5%8F%89%E9%9D%B4
