product_name,product_price,product_url
"精油造型手環 30入, 2個",$239,https://www.tw.coupang.com/products/%E7%B2%BE%E6%B2%B9%E9%80%A0%E5%9E%8B%E6%89%8B%E7%92%B0-30%E5%85%A5-21005756915683?itemId=21009738454053&vendorItemId=21077022214465&sourceType=search&rank=&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"Peach Apple 孩童水果造型驅蚊芳香手環 10入裝, 隨機發貨, 2套",$215,https://www.tw.coupang.com/products/Peach-Apple-%E5%AD%A9%E7%AB%A5%E6%B0%B4%E6%9E%9C%E9%80%A0%E5%9E%8B%E9%A9%85%E8%9A%8A%E8%8A%B3%E9%A6%99%E6%89%8B%E7%92%B0-10%E5%85%A5%E8%A3%9D-21006726936746?itemId=21015091700788&vendorItemId=21082313801984&sourceType=search&rank=1&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"HEAD 成人驅蚊手環 灰色, 15g, 2入",$125,https://www.tw.coupang.com/products/HEAD-%E6%88%90%E4%BA%BA%E9%A9%85%E8%9A%8A%E6%89%8B%E7%92%B0-%E7%81%B0%E8%89%B2-21000101214029?itemId=21000308688727&vendorItemId=21003760562766&sourceType=search&rank=2&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"ATEX Hello Carbot衝鋒戰士香茅精油防蚊手環 2入, 12g, 12個",$776,https://www.tw.coupang.com/products/ATEX-Hello-Carbot%E8%A1%9D%E9%8B%92%E6%88%B0%E5%A3%AB%E9%A6%99%E8%8C%85%E7%B2%BE%E6%B2%B9%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0-2%E5%85%A5-21005619800628?itemId=21019027145493&vendorItemId=21070775129086&sourceType=search&rank=3&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"Peach Apple 孩童水果造型驅蚊芳香手環 10入裝, 隨機發貨, 8套",$457,https://www.tw.coupang.com/products/Peach-Apple-%E5%AD%A9%E7%AB%A5%E6%B0%B4%E6%9E%9C%E9%80%A0%E5%9E%8B%E9%A9%85%E8%9A%8A%E8%8A%B3%E9%A6%99%E6%89%8B%E7%92%B0-10%E5%85%A5%E8%A3%9D-21006726936746?itemId=21014122391656&vendorItemId=21082899715602&sourceType=search&rank=4&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"ICARER 卡通手環+精油膠囊 鯊魚款 3入, 1組",$177,https://www.tw.coupang.com/products/ICARER-%E5%8D%A1%E9%80%9A%E6%89%8B%E7%92%B0%2B%E7%B2%BE%E6%B2%B9%E8%86%A0%E5%9B%8A-%E9%AF%8A%E9%AD%9A%E6%AC%BE-3%E5%85%A5-21000086729355?itemId=21000272672172&vendorItemId=21003659682416&sourceType=search&rank=5&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"Pori and Cutie 夏季手鍊肉桂綠, 10個",$239,https://www.tw.coupang.com/products/Pori-and-Cutie-%E5%A4%8F%E5%AD%A3%E6%89%8B%E9%8D%8A%E8%82%89%E6%A1%82%E7%B6%A0-21001570780083?itemId=21002686002469&vendorItemId=21070676485323&sourceType=search&rank=6&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"我和寶寶夏季貼片蚊貼 5 張, 混色, 3個",$165,https://www.tw.coupang.com/products/%E6%88%91%E5%92%8C%E5%AF%B6%E5%AF%B6%E5%A4%8F%E5%AD%A3%E8%B2%BC%E7%89%87%E8%9A%8A%E8%B2%BC-5-%E5%BC%B5-21007327126531?itemId=21018804052360&vendorItemId=21085934760659&sourceType=search&rank=7&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"Peach Apple 孩童水果造型驅蚊芳香手環 10入裝, 隨機出貨, 3組",$239,https://www.tw.coupang.com/products/Peach-Apple-%E5%AD%A9%E7%AB%A5%E6%B0%B4%E6%9E%9C%E9%80%A0%E5%9E%8B%E9%A9%85%E8%9A%8A%E8%8A%B3%E9%A6%99%E6%89%8B%E7%92%B0-10%E5%85%A5%E8%A3%9D-21006726936746?itemId=21015661648352&vendorItemId=21076735977303&sourceType=search&rank=8&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"HEAD 成人驅蚊手環 黑色, 15g, 2入",$216,https://www.tw.coupang.com/products/HEAD-%E6%88%90%E4%BA%BA%E9%A9%85%E8%9A%8A%E6%89%8B%E7%92%B0-%E9%BB%91%E8%89%B2-21000101214032?itemId=21000308688735&vendorItemId=21003760562847&sourceType=search&rank=9&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"ICARER 卡通手環+精油膠囊 獅子款 3入, 1組",$210,https://www.tw.coupang.com/products/ICARER-%E5%8D%A1%E9%80%9A%E6%89%8B%E7%92%B0%2B%E7%B2%BE%E6%B2%B9%E8%86%A0%E5%9B%8A-%E7%8D%85%E5%AD%90%E6%AC%BE-3%E5%85%A5-21000086729359?itemId=21000272672176&vendorItemId=21003659682408&sourceType=search&rank=10&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"我和寶寶夏季貼片蚊貼 5 張, 自然, 3個",$165,https://www.tw.coupang.com/products/%E6%88%91%E5%92%8C%E5%AF%B6%E5%AF%B6%E5%A4%8F%E5%AD%A3%E8%B2%BC%E7%89%87%E8%9A%8A%E8%B2%BC-5-%E5%BC%B5-21007327126531?itemId=21018814139724&vendorItemId=21085944632736&sourceType=search&rank=11&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"Peach Apple 孩童水果造型驅蚊芳香手環 10入裝, 隨機發貨, 4套",$319,https://www.tw.coupang.com/products/Peach-Apple-%E5%AD%A9%E7%AB%A5%E6%B0%B4%E6%9E%9C%E9%80%A0%E5%9E%8B%E9%A9%85%E8%9A%8A%E8%8A%B3%E9%A6%99%E6%89%8B%E7%92%B0-10%E5%85%A5%E8%A3%9D-21006726936746?itemId=21008047469581&vendorItemId=21082899715628&sourceType=search&rank=12&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"Pori 和可愛的夏季手鍊肉桂白, 10個",$198,https://www.tw.coupang.com/products/Pori-%E5%92%8C%E5%8F%AF%E6%84%9B%E7%9A%84%E5%A4%8F%E5%AD%A3%E6%89%8B%E9%8D%8A%E8%82%89%E6%A1%82%E7%99%BD-21001570779805?itemId=21002686002006&vendorItemId=21070676485447&sourceType=search&rank=13&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"ICARER 卡通手環+精油膠囊 蜜蜂款 3入, 1組",$210,https://www.tw.coupang.com/products/ICARER-%E5%8D%A1%E9%80%9A%E6%89%8B%E7%92%B0%2B%E7%B2%BE%E6%B2%B9%E8%86%A0%E5%9B%8A-%E8%9C%9C%E8%9C%82%E6%AC%BE-3%E5%85%A5-21000086729371?itemId=21000272672200&vendorItemId=21003659682581&sourceType=search&rank=14&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"BEULRUMUYEOK 香氛貼紙 12入 防蚊貼片, 13包",$302,https://www.tw.coupang.com/products/BEULRUMUYEOK-%E9%A6%99%E6%B0%9B%E8%B2%BC%E7%B4%99-12%E5%85%A5-%E9%98%B2%E8%9A%8A%E8%B2%BC%E7%89%87-21007565294332?itemId=21000572907021&vendorItemId=21004504084119&sourceType=search&rank=15&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"我和寶寶夏季貼片蚊貼 5 張, 動物, 3個",$165,https://www.tw.coupang.com/products/%E6%88%91%E5%92%8C%E5%AF%B6%E5%AF%B6%E5%A4%8F%E5%AD%A3%E8%B2%BC%E7%89%87%E8%9A%8A%E8%B2%BC-5-%E5%BC%B5-21007327126531?itemId=21018814139726&vendorItemId=21085944632748&sourceType=search&rank=16&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"Pori and Cutie 夏季手鍊肉桂紅, 10個",$198,https://www.tw.coupang.com/products/Pori-and-Cutie-%E5%A4%8F%E5%AD%A3%E6%89%8B%E9%8D%8A%E8%82%89%E6%A1%82%E7%B4%85-21001570780295?itemId=21002686002866&vendorItemId=21070676485272&sourceType=search&rank=17&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"L'EQUIP 超聲波驅蚊手環, LMR-C90 WH",$483,https://www.tw.coupang.com/products/L'EQUIP-%E8%B6%85%E8%81%B2%E6%B3%A2%E9%A9%85%E8%9A%8A%E6%89%8B%E7%92%B0-21006525665628?itemId=21008370905369&vendorItemId=21081579058883&sourceType=search&rank=18&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"BEULRUMUYEOK Pori 和可愛的夏日手鍊, 粉色的, 11件",$216,https://www.tw.coupang.com/products/BEULRUMUYEOK-Pori-%E5%92%8C%E5%8F%AF%E6%84%9B%E7%9A%84%E5%A4%8F%E6%97%A5%E6%89%8B%E9%8D%8A-21000002928376?itemId=21000070523950&vendorItemId=21003114017104&sourceType=search&rank=19&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"Pori and Cute Beauty Cutie 夏季手鍊粉色, 20個",$356,https://www.tw.coupang.com/products/Pori-and-Cute-Beauty-Cutie-%E5%A4%8F%E5%AD%A3%E6%89%8B%E9%8D%8A%E7%B2%89%E8%89%B2-21000191535138?itemId=21000547499609&vendorItemId=21004436438939&sourceType=search&rank=20&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
"BEULRUMUYEOK Pori 和可愛的夏日手鍊, 11件, 顏色隨機",$216,https://www.tw.coupang.com/products/BEULRUMUYEOK-Pori-%E5%92%8C%E5%8F%AF%E6%84%9B%E7%9A%84%E5%A4%8F%E6%97%A5%E6%89%8B%E9%8D%8A-21000002637884?itemId=21000070523947&vendorItemId=21003114017102&sourceType=search&rank=21&searchId=16c656907fcd47e1bb00c4e1c9757004&q=%E9%98%B2%E8%9A%8A%E6%89%8B%E7%92%B0
