product_name,product_price,product_url
"Arico 條紋椅子防噪音罩 16p, 粉色",$144,https://www.tw.coupang.com/products/Arico-%E6%A2%9D%E7%B4%8B%E6%A4%85%E5%AD%90%E9%98%B2%E5%99%AA%E9%9F%B3%E7%BD%A9-16p-21007143871624?itemId=21017945319540&vendorItemId=21085103145129&sourceType=search&rank=&searchId=f8473dd7e4ab406cbef6df614bf3960b&q=%E9%98%B2%E9%9F%B3%E5%9E%8B
"吸音隔音防塵墊 250 x 250 x 36 mm, 黑色+灰色, 2個",$450,https://www.tw.coupang.com/products/%E5%90%B8%E9%9F%B3%E9%9A%94%E9%9F%B3%E9%98%B2%E5%A1%B5%E5%A2%8A-250-x-250-x-36-mm-21006175193623?itemId=21012081980270&vendorItemId=21079353912080&sourceType=search&rank=1&searchId=f8473dd7e4ab406cbef6df614bf3960b&q=%E9%98%B2%E9%9F%B3%E5%9E%8B
"吸音隔音防塵墊 250 x 340 x 25 mm, 黑色+灰色, 2個",$478,https://www.tw.coupang.com/products/%E5%90%B8%E9%9F%B3%E9%9A%94%E9%9F%B3%E9%98%B2%E5%A1%B5%E5%A2%8A-250-x-340-x-25-mm-21006175193639?itemId=21012081980365&vendorItemId=21079353912151&sourceType=search&rank=2&searchId=f8473dd7e4ab406cbef6df614bf3960b&q=%E9%98%B2%E9%9F%B3%E5%9E%8B
"VENDICT Trax 分頻調音用品 防噪音墊 防滑 黑色套裝, 1組, 黑色",$628,https://www.tw.coupang.com/products/VENDICT-Trax-%E5%88%86%E9%A0%BB%E8%AA%BF%E9%9F%B3%E7%94%A8%E5%93%81-%E9%98%B2%E5%99%AA%E9%9F%B3%E5%A2%8A-%E9%98%B2%E6%BB%91-%E9%BB%91%E8%89%B2%E5%A5%97%E8%A3%9D-21008005035152?itemId=21022310718350&vendorItemId=21089733265829&sourceType=search&rank=3&searchId=f8473dd7e4ab406cbef6df614bf3960b&q=%E9%98%B2%E9%9F%B3%E5%9E%8B
"防噪音防噪音門護板防車透明, 3片",$381,https://www.tw.coupang.com/products/%E9%98%B2%E5%99%AA%E9%9F%B3%E9%98%B2%E5%99%AA%E9%9F%B3%E9%96%80%E8%AD%B7%E6%9D%BF%E9%98%B2%E8%BB%8A%E9%80%8F%E6%98%8E-21000131020139?itemId=21000385608600&vendorItemId=21003937221022&sourceType=search&rank=4&searchId=f8473dd7e4ab406cbef6df614bf3960b&q=%E9%98%B2%E9%9F%B3%E5%9E%8B
"Gomin Goming 可愛防噪音罩方形 4p, 白色 灰色",$396,https://www.tw.coupang.com/products/Gomin-Goming-%E5%8F%AF%E6%84%9B%E9%98%B2%E5%99%AA%E9%9F%B3%E7%BD%A9%E6%96%B9%E5%BD%A2-4p-21007181641406?itemId=21018113698919&vendorItemId=21085265195932&sourceType=search&rank=5&searchId=f8473dd7e4ab406cbef6df614bf3960b&q=%E9%98%B2%E9%9F%B3%E5%9E%8B
"Petit Fancy 防噪音板 DA3008 2p, 灰色的, 7個",$423,https://www.tw.coupang.com/products/Petit-Fancy-%E9%98%B2%E5%99%AA%E9%9F%B3%E6%9D%BF-DA3008-2p-21007012267176?itemId=21017236948025&vendorItemId=21084408577267&sourceType=search&rank=6&searchId=f8473dd7e4ab406cbef6df614bf3960b&q=%E9%98%B2%E9%9F%B3%E5%9E%8B
"Zerone 圓形防噪音墊 32p Z1-101, 24個",$672,https://www.tw.coupang.com/products/Zerone-%E5%9C%93%E5%BD%A2%E9%98%B2%E5%99%AA%E9%9F%B3%E5%A2%8A-32p-Z1-101-21007991298725?itemId=21022213281382&vendorItemId=21089259294533&sourceType=search&rank=7&searchId=f8473dd7e4ab406cbef6df614bf3960b&q=%E9%98%B2%E9%9F%B3%E5%9E%8B
"ADDLIFE D型隔音條, 7捲",$367,https://www.tw.coupang.com/products/ADDLIFE-D%E5%9E%8B%E9%9A%94%E9%9F%B3%E6%A2%9D-21007677942727?itemId=21009887394890&vendorItemId=21077854709917&sourceType=search&rank=8&searchId=f8473dd7e4ab406cbef6df614bf3960b&q=%E9%98%B2%E9%9F%B3%E5%9E%8B
"3M 傘型推入式耳塞補充包, 6入, 1組",$83,https://www.tw.coupang.com/products/3M-%E5%82%98%E5%9E%8B%E6%8E%A8%E5%85%A5%E5%BC%8F%E8%80%B3%E5%A1%9E%E8%A3%9C%E5%85%85%E5%8C%85-247521913847814?itemId=247521913847815&vendorItemId=247521909653511&sourceType=search&rank=9&searchId=f8473dd7e4ab406cbef6df614bf3960b&q=%E9%98%B2%E9%9F%B3%E5%9E%8B
