product_name,product_price,product_url
"澄朗 剋鼠靈 老鼠藥 200g, 2盒",$105,https://www.tw.coupang.com/products/%E6%BE%84%E6%9C%97-%E5%89%8B%E9%BC%A0%E9%9D%88-%E8%80%81%E9%BC%A0%E8%97%A5-200g-222850053013506?itemId=322228931510281&vendorItemId=322228931477513&sourceType=search&rank=&searchId=6aa385a9b21a4da6806657126bd2a150&q=%E9%99%8D%E4%BD%8E%E5%A4%A7%E8%85%B8%E7%99%8C
"now foods 蕁麻根素食膠囊 250mg, 90顆, 1罐",$346,https://www.tw.coupang.com/products/now-foods-%E8%95%81%E9%BA%BB%E6%A0%B9%E7%B4%A0%E9%A3%9F%E8%86%A0%E5%9B%8A-250mg-21000000028022?itemId=21000000068074&vendorItemId=21003086616154&sourceType=search&rank=1&searchId=6aa385a9b21a4da6806657126bd2a150&q=%E9%99%8D%E4%BD%8E%E5%A4%A7%E8%85%B8%E7%99%8C
"UNIQMAN 優仕曼 療肺草 素食膠囊, 60顆, 1盒",$504,https://www.tw.coupang.com/products/UNIQMAN-%E5%84%AA%E4%BB%95%E6%9B%BC-%E7%99%82%E8%82%BA%E8%8D%89-%E7%B4%A0%E9%A3%9F%E8%86%A0%E5%9B%8A-459220726038532?itemId=459220725989378&vendorItemId=459220726038529&sourceType=search&rank=2&searchId=6aa385a9b21a4da6806657126bd2a150&q=%E9%99%8D%E4%BD%8E%E5%A4%A7%E8%85%B8%E7%99%8C
"now 苜蓿錠 650mg, 1個, 500 件",$493,https://www.tw.coupang.com/products/now-%E8%8B%9C%E8%93%BF%E9%8C%A0-650mg-21000000027906?itemId=21000000401385&vendorItemId=21003086645830&sourceType=search&rank=3&searchId=6aa385a9b21a4da6806657126bd2a150&q=%E9%99%8D%E4%BD%8E%E5%A4%A7%E8%85%B8%E7%99%8C
"Bluebonnet 蘆丁植物膠囊, 1個, 50 件",$367,https://www.tw.coupang.com/products/Bluebonnet-%E8%98%86%E4%B8%81%E6%A4%8D%E7%89%A9%E8%86%A0%E5%9B%8A-21007924146393?itemId=21000005231783&vendorItemId=21003253069289&sourceType=search&rank=4&searchId=6aa385a9b21a4da6806657126bd2a150&q=%E9%99%8D%E4%BD%8E%E5%A4%A7%E8%85%B8%E7%99%8C
"3X 佛手柑多酚片 36 克, 1個, 60顆",$360,https://www.tw.coupang.com/products/3X-%E4%BD%9B%E6%89%8B%E6%9F%91%E5%A4%9A%E9%85%9A%E7%89%87-36-%E5%85%8B-21007934076945?itemId=21021832953900&vendorItemId=21089507376087&sourceType=search&rank=5&searchId=6aa385a9b21a4da6806657126bd2a150&q=%E9%99%8D%E4%BD%8E%E5%A4%A7%E8%85%B8%E7%99%8C
"Best Naturals 丙酮酸鈣無麩質膠囊 750mg, 1個, 120 件",$377,https://www.tw.coupang.com/products/Best-Naturals-%E4%B8%99%E9%85%AE%E9%85%B8%E9%88%A3%E7%84%A1%E9%BA%A9%E8%B3%AA%E8%86%A0%E5%9B%8A-750mg-21008054411279?itemId=21000004103151&vendorItemId=21003226130378&sourceType=search&rank=6&searchId=6aa385a9b21a4da6806657126bd2a150&q=%E9%99%8D%E4%BD%8E%E5%A4%A7%E8%85%B8%E7%99%8C
"Wisi Healthy Haru 引擎免疫增強劑, 30 份, 1個","$1,449",https://www.tw.coupang.com/products/Wisi-Healthy-Haru-%E5%BC%95%E6%93%8E%E5%85%8D%E7%96%AB%E5%A2%9E%E5%BC%B7%E5%8A%91-21007923051218?itemId=21023036885371&vendorItemId=21090070619306&sourceType=search&rank=7&searchId=6aa385a9b21a4da6806657126bd2a150&q=%E9%99%8D%E4%BD%8E%E5%A4%A7%E8%85%B8%E7%99%8C
"Planetary Herbals 白樺茸錠 1000mg, 1個, 120 件",$869,https://www.tw.coupang.com/products/Planetary-Herbals-%E7%99%BD%E6%A8%BA%E8%8C%B8%E9%8C%A0-1000mg-21008204010247?itemId=21000002193224&vendorItemId=21003087146916&sourceType=search&rank=8&searchId=6aa385a9b21a4da6806657126bd2a150&q=%E9%99%8D%E4%BD%8E%E5%A4%A7%E8%85%B8%E7%99%8C
"中化健康360 倍喜多口含錠, 30顆, 1包",$83,https://www.tw.coupang.com/products/%E4%B8%AD%E5%8C%96%E5%81%A5%E5%BA%B7360-%E5%80%8D%E5%96%9C%E5%A4%9A%E5%8F%A3%E5%90%AB%E9%8C%A0-453765412896768?itemId=453765412929536&vendorItemId=453765408702465&sourceType=search&rank=9&searchId=6aa385a9b21a4da6806657126bd2a150&q=%E9%99%8D%E4%BD%8E%E5%A4%A7%E8%85%B8%E7%99%8C
