product_name,product_price,product_url
"寵物除毛梳 粗針, 灰色, 1個",$128,https://www.tw.coupang.com/products/%E5%AF%B5%E7%89%A9%E9%99%A4%E6%AF%9B%E6%A2%B3-%E7%B2%97%E9%87%9D-170059292983296?itemId=170058802216961&vendorItemId=170058802216960&sourceType=search&rank=&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"Philocomb 寵物貝殼梳/除毛梳 E1 柔軟梳頭, 咖啡色, 1個",$382,https://www.tw.coupang.com/products/Philocomb-%E5%AF%B5%E7%89%A9%E8%B2%9D%E6%AE%BC%E6%A2%B3%2F%E9%99%A4%E6%AF%9B%E6%A2%B3-E1-%E6%9F%94%E8%BB%9F%E6%A2%B3%E9%A0%AD-410294476013568?itemId=410294476046336&vendorItemId=410294471835650&sourceType=search&rank=1&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"Philocomb 寵物貝殼梳/除毛梳 E2 稍硬梳頭, 綠色, 1個",$382,https://www.tw.coupang.com/products/Philocomb-%E5%AF%B5%E7%89%A9%E8%B2%9D%E6%AE%BC%E6%A2%B3%2F%E9%99%A4%E6%AF%9B%E6%A2%B3-E2-%E7%A8%8D%E7%A1%AC%E6%A2%B3%E9%A0%AD-410294476029952?itemId=410294476013569&vendorItemId=410294476062720&sourceType=search&rank=2&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"Philocomb 寵物貝殼梳/除毛梳 E3 加長梳頭, 橘色, 1個",$382,https://www.tw.coupang.com/products/Philocomb-%E5%AF%B5%E7%89%A9%E8%B2%9D%E6%AE%BC%E6%A2%B3%2F%E9%99%A4%E6%AF%9B%E6%A2%B3-E3-%E5%8A%A0%E9%95%B7%E6%A2%B3%E9%A0%AD-410294471835649?itemId=410294471819265&vendorItemId=410294471819264&sourceType=search&rank=3&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"mogapet 寵物城 寵物除毛梳 MOP-010, 綠色",$254,https://www.tw.coupang.com/products/mogapet-%E5%AF%B5%E7%89%A9%E5%9F%8E-%E5%AF%B5%E7%89%A9%E9%99%A4%E6%AF%9B%E6%A2%B3-MOP-010-21004933420053?itemId=21006486495249&vendorItemId=21085937447556&sourceType=search&rank=4&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"寵物一鍵除毛梳 20*10cm, 藍色, 1個",$159,https://www.tw.coupang.com/products/%E5%AF%B5%E7%89%A9%E4%B8%80%E9%8D%B5%E9%99%A4%E6%AF%9B%E6%A2%B3-20*10cm-21001279389591?itemId=21002287051608&vendorItemId=21070284130970&sourceType=search&rank=5&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"寵物除毛梳, 1個, 粉色的",$322,https://www.tw.coupang.com/products/%E5%AF%B5%E7%89%A9%E9%99%A4%E6%AF%9B%E6%A2%B3-21006310157643?itemId=21013093438204&vendorItemId=21080354485824&sourceType=search&rank=6&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"Lamu Dali 寵物按壓式除毛梳 10.5*18.5cm, 混合顏色, 1個",$329,https://www.tw.coupang.com/products/Lamu-Dali-%E5%AF%B5%E7%89%A9%E6%8C%89%E5%A3%93%E5%BC%8F%E9%99%A4%E6%AF%9B%E6%A2%B3-10.5*18.5cm-21006697014892?itemId=21015497649817&vendorItemId=21082716987296&sourceType=search&rank=7&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"pb+ 貓咪造型寵物除毛梳 RK_290, 白色的, 1個",$468,https://www.tw.coupang.com/products/pb%2B-%E8%B2%93%E5%92%AA%E9%80%A0%E5%9E%8B%E5%AF%B5%E7%89%A9%E9%99%A4%E6%AF%9B%E6%A2%B3-RK_290-21004731496250?itemId=21005997785080&vendorItemId=21073295556691&sourceType=search&rank=8&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"taotaopets 波浪防滑密梳 L 2個, 1組",$70,https://www.tw.coupang.com/products/taotaopets-%E6%B3%A2%E6%B5%AA%E9%98%B2%E6%BB%91%E5%AF%86%E6%A2%B3-L-2%E5%80%8B-453412382539778?itemId=453412382507010&vendorItemId=453412382507008&sourceType=search&rank=9&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"寵物夢工廠 一鍵除毛梳 S號, 2個",$109,https://www.tw.coupang.com/products/%E5%AF%B5%E7%89%A9%E5%A4%A2%E5%B7%A5%E5%BB%A0-%E4%B8%80%E9%8D%B5%E9%99%A4%E6%AF%9B%E6%A2%B3-S%E8%99%9F-453412382556161?itemId=453412382539777&vendorItemId=453412382556160&sourceType=search&rank=10&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"寵物夢工廠 一鍵除毛梳 L(寬10cm 全長15cm), 黃色 + 黑色, 1支",$77,https://www.tw.coupang.com/products/%E5%AF%B5%E7%89%A9%E5%A4%A2%E5%B7%A5%E5%BB%A0-%E4%B8%80%E9%8D%B5%E9%99%A4%E6%AF%9B%E6%A2%B3-L(%E5%AF%AC10cm-%E5%85%A8%E9%95%B715cm)-453412382507011?itemId=453412382539779&vendorItemId=453412382556162&sourceType=search&rank=11&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"寵物一鍵除毛梳 20*10cm, 粉色, 1個",$159,https://www.tw.coupang.com/products/%E5%AF%B5%E7%89%A9%E4%B8%80%E9%8D%B5%E9%99%A4%E6%AF%9B%E6%A2%B3-20*10cm-21001279389591?itemId=21002870950220&vendorItemId=21070860154616&sourceType=search&rank=12&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"Babion 曲面寵物除毛梳 L號, 黑色的, 1個",$399,https://www.tw.coupang.com/products/Babion-%E6%9B%B2%E9%9D%A2%E5%AF%B5%E7%89%A9%E9%99%A4%E6%AF%9B%E6%A2%B3-L%E8%99%9F-21006174382533?itemId=21012075135798&vendorItemId=21079347099443&sourceType=search&rank=13&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
"pb+ 貓咪造型寵物除毛梳 RK_290, 粉色的, 1個",$468,https://www.tw.coupang.com/products/pb%2B-%E8%B2%93%E5%92%AA%E9%80%A0%E5%9E%8B%E5%AF%B5%E7%89%A9%E9%99%A4%E6%AF%9B%E6%A2%B3-RK_290-21004731496250?itemId=21005997785082&vendorItemId=21073295556706&sourceType=search&rank=14&searchId=7d98bbb0d8094746b7f01871be386f8c&q=%E9%99%A4%E6%AF%9B%E6%A2%B3
