product_name,product_price,product_url
"Home Planet 鹼性電池 9V, 2個, 1件",$104,https://www.tw.coupang.com/products/Home-Planet-%E9%B9%BC%E6%80%A7%E9%9B%BB%E6%B1%A0-9V-21005848999135?itemId=21010172810136&vendorItemId=21077455378391&sourceType=search&rank=&searchId=e334c91ba7a34bdc954535a5fa6c733b&q=%E9%9B%BB%E8%85%A6%E9%9B%BB%E6%B1%A0
"FLUX Apple Magic Keyboard 1 電池型透明 TPU 按鍵皮, 透明度, 1個",$160,https://www.tw.coupang.com/products/FLUX-Apple-Magic-Keyboard-1-%E9%9B%BB%E6%B1%A0%E5%9E%8B%E9%80%8F%E6%98%8E-TPU-%E6%8C%89%E9%8D%B5%E7%9A%AE-21000199315749?itemId=21000251739107&vendorItemId=21003640545971&sourceType=search&rank=1&searchId=e334c91ba7a34bdc954535a5fa6c733b&q=%E9%9B%BB%E8%85%A6%E9%9B%BB%E6%B1%A0
"BY TaP Eco Note 平板 + 觸控筆 + 電池, BTH-010, 黑色",$212,https://www.tw.coupang.com/products/BY-TaP-Eco-Note-%E5%B9%B3%E6%9D%BF-%2B-%E8%A7%B8%E6%8E%A7%E7%AD%86-%2B-%E9%9B%BB%E6%B1%A0-21005416518042?itemId=21008165937720&vendorItemId=21075454178692&sourceType=search&rank=2&searchId=e334c91ba7a34bdc954535a5fa6c733b&q=%E9%9B%BB%E8%85%A6%E9%9B%BB%E6%B1%A0
"商務手提皮革筆記本電包+電池收納包, 淺褐色的",$732,https://www.tw.coupang.com/products/%E5%95%86%E5%8B%99%E6%89%8B%E6%8F%90%E7%9A%AE%E9%9D%A9%E7%AD%86%E8%A8%98%E6%9C%AC%E9%9B%BB%E5%8C%85%2B%E9%9B%BB%E6%B1%A0%E6%94%B6%E7%B4%8D%E5%8C%85-21005749954706?itemId=21009705451080&vendorItemId=21076989343312&sourceType=search&rank=3&searchId=e334c91ba7a34bdc954535a5fa6c733b&q=%E9%9B%BB%E8%85%A6%E9%9B%BB%E6%B1%A0
"Alleophom 大容量簡約彩色數碼包, 藍色, 1個",$145,https://www.tw.coupang.com/products/Alleophom-%E5%A4%A7%E5%AE%B9%E9%87%8F%E7%B0%A1%E7%B4%84%E5%BD%A9%E8%89%B2%E6%95%B8%E7%A2%BC%E5%8C%85-21007663231884?itemId=21000478002433&vendorItemId=21004199713783&sourceType=search&rank=4&searchId=e334c91ba7a34bdc954535a5fa6c733b&q=%E9%9B%BB%E8%85%A6%E9%9B%BB%E6%B1%A0
"車載接頭MagSafe手機支架, 黑色, 2個",$880,https://www.tw.coupang.com/products/%E8%BB%8A%E8%BC%89%E6%8E%A5%E9%A0%ADMagSafe%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21007440116100?itemId=21022586545793&vendorItemId=21089628277827&sourceType=search&rank=5&searchId=e334c91ba7a34bdc954535a5fa6c733b&q=%E9%9B%BB%E8%85%A6%E9%9B%BB%E6%B1%A0
"SMARTEK 便攜式風扇, ST-HF301, 藍色",$220,https://www.tw.coupang.com/products/SMARTEK-%E4%BE%BF%E6%94%9C%E5%BC%8F%E9%A2%A8%E6%89%87-21000222548268?itemId=21000697752839&vendorItemId=21004782174843&sourceType=search&rank=6&searchId=e334c91ba7a34bdc954535a5fa6c733b&q=%E9%9B%BB%E8%85%A6%E9%9B%BB%E6%B1%A0
"Alpha Commerce 站立式平板電腦 Jabara 手機支架, 1個, 黑色",$613,https://www.tw.coupang.com/products/Alpha-Commerce-%E7%AB%99%E7%AB%8B%E5%BC%8F%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6-Jabara-%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21008092163400?itemId=21022859512940&vendorItemId=21089894166500&sourceType=search&rank=7&searchId=e334c91ba7a34bdc954535a5fa6c733b&q=%E9%9B%BB%E8%85%A6%E9%9B%BB%E6%B1%A0
"Alleophom 大容量簡約彩色數碼包, 黑色的, 1個",$145,https://www.tw.coupang.com/products/Alleophom-%E5%A4%A7%E5%AE%B9%E9%87%8F%E7%B0%A1%E7%B4%84%E5%BD%A9%E8%89%B2%E6%95%B8%E7%A2%BC%E5%8C%85-21007663231884?itemId=21000478002447&vendorItemId=21004199713829&sourceType=search&rank=8&searchId=e334c91ba7a34bdc954535a5fa6c733b&q=%E9%9B%BB%E8%85%A6%E9%9B%BB%E6%B1%A0
"商務手提皮革筆記本電包+電池收納包, 灰色的",$775,https://www.tw.coupang.com/products/%E5%95%86%E5%8B%99%E6%89%8B%E6%8F%90%E7%9A%AE%E9%9D%A9%E7%AD%86%E8%A8%98%E6%9C%AC%E9%9B%BB%E5%8C%85%2B%E9%9B%BB%E6%B1%A0%E6%94%B6%E7%B4%8D%E5%8C%85-21005749954706?itemId=21009705451035&vendorItemId=21076989343133&sourceType=search&rank=9&searchId=e334c91ba7a34bdc954535a5fa6c733b&q=%E9%9B%BB%E8%85%A6%E9%9B%BB%E6%B1%A0
