product_name,product_price,product_url
"LUMINUS 光亮水蠟玻璃薄膜塗層 Quick Detailer, 1個, 500ml",$290,https://www.tw.coupang.com/products/LUMINUS-%E5%85%89%E4%BA%AE%E6%B0%B4%E8%A0%9F%E7%8E%BB%E7%92%83%E8%96%84%E8%86%9C%E5%A1%97%E5%B1%A4-Quick-Detailer-21008128893040?itemId=21023157797036&vendorItemId=21090437875955&sourceType=search&rank=&searchId=745ea69ded45434ca503af518e7c4646&q=%E9%9B%BB%E9%8D%8D%E5%85%89%E4%BA%AE%E5%8A%91
"ASAHIPEN 朝日塗料 油漆 塗料去除劑 100ml, 1瓶",$188,https://www.tw.coupang.com/products/ASAHIPEN-%E6%9C%9D%E6%97%A5%E5%A1%97%E6%96%99-%E6%B2%B9%E6%BC%86-%E5%A1%97%E6%96%99%E5%8E%BB%E9%99%A4%E5%8A%91-100ml-168870606225409?itemId=168871088603137&vendorItemId=168871088603136&sourceType=search&rank=1&searchId=745ea69ded45434ca503af518e7c4646&q=%E9%9B%BB%E9%8D%8D%E5%85%89%E4%BA%AE%E5%8A%91
"INVISIBLE SHIELD 奈米撥水亮光清潔劑 玻璃 陶瓷表面適用, 25oz, 1瓶",$270,https://www.tw.coupang.com/products/INVISIBLE-SHIELD-%E5%A5%88%E7%B1%B3%E6%92%A5%E6%B0%B4%E4%BA%AE%E5%85%89%E6%B8%85%E6%BD%94%E5%8A%91-%E7%8E%BB%E7%92%83-%E9%99%B6%E7%93%B7%E8%A1%A8%E9%9D%A2%E9%81%A9%E7%94%A8-154075018543112?itemId=154074620051462&vendorItemId=154074615857152&sourceType=search&rank=2&searchId=745ea69ded45434ca503af518e7c4646&q=%E9%9B%BB%E9%8D%8D%E5%85%89%E4%BA%AE%E5%8A%91
SAPHIR 三友國際蜂蠟拋光劑,$236,https://www.tw.coupang.com/products/SAPHIR-%E4%B8%89%E5%8F%8B%E5%9C%8B%E9%9A%9B%E8%9C%82%E8%A0%9F%E6%8B%8B%E5%85%89%E5%8A%91-21005607344415?itemId=21009051131872&vendorItemId=21076337535542&sourceType=search&rank=3&searchId=745ea69ded45434ca503af518e7c4646&q=%E9%9B%BB%E9%8D%8D%E5%85%89%E4%BA%AE%E5%8A%91
"GLINT 水光打亮液, 1支, 01 Dewy Moon",$371,https://www.tw.coupang.com/products/GLINT-%E6%B0%B4%E5%85%89%E6%89%93%E4%BA%AE%E6%B6%B2-21007857981046?itemId=21021436397229&vendorItemId=21088491100267&sourceType=search&rank=4&searchId=745ea69ded45434ca503af518e7c4646&q=%E9%9B%BB%E9%8D%8D%E5%85%89%E4%BA%AE%E5%8A%91
"THE CLASS Bullet Tiger超強塗層水蠟鍍膜劑, 1入, 500ml",$646,https://www.tw.coupang.com/products/THE-CLASS-Bullet-Tiger%E8%B6%85%E5%BC%B7%E5%A1%97%E5%B1%A4%E6%B0%B4%E8%A0%9F%E9%8D%8D%E8%86%9C%E5%8A%91-21006247517421?itemId=21012645154094&vendorItemId=21079912642055&sourceType=search&rank=5&searchId=745ea69ded45434ca503af518e7c4646&q=%E9%9B%BB%E9%8D%8D%E5%85%89%E4%BA%AE%E5%8A%91
"奈米光澤金屬拋光劑鉻光澤金屬修復劑, 1個, 200ml",$282,https://www.tw.coupang.com/products/%E5%A5%88%E7%B1%B3%E5%85%89%E6%BE%A4%E9%87%91%E5%B1%AC%E6%8B%8B%E5%85%89%E5%8A%91%E9%89%BB%E5%85%89%E6%BE%A4%E9%87%91%E5%B1%AC%E4%BF%AE%E5%BE%A9%E5%8A%91-21007742432149?itemId=21021848802819&vendorItemId=21088897074849&sourceType=search&rank=6&searchId=745ea69ded45434ca503af518e7c4646&q=%E9%9B%BB%E9%8D%8D%E5%85%89%E4%BA%AE%E5%8A%91
"奈米光澤玻璃膜高光蠟防水塗料油漆拋光劑, 1個, 500ml",$309,https://www.tw.coupang.com/products/%E5%A5%88%E7%B1%B3%E5%85%89%E6%BE%A4%E7%8E%BB%E7%92%83%E8%86%9C%E9%AB%98%E5%85%89%E8%A0%9F%E9%98%B2%E6%B0%B4%E5%A1%97%E6%96%99%E6%B2%B9%E6%BC%86%E6%8B%8B%E5%85%89%E5%8A%91-21007977986930?itemId=21022124055615&vendorItemId=21089170916439&sourceType=search&rank=7&searchId=745ea69ded45434ca503af518e7c4646&q=%E9%9B%BB%E9%8D%8D%E5%85%89%E4%BA%AE%E5%8A%91
"高第玻璃拋光油膜去除劑, 1個, 單品",$264,https://www.tw.coupang.com/products/%E9%AB%98%E7%AC%AC%E7%8E%BB%E7%92%83%E6%8B%8B%E5%85%89%E6%B2%B9%E8%86%9C%E5%8E%BB%E9%99%A4%E5%8A%91-21007648527881?itemId=21020344248462&vendorItemId=21090130778711&sourceType=search&rank=8&searchId=745ea69ded45434ca503af518e7c4646&q=%E9%9B%BB%E9%8D%8D%E5%85%89%E4%BA%AE%E5%8A%91
"隱形亮澤塗層拋光劑, 500ml, 1個",$168,https://www.tw.coupang.com/products/%E9%9A%B1%E5%BD%A2%E4%BA%AE%E6%BE%A4%E5%A1%97%E5%B1%A4%E6%8B%8B%E5%85%89%E5%8A%91-21007663032688?itemId=21020420496502&vendorItemId=21087502089048&sourceType=search&rank=9&searchId=745ea69ded45434ca503af518e7c4646&q=%E9%9B%BB%E9%8D%8D%E5%85%89%E4%BA%AE%E5%8A%91
