product_name,product_price,product_url
"3M Scotch-Brite 百利 3M 基本拖把午夜藍大號, 2個",$895,https://www.tw.coupang.com/products/3M-Scotch-Brite-%E7%99%BE%E5%88%A9-3M-%E5%9F%BA%E6%9C%AC%E6%8B%96%E6%8A%8A%E5%8D%88%E5%A4%9C%E8%97%8D%E5%A4%A7%E8%99%9F-21005573236047?itemId=21022585933016&vendorItemId=21089627670349&sourceType=search&rank=&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"PERIOE 倍麗兒 寶可夢兒童牙刷 第3階段, 2支, 皮卡丘, 1組",$192,https://www.tw.coupang.com/products/PERIOE-%E5%80%8D%E9%BA%97%E5%85%92-%E5%AF%B6%E5%8F%AF%E5%A4%A2%E5%85%92%E7%AB%A5%E7%89%99%E5%88%B7-%E7%AC%AC3%E9%9A%8E%E6%AE%B5-21007846151800?itemId=21021372982338&vendorItemId=21088741927957&sourceType=search&rank=1&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"JUPAZIP 汽車後座頭枕手機墊固定支架, 黑色, 2個",$465,https://www.tw.coupang.com/products/JUPAZIP-%E6%B1%BD%E8%BB%8A%E5%BE%8C%E5%BA%A7%E9%A0%AD%E6%9E%95%E6%89%8B%E6%A9%9F%E5%A2%8A%E5%9B%BA%E5%AE%9A%E6%94%AF%E6%9E%B6-21007204830098?itemId=21022931304206&vendorItemId=21089965673152&sourceType=search&rank=2&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"JN iPhone MagSafe 相容汽車儀表板手機支架, 灰色+磁貼, 2個",$398,https://www.tw.coupang.com/products/JN-iPhone-MagSafe-%E7%9B%B8%E5%AE%B9%E6%B1%BD%E8%BB%8A%E5%84%80%E8%A1%A8%E6%9D%BF%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21007232314003?itemId=21022586465840&vendorItemId=21089628198260&sourceType=search&rank=3&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"720 度車載 MagSafe 磁性手機支架, 2個, 單色",$983,https://www.tw.coupang.com/products/720-%E5%BA%A6%E8%BB%8A%E8%BC%89-MagSafe-%E7%A3%81%E6%80%A7%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21007114416808?itemId=21022586465829&vendorItemId=21089628198231&sourceType=search&rank=4&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"JUPAZIP 汽車後座頭枕手機墊固定支架, 黑色, 5個","$1,119",https://www.tw.coupang.com/products/JUPAZIP-%E6%B1%BD%E8%BB%8A%E5%BE%8C%E5%BA%A7%E9%A0%AD%E6%9E%95%E6%89%8B%E6%A9%9F%E5%A2%8A%E5%9B%BA%E5%AE%9A%E6%94%AF%E6%9E%B6-21007204830098?itemId=21022931305032&vendorItemId=21089965673923&sourceType=search&rank=5&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"JN iPhone MagSafe 相容汽車儀表板手機支架, 灰色+磁貼, 3個",$597,https://www.tw.coupang.com/products/JN-iPhone-MagSafe-%E7%9B%B8%E5%AE%B9%E6%B1%BD%E8%BB%8A%E5%84%80%E8%A1%A8%E6%9D%BF%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21007232314003?itemId=21022586465886&vendorItemId=21089628198321&sourceType=search&rank=6&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"JUPAZIP 汽車後座頭枕手機墊固定支架, 黑色, 4個",$901,https://www.tw.coupang.com/products/JUPAZIP-%E6%B1%BD%E8%BB%8A%E5%BE%8C%E5%BA%A7%E9%A0%AD%E6%9E%95%E6%89%8B%E6%A9%9F%E5%A2%8A%E5%9B%BA%E5%AE%9A%E6%94%AF%E6%9E%B6-21007204830098?itemId=21022931304556&vendorItemId=21089965673441&sourceType=search&rank=7&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"PERIOE 倍麗兒 寶可夢兒童牙刷 第3階段, 2支, 皮卡丘, 2組",$372,https://www.tw.coupang.com/products/PERIOE-%E5%80%8D%E9%BA%97%E5%85%92-%E5%AF%B6%E5%8F%AF%E5%A4%A2%E5%85%92%E7%AB%A5%E7%89%99%E5%88%B7-%E7%AC%AC3%E9%9A%8E%E6%AE%B5-21007846151800?itemId=21021692232898&vendorItemId=21088742025360&sourceType=search&rank=8&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"JN iPhone MagSafe 相容汽車儀表板手機支架, 灰色+磁貼, 4個",$796,https://www.tw.coupang.com/products/JN-iPhone-MagSafe-%E7%9B%B8%E5%AE%B9%E6%B1%BD%E8%BB%8A%E5%84%80%E8%A1%A8%E6%9D%BF%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21007232314003?itemId=21022586463605&vendorItemId=21089628196221&sourceType=search&rank=9&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"BBABAM 汽車頭枕平板電腦支架單一SCC-001, 黑色, 2個",$497,https://www.tw.coupang.com/products/BBABAM-%E6%B1%BD%E8%BB%8A%E9%A0%AD%E6%9E%95%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E6%94%AF%E6%9E%B6%E5%96%AE%E4%B8%80SCC-001-21001518751696?itemId=21023083669649&vendorItemId=21090117157163&sourceType=search&rank=10&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"JUPAZIP 汽車後座頭枕手機墊固定支架, 黑色, 3個",$684,https://www.tw.coupang.com/products/JUPAZIP-%E6%B1%BD%E8%BB%8A%E5%BE%8C%E5%BA%A7%E9%A0%AD%E6%9E%95%E6%89%8B%E6%A9%9F%E5%A2%8A%E5%9B%BA%E5%AE%9A%E6%94%AF%E6%9E%B6-21007204830098?itemId=21022931304347&vendorItemId=21089965673290&sourceType=search&rank=11&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"obsidian 賓士邁巴赫S-Class手機平板支架W223 Z223支架專用支架CT-HCM07, 單色, 2個",$624,https://www.tw.coupang.com/products/obsidian-%E8%B3%93%E5%A3%AB%E9%82%81%E5%B7%B4%E8%B5%ABS-Class%E6%89%8B%E6%A9%9F%E5%B9%B3%E6%9D%BF%E6%94%AF%E6%9E%B6W223-Z223%E6%94%AF%E6%9E%B6%E5%B0%88%E7%94%A8%E6%94%AF%E6%9E%B6CT-HCM07-21006344108518?itemId=21023019738151&vendorItemId=21090053526833&sourceType=search&rank=12&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"PERIOE 倍麗兒 寶可夢兒童牙刷 第3階段, 2支, 皮卡丘, 3組",$539,https://www.tw.coupang.com/products/PERIOE-%E5%80%8D%E9%BA%97%E5%85%92-%E5%AF%B6%E5%8F%AF%E5%A4%A2%E5%85%92%E7%AB%A5%E7%89%99%E5%88%B7-%E7%AC%AC3%E9%9A%8E%E6%AE%B5-21007846151800?itemId=21021692233625&vendorItemId=21088742025589&sourceType=search&rank=13&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"obsidian 賓士邁巴赫S-Class手機平板支架W223 Z223支架專用支架CT-HCM07, 單色, 3個",$936,https://www.tw.coupang.com/products/obsidian-%E8%B3%93%E5%A3%AB%E9%82%81%E5%B7%B4%E8%B5%ABS-Class%E6%89%8B%E6%A9%9F%E5%B9%B3%E6%9D%BF%E6%94%AF%E6%9E%B6W223-Z223%E6%94%AF%E6%9E%B6%E5%B0%88%E7%94%A8%E6%94%AF%E6%9E%B6CT-HCM07-21006344108518?itemId=21023019738292&vendorItemId=21090053526964&sourceType=search&rank=14&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"PERIOE 倍麗兒 寶可夢兒童牙刷 第3階段, 2支, 皮卡丘, 4組",$707,https://www.tw.coupang.com/products/PERIOE-%E5%80%8D%E9%BA%97%E5%85%92-%E5%AF%B6%E5%8F%AF%E5%A4%A2%E5%85%92%E7%AB%A5%E7%89%99%E5%88%B7-%E7%AC%AC3%E9%9A%8E%E6%AE%B5-21007846151800?itemId=21021692233943&vendorItemId=21088742025782&sourceType=search&rank=15&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"PERIOE 倍麗兒 寶可夢兒童牙刷 第3階段, 2支, 皮卡丘, 5組",$875,https://www.tw.coupang.com/products/PERIOE-%E5%80%8D%E9%BA%97%E5%85%92-%E5%AF%B6%E5%8F%AF%E5%A4%A2%E5%85%92%E7%AB%A5%E7%89%99%E5%88%B7-%E7%AC%AC3%E9%9A%8E%E6%AE%B5-21007846151800?itemId=21021692234198&vendorItemId=21088742025983&sourceType=search&rank=16&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"PERIOE 倍麗兒 寶可夢兒童牙刷 第3階段, 2支, 皮卡丘, 6組","$1,042",https://www.tw.coupang.com/products/PERIOE-%E5%80%8D%E9%BA%97%E5%85%92-%E5%AF%B6%E5%8F%AF%E5%A4%A2%E5%85%92%E7%AB%A5%E7%89%99%E5%88%B7-%E7%AC%AC3%E9%9A%8E%E6%AE%B5-21007846151800?itemId=21021692234464&vendorItemId=21088742026205&sourceType=search&rank=17&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"GMZ MOTORS 配備頭部旋轉杯架、手機架、出風口, 2個, 單色",$624,https://www.tw.coupang.com/products/GMZ-MOTORS-%E9%85%8D%E5%82%99%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89%E6%9D%AF%E6%9E%B6%E3%80%81%E6%89%8B%E6%A9%9F%E6%9E%B6%E3%80%81%E5%87%BA%E9%A2%A8%E5%8F%A3-21006525796346?itemId=21022931175845&vendorItemId=21089965545289&sourceType=search&rank=18&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"GMZ MOTORS 配備頭部旋轉杯架、手機架、出風口, 3個, 單色",$928,https://www.tw.coupang.com/products/GMZ-MOTORS-%E9%85%8D%E5%82%99%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89%E6%9D%AF%E6%9E%B6%E3%80%81%E6%89%8B%E6%A9%9F%E6%9E%B6%E3%80%81%E5%87%BA%E9%A2%A8%E5%8F%A3-21006525796346?itemId=21022931176316&vendorItemId=21089965545720&sourceType=search&rank=19&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"2 件屋頂墊 + 擀麵棍 + 刷子套裝, 2組",$691,https://www.tw.coupang.com/products/2-%E4%BB%B6%E5%B1%8B%E9%A0%82%E5%A2%8A-%2B-%E6%93%80%E9%BA%B5%E6%A3%8D-%2B-%E5%88%B7%E5%AD%90%E5%A5%97%E8%A3%9D-21006363039383?itemId=21023083568078&vendorItemId=21090117056403&sourceType=search&rank=20&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"Medicit 寬肩防滑衣架, 20入, 粉色",$708,https://www.tw.coupang.com/products/Medicit-%E5%AF%AC%E8%82%A9%E9%98%B2%E6%BB%91%E8%A1%A3%E6%9E%B6-21006339900621?itemId=21020052377201&vendorItemId=21087148573872&sourceType=search&rank=21&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"2 件屋頂墊 + 擀麵棍 + 刷子套裝, 3組","$1,036",https://www.tw.coupang.com/products/2-%E4%BB%B6%E5%B1%8B%E9%A0%82%E5%A2%8A-%2B-%E6%93%80%E9%BA%B5%E6%A3%8D-%2B-%E5%88%B7%E5%AD%90%E5%A5%97%E8%A3%9D-21006363039383?itemId=21023083568082&vendorItemId=21090117056418&sourceType=search&rank=22&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"Medicit 寬肩防滑衣架, 30入, 粉色","$1,039",https://www.tw.coupang.com/products/Medicit-%E5%AF%AC%E8%82%A9%E9%98%B2%E6%BB%91%E8%A1%A3%E6%9E%B6-21006339900621?itemId=21020052377325&vendorItemId=21087148573870&sourceType=search&rank=23&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
Gaon 車用室內鏡式手機支架 RM01,$576,https://www.tw.coupang.com/products/Gaon-%E8%BB%8A%E7%94%A8%E5%AE%A4%E5%85%A7%E9%8F%A1%E5%BC%8F%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-RM01-21006624701732?itemId=21022586464558&vendorItemId=21089628197220&sourceType=search&rank=24&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"JN iPhone MagSafe 相容汽車儀表板手機支架, 灰色+磁貼, 5個",$996,https://www.tw.coupang.com/products/JN-iPhone-MagSafe-%E7%9B%B8%E5%AE%B9%E6%B1%BD%E8%BB%8A%E5%84%80%E8%A1%A8%E6%9D%BF%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21007232314003?itemId=21022586463602&vendorItemId=21089628196222&sourceType=search&rank=25&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"BBABAM 汽車頭枕平板電腦支架單一SCC-001, 黑色, 3個",$746,https://www.tw.coupang.com/products/BBABAM-%E6%B1%BD%E8%BB%8A%E9%A0%AD%E6%9E%95%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E6%94%AF%E6%9E%B6%E5%96%AE%E4%B8%80SCC-001-21001518751696?itemId=21023083669678&vendorItemId=21090117157197&sourceType=search&rank=26&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"Kozny 孩童舒適3合1涼感座椅, 白色網眼款",$549,https://www.tw.coupang.com/products/Kozny-%E5%AD%A9%E7%AB%A5%E8%88%92%E9%81%A93%E5%90%881%E6%B6%BC%E6%84%9F%E5%BA%A7%E6%A4%85-21000242515406?itemId=21000770187915&vendorItemId=21004944723215&sourceType=search&rank=27&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"PURECAT 純車載多平板電腦智能手機組合儀表板支架, 黑色, 2個",$769,https://www.tw.coupang.com/products/PURECAT-%E7%B4%94%E8%BB%8A%E8%BC%89%E5%A4%9A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E6%99%BA%E8%83%BD%E6%89%8B%E6%A9%9F%E7%B5%84%E5%90%88%E5%84%80%E8%A1%A8%E6%9D%BF%E6%94%AF%E6%9E%B6-21007069830257?itemId=21017553364589&vendorItemId=21089965547418&sourceType=search&rank=28&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
超細纖維清潔滾輪 Pro 25 公分 + 墊 + 拖把清潔刷套裝,$937,https://www.tw.coupang.com/products/%E8%B6%85%E7%B4%B0%E7%BA%96%E7%B6%AD%E6%B8%85%E6%BD%94%E6%BB%BE%E8%BC%AA-Pro-25-%E5%85%AC%E5%88%86-%2B-%E5%A2%8A-%2B-%E6%8B%96%E6%8A%8A%E6%B8%85%E6%BD%94%E5%88%B7%E5%A5%97%E8%A3%9D-21005074425176?itemId=21023019597233&vendorItemId=21090053386062&sourceType=search&rank=29&searchId=1aca3406702c4d028294efc3a877f737&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"蓋爾森迷你小熊便攜式項鍊風扇, 澤爾森布夫, 天藍色",$349,https://www.tw.coupang.com/products/%E8%93%8B%E7%88%BE%E6%A3%AE%E8%BF%B7%E4%BD%A0%E5%B0%8F%E7%86%8A%E4%BE%BF%E6%94%9C%E5%BC%8F%E9%A0%85%E9%8D%8A%E9%A2%A8%E6%89%87-21007390357027?itemId=21019108728677&vendorItemId=21086228970481&sourceType=search&rank=&searchId=38a6656e49d2416497d0bd90e22d8c84&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"BBABAM 汽車頭枕平板電腦支架單一SCC-001, 黑色, 4個",$995,https://www.tw.coupang.com/products/BBABAM-%E6%B1%BD%E8%BB%8A%E9%A0%AD%E6%9E%95%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E6%94%AF%E6%9E%B6%E5%96%AE%E4%B8%80SCC-001-21001518751696?itemId=21023083669820&vendorItemId=21090117157287&sourceType=search&rank=1&searchId=38a6656e49d2416497d0bd90e22d8c84&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
"four paws 頭部可旋轉寵物梳毛刷, 1個",$209,https://www.tw.coupang.com/products/four-paws-%E9%A0%AD%E9%83%A8%E5%8F%AF%E6%97%8B%E8%BD%89%E5%AF%B5%E7%89%A9%E6%A2%B3%E6%AF%9B%E5%88%B7-21000023462103?itemId=21000091210964&vendorItemId=21003158621119&sourceType=search&rank=2&searchId=38a6656e49d2416497d0bd90e22d8c84&q=%E9%A0%AD%E9%83%A8%E6%97%8B%E8%BD%89
