product_name,product_price,product_url
"KINTON 車用基本記憶泡棉頸枕+腰靠枕, 黑色, 1組",$624,https://www.tw.coupang.com/products/KINTON-%E8%BB%8A%E7%94%A8%E5%9F%BA%E6%9C%AC%E8%A8%98%E6%86%B6%E6%B3%A1%E6%A3%89%E9%A0%B8%E6%9E%95%2B%E8%85%B0%E9%9D%A0%E6%9E%95-21001238634143?itemId=21002234215345&vendorItemId=21070231774529&sourceType=search&rank=&searchId=0d21adb193d045caba399c6ff5527768&q=%E9%A0%AD%E9%9D%A0%E6%9E%95
"鈕扣素色靠枕, 粉紅色",$534,https://www.tw.coupang.com/products/%E9%88%95%E6%89%A3%E7%B4%A0%E8%89%B2%E9%9D%A0%E6%9E%95-21000068702971?itemId=21000229383098&vendorItemId=21003560297302&sourceType=search&rank=1&searchId=0d21adb193d045caba399c6ff5527768&q=%E9%A0%AD%E9%9D%A0%E6%9E%95
"CARTEM 智慧車用頭靠枕, 1個, 棕色的",$720,https://www.tw.coupang.com/products/CARTEM-%E6%99%BA%E6%85%A7%E8%BB%8A%E7%94%A8%E9%A0%AD%E9%9D%A0%E6%9E%95-21002361110304?itemId=21004099393262&vendorItemId=21072083356499&sourceType=search&rank=2&searchId=0d21adb193d045caba399c6ff5527768&q=%E9%A0%AD%E9%9D%A0%E6%9E%95
"條紋靠墊套 L號, 灰色",$406,https://www.tw.coupang.com/products/%E6%A2%9D%E7%B4%8B%E9%9D%A0%E5%A2%8A%E5%A5%97-L%E8%99%9F-21000315991400?itemId=21001004735660&vendorItemId=21075025496336&sourceType=search&rank=3&searchId=0d21adb193d045caba399c6ff5527768&q=%E9%A0%AD%E9%9D%A0%E6%9E%95
"URBAN CAR 棉質記憶海綿靠墊頸枕, 2個, 灰色",$590,https://www.tw.coupang.com/products/URBAN-CAR-%E6%A3%89%E8%B3%AA%E8%A8%98%E6%86%B6%E6%B5%B7%E7%B6%BF%E9%9D%A0%E5%A2%8A%E9%A0%B8%E6%9E%95-21006856860870?itemId=21016354890423&vendorItemId=21083546607180&sourceType=search&rank=4&searchId=0d21adb193d045caba399c6ff5527768&q=%E9%A0%AD%E9%9D%A0%E6%9E%95
"適用市場 A北極熊汽車坐墊頭, 棕色, 1個",$280,https://www.tw.coupang.com/products/%E9%81%A9%E7%94%A8%E5%B8%82%E5%A0%B4-A%E5%8C%97%E6%A5%B5%E7%86%8A%E6%B1%BD%E8%BB%8A%E5%9D%90%E5%A2%8A%E9%A0%AD-21006577057878?itemId=21014786226022&vendorItemId=21082026262478&sourceType=search&rank=5&searchId=0d21adb193d045caba399c6ff5527768&q=%E9%A0%AD%E9%9D%A0%E6%9E%95
"Evely Young 汽車記憶海綿頸墊, 黑色, 1個",$320,https://www.tw.coupang.com/products/Evely-Young-%E6%B1%BD%E8%BB%8A%E8%A8%98%E6%86%B6%E6%B5%B7%E7%B6%BF%E9%A0%B8%E5%A2%8A-21007515570062?itemId=21019701570075&vendorItemId=21086806273782&sourceType=search&rank=6&searchId=0d21adb193d045caba399c6ff5527768&q=%E9%A0%AD%E9%9D%A0%E6%9E%95
"CARTEM 車用頭頸靠枕 36*22cm, 1個, 灰色",$741,https://www.tw.coupang.com/products/CARTEM-%E8%BB%8A%E7%94%A8%E9%A0%AD%E9%A0%B8%E9%9D%A0%E6%9E%95-36*22cm-21002336783329?itemId=21004046522719&vendorItemId=21072030661345&sourceType=search&rank=7&searchId=0d21adb193d045caba399c6ff5527768&q=%E9%A0%AD%E9%9D%A0%E6%9E%95
"CARTEM 智慧車用頭靠枕, 1組, 黑色",$720,https://www.tw.coupang.com/products/CARTEM-%E6%99%BA%E6%85%A7%E8%BB%8A%E7%94%A8%E9%A0%AD%E9%9D%A0%E6%9E%95-21002361110304?itemId=21004099393264&vendorItemId=21072083356516&sourceType=search&rank=8&searchId=0d21adb193d045caba399c6ff5527768&q=%E9%A0%AD%E9%9D%A0%E6%9E%95
"GMZ MOTORS 汽車真皮記憶海綿真頸墊, 1個, 黑色",$320,https://www.tw.coupang.com/products/GMZ-MOTORS-%E6%B1%BD%E8%BB%8A%E7%9C%9F%E7%9A%AE%E8%A8%98%E6%86%B6%E6%B5%B7%E7%B6%BF%E7%9C%9F%E9%A0%B8%E5%A2%8A-21007897493105?itemId=21021635408517&vendorItemId=21088686317522&sourceType=search&rank=9&searchId=0d21adb193d045caba399c6ff5527768&q=%E9%A0%AD%E9%9D%A0%E6%9E%95
