product_name,product_price,product_url
"妙管家 水垢殺手 清潔劑, 750g, 2瓶",$85,https://www.tw.coupang.com/products/%E5%A6%99%E7%AE%A1%E5%AE%B6-%E6%B0%B4%E5%9E%A2%E6%AE%BA%E6%89%8B-%E6%B8%85%E6%BD%94%E5%8A%91-257738495983624?itemId=270678750085123&vendorItemId=270679802888193&sourceType=search&rank=&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"Kao 花王 Magiclean 魔術靈 浴室水垢瞬潔清潔劑噴槍瓶, 500ml, 2瓶",$110,https://www.tw.coupang.com/products/Kao-%E8%8A%B1%E7%8E%8B-Magiclean-%E9%AD%94%E8%A1%93%E9%9D%88-%E6%B5%B4%E5%AE%A4%E6%B0%B4%E5%9E%A2%E7%9E%AC%E6%BD%94%E6%B8%85%E6%BD%94%E5%8A%91%E5%99%B4%E6%A7%8D%E7%93%B6-263512202919943?itemId=273686430973956&vendorItemId=273686430973952&sourceType=search&rank=1&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"3M 魔利萬用去污劑 柑橘清香, 2700ml, 1瓶",$209,https://www.tw.coupang.com/products/3M-%E9%AD%94%E5%88%A9%E8%90%AC%E7%94%A8%E5%8E%BB%E6%B1%A1%E5%8A%91-%E6%9F%91%E6%A9%98%E6%B8%85%E9%A6%99-270392874729476?itemId=270391935221766&vendorItemId=270391935221761&sourceType=search&rank=2&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"Astonish 神奇多用途清潔劑, 750ml, 2瓶",$138,https://www.tw.coupang.com/products/Astonish-%E7%A5%9E%E5%A5%87%E5%A4%9A%E7%94%A8%E9%80%94%E6%B8%85%E6%BD%94%E5%8A%91-425535222005762?itemId=426253513375752&vendorItemId=426253513359363&sourceType=search&rank=3&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"3M 魔利 萬用去污劑, 500ml, 1瓶",$83,https://www.tw.coupang.com/products/3M-%E9%AD%94%E5%88%A9-%E8%90%AC%E7%94%A8%E5%8E%BB%E6%B1%A1%E5%8A%91-260297885433858?itemId=260298883710977&vendorItemId=260298879516673&sourceType=search&rank=4&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"Dr.Beckmann 貝克曼博士 水垢清潔劑, 500ml, 1瓶",$119,https://www.tw.coupang.com/products/Dr.Beckmann-%E8%B2%9D%E5%85%8B%E6%9B%BC%E5%8D%9A%E5%A3%AB-%E6%B0%B4%E5%9E%A2%E6%B8%85%E6%BD%94%E5%8A%91-159142610157568?itemId=159143038009344&vendorItemId=159143444840448&sourceType=search&rank=5&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
3M 水垢鏽斑清潔劑 946ml 1瓶,$172,https://www.tw.coupang.com/products/3M-%E6%B0%B4%E5%9E%A2%E9%8F%BD%E6%96%91%E6%B8%85%E6%BD%94%E5%8A%91-946ml-1%E7%93%B6-268871932002309?itemId=268872980611078&vendorItemId=268872980611074&sourceType=search&rank=6&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"CLEAN TO PROTECT 魔術泡沫浴室清潔劑, 500ml, 1瓶",$84,https://www.tw.coupang.com/products/CLEAN-TO-PROTECT-%E9%AD%94%E8%A1%93%E6%B3%A1%E6%B2%AB%E6%B5%B4%E5%AE%A4%E6%B8%85%E6%BD%94%E5%8A%91-196501712109568?itemId=196500487356416&vendorItemId=196501129117696&sourceType=search&rank=7&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"AKIRA 御衣坊 強效水垢清潔劑, 350ml, 2瓶",$82,https://www.tw.coupang.com/products/AKIRA-%E5%BE%A1%E8%A1%A3%E5%9D%8A-%E5%BC%B7%E6%95%88%E6%B0%B4%E5%9E%A2%E6%B8%85%E6%BD%94%E5%8A%91-280112654172177?itemId=387460831870978&vendorItemId=387460827643921&sourceType=search&rank=8&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"Simba 小獅王辛巴 效速水垢清潔劑 6入, 180g, 2盒",$157,https://www.tw.coupang.com/products/Simba-%E5%B0%8F%E7%8D%85%E7%8E%8B%E8%BE%9B%E5%B7%B4-%E6%95%88%E9%80%9F%E6%B0%B4%E5%9E%A2%E6%B8%85%E6%BD%94%E5%8A%91-6%E5%85%A5-242544352919557?itemId=399425130135563&vendorItemId=399425130135560&sourceType=search&rank=9&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"潔霜 S 浴室強效清潔劑 噴槍, 750ml, 2瓶",$105,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S-%E6%B5%B4%E5%AE%A4%E5%BC%B7%E6%95%88%E6%B8%85%E6%BD%94%E5%8A%91-%E5%99%B4%E6%A7%8D-154480070868996?itemId=277691408269318&vendorItemId=277692461072385&sourceType=search&rank=10&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"do it 多益得 酵速皂垢污漬清潔劑, 400ml, 1瓶",$181,https://www.tw.coupang.com/products/do-it-%E5%A4%9A%E7%9B%8A%E5%BE%97-%E9%85%B5%E9%80%9F%E7%9A%82%E5%9E%A2%E6%B1%A1%E6%BC%AC%E6%B8%85%E6%BD%94%E5%8A%91-148625506156547?itemId=148625866850308&vendorItemId=148625141219328&sourceType=search&rank=11&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"清淨海 檸檬泡泡水垢清潔液, 400g, 1瓶",$88,https://www.tw.coupang.com/products/%E6%B8%85%E6%B7%A8%E6%B5%B7-%E6%AA%B8%E6%AA%AC%E6%B3%A1%E6%B3%A1%E6%B0%B4%E5%9E%A2%E6%B8%85%E6%BD%94%E6%B6%B2-458164021444609?itemId=458164021428226&vendorItemId=458164021444608&sourceType=search&rank=12&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"LEC 激落君 檸檬酸 電解水泡沫噴霧清潔劑, 400ml, 2瓶",$146,https://www.tw.coupang.com/products/LEC-%E6%BF%80%E8%90%BD%E5%90%9B-%E6%AA%B8%E6%AA%AC%E9%85%B8-%E9%9B%BB%E8%A7%A3%E6%B0%B4%E6%B3%A1%E6%B2%AB%E5%99%B4%E9%9C%A7%E6%B8%85%E6%BD%94%E5%8A%91-291334199934992?itemId=291332153098245&vendorItemId=291332153098243&sourceType=search&rank=13&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"do it 多益得 ALL Clean 黑剋靈多功能清潔膏, 180g, 1罐",$88,https://www.tw.coupang.com/products/do-it-%E5%A4%9A%E7%9B%8A%E5%BE%97-ALL-Clean-%E9%BB%91%E5%89%8B%E9%9D%88%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B8%85%E6%BD%94%E8%86%8F-148625506156545?itemId=148625866850306&vendorItemId=148625866850304&sourceType=search&rank=14&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"Briochin 碧歐香 神奇萬用清潔石, 300g, 1罐",$386,https://www.tw.coupang.com/products/Briochin-%E7%A2%A7%E6%AD%90%E9%A6%99-%E7%A5%9E%E5%A5%87%E8%90%AC%E7%94%A8%E6%B8%85%E6%BD%94%E7%9F%B3-158398754537472?itemId=158399178194945&vendorItemId=158399178194944&sourceType=search&rank=15&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"EASE 簡易淨 水垢卸除劑, 500ml, 1瓶",$165,https://www.tw.coupang.com/products/EASE-%E7%B0%A1%E6%98%93%E6%B7%A8-%E6%B0%B4%E5%9E%A2%E5%8D%B8%E9%99%A4%E5%8A%91-455225647284224?itemId=455225647267841&vendorItemId=455225647251456&sourceType=search&rank=16&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"Saenghwalgongsik LIFE FORMULA 強力多功能清潔劑, 500ml, 1瓶",$202,https://www.tw.coupang.com/products/Saenghwalgongsik-LIFE-FORMULA-%E5%BC%B7%E5%8A%9B%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B8%85%E6%BD%94%E5%8A%91-195324366766084?itemId=195325004333060&vendorItemId=195325004333057&sourceType=search&rank=17&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
"粉紅色強力淋浴房污漬清潔劑, 750ml, 1個",$160,https://www.tw.coupang.com/products/%E7%B2%89%E7%B4%85%E8%89%B2%E5%BC%B7%E5%8A%9B%E6%B7%8B%E6%B5%B4%E6%88%BF%E6%B1%A1%E6%BC%AC%E6%B8%85%E6%BD%94%E5%8A%91-21007959333563?itemId=21022002591737&vendorItemId=21089050105373&sourceType=search&rank=18&searchId=2177ada618854a18a3599b906439832c&q=%E9%A1%AF%E5%9E%A2
