product_name,product_price,product_url
"濕刷槳梳理刷, 1個, 紫色",$253,https://www.tw.coupang.com/products/%E6%BF%95%E5%88%B7%E6%A7%B3%E6%A2%B3%E7%90%86%E5%88%B7-21007418257412?itemId=21019236991737&vendorItemId=21086626512732&sourceType=search&rank=&searchId=51cdb08cefc947a490647dd09111e2d9&q=%E9%A2%A8%E5%8B%95%E5%88%B7
"VeSS EXCEL 專業美髮直排鬃毛梳 66g, 1支",$158,https://www.tw.coupang.com/products/VeSS-EXCEL-%E5%B0%88%E6%A5%AD%E7%BE%8E%E9%AB%AE%E7%9B%B4%E6%8E%92%E9%AC%83%E6%AF%9B%E6%A2%B3-66g-159490703851528?itemId=159489864974344&vendorItemId=159490292826114&sourceType=search&rank=1&searchId=51cdb08cefc947a490647dd09111e2d9&q=%E9%A2%A8%E5%8B%95%E5%88%B7
"VeSS EXCEL專業美髮鬃毛圓梳, 1支",$265,https://www.tw.coupang.com/products/VeSS-EXCEL%E5%B0%88%E6%A5%AD%E7%BE%8E%E9%AB%AE%E9%AC%83%E6%AF%9B%E5%9C%93%E6%A2%B3-147294443749381?itemId=147294804492294&vendorItemId=147294804492288&sourceType=search&rank=2&searchId=51cdb08cefc947a490647dd09111e2d9&q=%E9%A2%A8%E5%8B%95%E5%88%B7
"VeSS 抗靜電護髮７排梳, 1支",$198,https://www.tw.coupang.com/products/VeSS-%E6%8A%97%E9%9D%9C%E9%9B%BB%E8%AD%B7%E9%AB%AE%EF%BC%97%E6%8E%92%E6%A2%B3-159490292826119?itemId=159490703851527&vendorItemId=159490292826113&sourceType=search&rank=3&searchId=51cdb08cefc947a490647dd09111e2d9&q=%E9%A2%A8%E5%8B%95%E5%88%B7
"Basstem 半自動馬桶清潔刷套組 EC-425, 混色, 1套",$273,https://www.tw.coupang.com/products/Basstem-%E5%8D%8A%E8%87%AA%E5%8B%95%E9%A6%AC%E6%A1%B6%E6%B8%85%E6%BD%94%E5%88%B7%E5%A5%97%E7%B5%84-EC-425-21000167625355?itemId=21000479931260&vendorItemId=21004204828245&sourceType=search&rank=4&searchId=51cdb08cefc947a490647dd09111e2d9&q=%E9%A2%A8%E5%8B%95%E5%88%B7
"優質猪鬃刷, 1個",$142,https://www.tw.coupang.com/products/%E5%84%AA%E8%B3%AA%E7%8C%AA%E9%AC%83%E5%88%B7-21000001288212?itemId=21000005585883&vendorItemId=21003007077194&sourceType=search&rank=5&searchId=51cdb08cefc947a490647dd09111e2d9&q=%E9%A2%A8%E5%8B%95%E5%88%B7
"Graiger Onda 捲刷 2 號, 混色, 1個",$212,https://www.tw.coupang.com/products/Graiger-Onda-%E6%8D%B2%E5%88%B7-2-%E8%99%9F-21007690178550?itemId=21020562984232&vendorItemId=21087638687053&sourceType=search&rank=6&searchId=51cdb08cefc947a490647dd09111e2d9&q=%E9%A2%A8%E5%8B%95%E5%88%B7
"間歇刷200, 藍色, 1個",$138,https://www.tw.coupang.com/products/%E9%96%93%E6%AD%87%E5%88%B7200-21005391268600?itemId=21008041873590&vendorItemId=21075330494251&sourceType=search&rank=7&searchId=51cdb08cefc947a490647dd09111e2d9&q=%E9%A2%A8%E5%8B%95%E5%88%B7
"WESSEN 迷你方形戳刷, 單一顏色, 1個",$194,https://www.tw.coupang.com/products/WESSEN-%E8%BF%B7%E4%BD%A0%E6%96%B9%E5%BD%A2%E6%88%B3%E5%88%B7-21006960039970?itemId=21016940305694&vendorItemId=21084117841890&sourceType=search&rank=8&searchId=51cdb08cefc947a490647dd09111e2d9&q=%E9%A2%A8%E5%8B%95%E5%88%B7
"WESSEN Sudam 戳髮刷, 黑色的, 1個",$475,https://www.tw.coupang.com/products/WESSEN-Sudam-%E6%88%B3%E9%AB%AE%E5%88%B7-21000037856848?itemId=21000139720586&vendorItemId=21003299666189&sourceType=search&rank=9&searchId=51cdb08cefc947a490647dd09111e2d9&q=%E9%A2%A8%E5%8B%95%E5%88%B7
