product_name,product_price,product_url
"高級PP線, 25黑色",$104,https://www.tw.coupang.com/products/%E9%AB%98%E7%B4%9APP%E7%B7%9A-21001951861327?itemId=21003315622744&vendorItemId=21074139365669&sourceType=search&rank=&searchId=8be5a62c3bcb42c6b4e1edb1cb80668d&q=%E9%A4%98%E7%B7%9A
"Anyport CAT.5e網路傳輸線 30m, 灰色的, 1個",$124,https://www.tw.coupang.com/products/Anyport-CAT.5e%E7%B6%B2%E8%B7%AF%E5%82%B3%E8%BC%B8%E7%B7%9A-30m-21001164582867?itemId=21002141678239&vendorItemId=21070140048931&sourceType=search&rank=1&searchId=8be5a62c3bcb42c6b4e1edb1cb80668d&q=%E9%A4%98%E7%B7%9A
"Kalron CAT.6網路線 30m, 灰色的, 1個",$284,https://www.tw.coupang.com/products/Kalron-CAT.6%E7%B6%B2%E8%B7%AF%E7%B7%9A-30m-21000284156321?itemId=21000902090008&vendorItemId=21005261047376&sourceType=search&rank=2&searchId=8be5a62c3bcb42c6b4e1edb1cb80668d&q=%E9%A4%98%E7%B7%9A
"Ltree 魔術電纜排線 1m 8mm, 2個, 隨機發貨",$59,https://www.tw.coupang.com/products/Ltree-%E9%AD%94%E8%A1%93%E9%9B%BB%E7%BA%9C%E6%8E%92%E7%B7%9A-1m-8mm-21000002943870?itemId=21000031488746&vendorItemId=21003046693974&sourceType=search&rank=3&searchId=8be5a62c3bcb42c6b4e1edb1cb80668d&q=%E9%A4%98%E7%B7%9A
"Woonce Adhesive Wire 3 線電纜 Seonri 10p, 白色的, 2個",$287,https://www.tw.coupang.com/products/Woonce-Adhesive-Wire-3-%E7%B7%9A%E9%9B%BB%E7%BA%9C-Seonri-10p-21006228803543?itemId=21012506238959&vendorItemId=21079774811256&sourceType=search&rank=4&searchId=8be5a62c3bcb42c6b4e1edb1cb80668d&q=%E9%A4%98%E7%B7%9A
"AVIVE Premium UTP 30m CAT6 LAN 電纜, 灰色的, 1個",$221,https://www.tw.coupang.com/products/AVIVE-Premium-UTP-30m-CAT6-LAN-%E9%9B%BB%E7%BA%9C-21000070018333?itemId=21000234231812&vendorItemId=21003572774092&sourceType=search&rank=5&searchId=8be5a62c3bcb42c6b4e1edb1cb80668d&q=%E9%A4%98%E7%B7%9A
"Kalron CAT.7網路線 10m, 灰色, 1條",$477,https://www.tw.coupang.com/products/Kalron-CAT.7%E7%B6%B2%E8%B7%AF%E7%B7%9A-10m-21001832250109?itemId=21003116340256&vendorItemId=21071104063510&sourceType=search&rank=6&searchId=8be5a62c3bcb42c6b4e1edb1cb80668d&q=%E9%A4%98%E7%B7%9A
"KOVEA TE 實用線 KH8CA0305 2p, 白色",$245,https://www.tw.coupang.com/products/KOVEA-TE-%E5%AF%A6%E7%94%A8%E7%B7%9A-KH8CA0305-2p-21007854297022?itemId=21021416603976&vendorItemId=21088472861544&sourceType=search&rank=7&searchId=8be5a62c3bcb42c6b4e1edb1cb80668d&q=%E9%A4%98%E7%B7%9A
"Kalron CAT.6 UTP扁平網路線 10m, 灰色的, 1個",$168,https://www.tw.coupang.com/products/Kalron-CAT.6-UTP%E6%89%81%E5%B9%B3%E7%B6%B2%E8%B7%AF%E7%B7%9A-10m-21001807224457?itemId=21003074982846&vendorItemId=21071062861702&sourceType=search&rank=8&searchId=8be5a62c3bcb42c6b4e1edb1cb80668d&q=%E9%A4%98%E7%B7%9A
"Academy 10p 普通鐵線, 單色, 40厘米",$188,https://www.tw.coupang.com/products/Academy-10p-%E6%99%AE%E9%80%9A%E9%90%B5%E7%B7%9A-21000017532836?itemId=21000070347500&vendorItemId=21003113787231&sourceType=search&rank=9&searchId=8be5a62c3bcb42c6b4e1edb1cb80668d&q=%E9%A4%98%E7%B7%9A
