product_name,product_price,product_url
"Dongwon Light 標準金槍魚, 85g, 8罐",$291,https://www.tw.coupang.com/products/Dongwon-Light-%E6%A8%99%E6%BA%96%E9%87%91%E6%A7%8D%E9%AD%9A-21000002042132?itemId=21019999612264&vendorItemId=21075512895888&sourceType=search&rank=&searchId=cc8f739eb1bf45558dfcde28c0a27512&q=%E9%AE%AA%E9%AD%9A%E9%9B%9E%E8%82%89
"DONGWON 東遠 鮪魚高湯塊, 100克, 1包",$166,https://www.tw.coupang.com/products/DONGWON-%E6%9D%B1%E9%81%A0-%E9%AE%AA%E9%AD%9A%E9%AB%98%E6%B9%AF%E5%A1%8A-21006962019566?itemId=21016952612611&vendorItemId=21084129950815&sourceType=search&rank=1&searchId=cc8f739eb1bf45558dfcde28c0a27512&q=%E9%AE%AA%E9%AD%9A%E9%9B%9E%E8%82%89
"INABA CIAO 啾嚕 肉泥 40入, 鮪魚雞肉綜合口味, 560g, 1袋",$294,https://www.tw.coupang.com/products/INABA-CIAO-%E5%95%BE%E5%9A%95-%E8%82%89%E6%B3%A5-40%E5%85%A5-151500173049886?itemId=151500173049887&vendorItemId=151500173049868&sourceType=search&rank=2&searchId=cc8f739eb1bf45558dfcde28c0a27512&q=%E9%AE%AA%E9%AD%9A%E9%9B%9E%E8%82%89
"靖 貓罐, 鮪魚 + 雞肉 + 蝦子, 80g, 6罐",$88,https://www.tw.coupang.com/products/%E9%9D%96-%E8%B2%93%E7%BD%90-205160995307568?itemId=392196314316803&vendorItemId=392196314316800&sourceType=search&rank=3&searchId=cc8f739eb1bf45558dfcde28c0a27512&q=%E9%AE%AA%E9%AD%9A%E9%9B%9E%E8%82%89
"惜時 My Cat 我的貓 2號機能餐罐頭, 白身鮪魚+雞肉, 85g, 24罐",$285,https://www.tw.coupang.com/products/%E6%83%9C%E6%99%82-My-Cat-%E6%88%91%E7%9A%84%E8%B2%93-2%E8%99%9F%E6%A9%9F%E8%83%BD%E9%A4%90%E7%BD%90%E9%A0%AD-417140100268034?itemId=417140100251651&vendorItemId=417140100235266&sourceType=search&rank=4&searchId=cc8f739eb1bf45558dfcde28c0a27512&q=%E9%AE%AA%E9%AD%9A%E9%9B%9E%E8%82%89
"東遠DONGWON 鮪魚罐頭, 85g, 12入",$412,https://www.tw.coupang.com/products/%E6%9D%B1%E9%81%A0DONGWON-%E9%AE%AA%E9%AD%9A%E7%BD%90%E9%A0%AD-21000002042132?itemId=21020047758182&vendorItemId=21075817420548&sourceType=search&rank=5&searchId=cc8f739eb1bf45558dfcde28c0a27512&q=%E9%AE%AA%E9%AD%9A%E9%9B%9E%E8%82%89
"DONGWON 東遠 鮪魚高湯塊, 100g, 2包",$326,https://www.tw.coupang.com/products/DONGWON-%E6%9D%B1%E9%81%A0-%E9%AE%AA%E9%AD%9A%E9%AB%98%E6%B9%AF%E5%A1%8A-21006962019566?itemId=21017128227167&vendorItemId=21084639389831&sourceType=search&rank=6&searchId=cc8f739eb1bf45558dfcde28c0a27512&q=%E9%AE%AA%E9%AD%9A%E9%9B%9E%E8%82%89
"Chian Pin 強品 貓罐, 鮪魚 + 雞肉, 170g, 3罐",$35,https://www.tw.coupang.com/products/Chian-Pin-%E5%BC%B7%E5%93%81-%E8%B2%93%E7%BD%90-159874977579009?itemId=382794052075520&vendorItemId=382794052091904&sourceType=search&rank=7&searchId=cc8f739eb1bf45558dfcde28c0a27512&q=%E9%AE%AA%E9%AD%9A%E9%9B%9E%E8%82%89
"Vi.Chi 全貓種 化毛適用 罐頭, 鮪魚 + 雞肉 + 起司, 80g, 3罐",$44,https://www.tw.coupang.com/products/Vi.Chi-%E5%85%A8%E8%B2%93%E7%A8%AE-%E5%8C%96%E6%AF%9B%E9%81%A9%E7%94%A8-%E7%BD%90%E9%A0%AD-159875820650496?itemId=392196314300419&vendorItemId=392196314316802&sourceType=search&rank=8&searchId=cc8f739eb1bf45558dfcde28c0a27512&q=%E9%AE%AA%E9%AD%9A%E9%9B%9E%E8%82%89
"惜時 Health IN 鮪魚澆汁機能湯罐, 鮪魚+雞肉+澆汁, 80g, 24罐",$370,https://www.tw.coupang.com/products/%E6%83%9C%E6%99%82-Health-IN-%E9%AE%AA%E9%AD%9A%E6%BE%86%E6%B1%81%E6%A9%9F%E8%83%BD%E6%B9%AF%E7%BD%90-162362929692680?itemId=187336344174603&vendorItemId=344315779809284&sourceType=search&rank=9&searchId=cc8f739eb1bf45558dfcde28c0a27512&q=%E9%AE%AA%E9%AD%9A%E9%9B%9E%E8%82%89
